"","name","rank","friday","sunday","simulationID"
"1","An, Byeong Hun",39,146,289,"6001"
"73","Aphibarnrat, Kiradech",18,142,284,"6001"
"145","Berger, Daniel",70,151,NA,"6001"
"217","Bowditch, Steven",52,147,NA,"6001"
"289","Bradley, Keegan",29,146,286,"6001"
"361","Cabrera Bello, Rafa",42,146,291,"6001"
"433","Cabrera, Angel",79,155,NA,"6001"
"505","Casey, Paul",12,143,282,"6001"
"577","Clarke, Darren",50,146,297,"6001"
"649","Day, Jason",18,139,284,"6001"
"721","DeChambeau, Bryson",70,151,NA,"6001"
"793","Donaldson, Jamie",52,147,NA,"6001"
"865","Dubuisson, Victor",77,153,NA,"6001"
"937","Dufner, Jason",4,137,276,"6001"
"1009","Els, Ernie",46,146,294,"6001"
"1081","English, Harris",10,143,281,"6001"
"1153","Fitzpatrick, Matthew",29,143,286,"6001"
"1225","Fowler, Rickie",8,137,279,"6001"
"1297","Garcia, Sergio",29,140,286,"6001"
"1369","Gomez, Fabian",47,143,295,"6001"
"1441","Grace, Branden",52,147,NA,"6001"
"1513","Grillo, Emiliano",61,148,NA,"6001"
"1585","Haas, Bill",40,143,290,"6001"
"1657","Herman, Jim",35,141,287,"6001"
"1729","Hoffman, Charley",52,147,NA,"6001"
"1801","Holmes, J.B.",51,146,299,"6001"
"1873","Horschel, Billy",18,143,284,"6001"
"1945","Immelman, Trevor",70,151,NA,"6001"
"2017","Jaidee, Thongchai",48,146,296,"6001"
"2089","Johnson, Dustin",12,144,282,"6001"
"2161","Johnson, Zach",29,146,286,"6001"
"2233","Kaufman, Smylie",18,144,284,"6001"
"2305","Kaymer, Martin",68,150,NA,"6001"
"2377","Kirk, Chris",45,146,293,"6001"
"2449","Kisner, Kevin",8,138,279,"6001"
"2521","Kjeldsen, Soren",52,147,NA,"6001"
"2593","Knox, Russell",18,142,284,"6001"
"2665","Koepka, Brooks",42,146,291,"6001"
"2737","Kuchar, Matt",5,139,277,"6001"
"2809","Lahiri, Anirban",35,145,287,"6001"
"2881","Langer, Bernhard",70,151,NA,"6001"
"2953","Lee, Danny",15,142,283,"6001"
"3025","Leishman, Marc",65,149,NA,"6001"
"3097","Lingmerth, David",61,148,NA,"6001"
"3169","Love III, Davis",61,148,NA,"6001"
"3241","Lowry, Shane",15,143,283,"6001"
"3313","Mahan, Hunter",26,141,285,"6001"
"3385","Matsuyama, Hideki",7,138,278,"6001"
"3457","McDowell, Graeme",76,152,NA,"6001"
"3529","McIlroy, Rory",18,142,284,"6001"
"3601","Merritt, Troy",65,149,NA,"6001"
"3673","Mickelson, Phil",48,145,296,"6001"
"3745","Moore, Ryan",40,145,290,"6001"
"3817","Na, Kevin",52,147,NA,"6001"
"3889","Oosthuizen, Louis",37,142,288,"6001"
"3961","Piercy, Scott",37,141,288,"6001"
"4033","Poulter, Ian",29,142,286,"6001"
"4105","Reed, Patrick",5,142,277,"6001"
"4177","Rose, Justin",68,150,NA,"6001"
"4249","Schwartzel, Charl",26,145,285,"6001"
"4321","Scott, Adam",3,136,275,"6001"
"4393","Simpson, Webb",18,145,284,"6001"
"4465","Singh, Vijay",70,151,NA,"6001"
"4537","Smith, Cameron",52,147,NA,"6001"
"4609","Snedeker, Brandt",1,137,272,"6001"
"4681","Spieth, Jordan",10,142,281,"6001"
"4753","Stenson, Henrik",12,140,282,"6001"
"4825","Streb, Robert",65,149,NA,"6001"
"4897","Streelman, Kevin",52,147,NA,"6001"
"4969","Sullivan, Andy",15,137,283,"6001"
"5041","Taylor, Vaughn",52,147,NA,"6001"
"5113","Thomas, Justin",61,148,NA,"6001"
"5185","Walker, Jimmy",18,139,284,"6001"
"5257","Watson, Bubba",2,143,274,"6001"
"5329","Weir, Mike",70,151,NA,"6001"
"5401","Westwood, Lee",29,140,286,"6001"
"5473","Wiesberger, Bernd",44,145,292,"6001"
"5545","Willett, Danny",26,139,285,"6001"
"5617","Wood, Chris",77,153,NA,"6001"
"11","An, Byeong Hun",67,149,NA,"6002"
"731","Aphibarnrat, Kiradech",23,144,286,"6002"
