"Watson, Bubba",1,275,"131"
"Watson, Bubba",1,271,"132"
"McIlroy, Rory",1,273,"133"
"Stenson, Henrik",1,273,"133"
"Hoffman, Charley",1,273,"134"
"Kisner, Kevin",1,275,"135"
"Rose, Justin",1,274,"136"
"McIlroy, Rory",1,275,"137"
"Fowler, Rickie",1,276,"138"
"Mickelson, Phil",1,276,"138"
"Spieth, Jordan",1,277,"139"
"Spieth, Jordan",1,276,"140"
"Spieth, Jordan",1,274,"141"
"Kjeldsen, Soren",1,274,"142"
"Day, Jason",1,273,"143"
"McIlroy, Rory",1,276,"144"
"Oosthuizen, Louis",1,276,"144"
"Scott, Adam",1,273,"145"
"Dufner, Jason",1,276,"146"
"Johnson, Dustin",1,275,"147"
"Kaufman, Smylie",1,277,"148"
"Day, Jason",1,276,"149"
"McIlroy, Rory",1,276,"149"
"McIlroy, Rory",1,272,"150"
"Day, Jason",1,270,"151"
"Day, Jason",1,274,"152"
"Day, Jason",1,271,"153"
"Grace, Branden",1,276,"154"
"Fowler, Rickie",1,274,"155"
"Day, Jason",1,274,"156"
"Fowler, Rickie",1,274,"156"
"Grace, Branden",1,276,"157"
"Na, Kevin",1,276,"157"
"Kaufman, Smylie",1,277,"158"
"Lowry, Shane",1,277,"158"
"Schwartzel, Charl",1,272,"159"
"Schwartzel, Charl",1,274,"160"
"Watson, Bubba",1,273,"161"
"Scott, Adam",1,273,"162"
"Matsuyama, Hideki",1,273,"163"
"Casey, Paul",1,271,"164"
"McIlroy, Rory",1,273,"165"
"Oosthuizen, Louis",1,272,"166"
"Day, Jason",1,274,"167"
"Spieth, Jordan",1,271,"168"
"Fowler, Rickie",1,271,"169"
"Day, Jason",1,275,"170"
"Fowler, Rickie",1,275,"170"
"Spieth, Jordan",1,273,"171"
"Spieth, Jordan",1,266,"172"
"Rose, Justin",1,270,"173"
"Spieth, Jordan",1,270,"174"
"Oosthuizen, Louis",1,276,"175"
"Johnson, Dustin",1,273,"176"
"Rose, Justin",1,275,"177"
"McIlroy, Rory",1,270,"178"
"Fowler, Rickie",1,273,"179"
"Rose, Justin",1,271,"180"
"Koepka, Brooks",1,272,"181"
"Johnson, Dustin",1,270,"182"
"Stenson, Henrik",1,275,"183"
"Holmes, J.B.",1,274,"184"
"Reed, Patrick",1,274,"184"
"Day, Jason",1,279,"185"
"Day, Jason",1,271,"186"
"Johnson, Zach",1,270,"187"
"McIlroy, Rory",1,275,"188"
"Day, Jason",1,271,"189"
"McIlroy, Rory",1,270,"190"
"Haas, Bill",1,274,"191"
"Casey, Paul",1,270,"192"
"Day, Jason",1,269,"193"
"Day, Jason",1,274,"194"
"Schwartzel, Charl",1,273,"195"
"Spieth, Jordan",1,271,"196"
"Fowler, Rickie",1,273,"197"
"Hoffman, Charley",1,273,"197"
"Day, Jason",1,270,"198"
"Spieth, Jordan",1,267,"199"
"Spieth, Jordan",1,276,"200"
"Watson, Bubba",1,276,"200"
"Scott, Adam",1,273,"201"
"Matsuyama, Hideki",1,276,"202"
"Day, Jason",1,272,"203"
"Spieth, Jordan",1,266,"204"
"Grace, Branden",1,273,"205"
"Day, Jason",1,269,"206"
"Aphibarnrat, Kiradech",1,269,"207"
"Day, Jason",1,269,"208"
"Scott, Adam",1,269,"209"
"Day, Jason",1,273,"210"
"Scott, Adam",1,275,"211"
"Love III, Davis",1,271,"212"
"Mickelson, Phil",1,276,"213"
"Matsuyama, Hideki",1,266,"214"
"Spieth, Jordan",1,276,"215"
"Donaldson, Jamie",1,273,"216"
"Fowler, Rickie",1,274,"217"
"Day, Jason",1,273,"218"
"McIlroy, Rory",1,271,"219"
"McIlroy, Rory",1,272,"220"
"Watson, Bubba",1,272,"220"
"Haas, Bill",1,274,"221"
"Rose, Justin",1,274,"221"
"Willett, Danny",1,270,"222"
"Reed, Patrick",1,273,"223"
"McIlroy, Rory",1,274,"224"
"Holmes, J.B.",1,273,"225"
"McIlroy, Rory",1,274,"226"
"Day, Jason",1,275,"227"
"Fowler, Rickie",1,265,"228"
"Stenson, Henrik",1,275,"229"
"Fowler, Rickie",1,275,"230"
"Day, Jason",1,268,"231"
"Day, Jason",1,272,"232"
"Horschel, Billy",1,274,"233"
"Johnson, Dustin",1,274,"233"
"Day, Jason",1,269,"234"
"Day, Jason",1,270,"235"
"Rose, Justin",1,274,"236"
"Day, Jason",1,268,"237"
"Casey, Paul",1,272,"238"
"Spieth, Jordan",1,272,"238"
"Day, Jason",1,274,"239"
"Spieth, Jordan",1,273,"240"
"Day, Jason",1,270,"241"
"Matsuyama, Hideki",1,269,"242"
"Day, Jason",1,275,"243"
"Aphibarnrat, Kiradech",1,277,"244"
"Casey, Paul",1,277,"244"
"Day, Jason",1,276,"245"
"Thomas, Justin",1,276,"245"
"McIlroy, Rory",1,273,"246"
"Rose, Justin",1,274,"247"
"Aphibarnrat, Kiradech",1,277,"248"
"Reed, Patrick",1,277,"248"
"McIlroy, Rory",1,271,"249"
"Fowler, Rickie",1,268,"250"
"McIlroy, Rory",1,273,"251"
"Grace, Branden",1,272,"252"
"Kirk, Chris",1,275,"253"
"McIlroy, Rory",1,276,"254"
"Spieth, Jordan",1,276,"254"
"Watson, Bubba",1,272,"255"
"Watson, Bubba",1,276,"256"
"Lee, Danny",1,271,"257"
"Day, Jason",1,274,"258"
"Fowler, Rickie",1,269,"259"
"Rose, Justin",1,274,"260"
"Spieth, Jordan",1,274,"260"
"Snedeker, Brandt",1,271,"261"
"Donaldson, Jamie",1,276,"262"
"Johnson, Dustin",1,272,"263"
"Matsuyama, Hideki",1,272,"263"
"Johnson, Dustin",1,266,"264"
"Schwartzel, Charl",1,270,"265"
"Johnson, Dustin",1,270,"266"
"Grace, Branden",1,273,"267"
"Kuchar, Matt",1,271,"268"
"Snedeker, Brandt",1,273,"269"
"Els, Ernie",1,278,"270"
"Wood, Chris",1,278,"270"
"Garcia, Sergio",1,272,"271"
"Spieth, Jordan",1,267,"272"
"Mahan, Hunter",1,277,"273"
"Kuchar, Matt",1,276,"274"
"Matsuyama, Hideki",1,274,"275"
"Oosthuizen, Louis",1,274,"275"
"Spieth, Jordan",1,273,"276"
"McIlroy, Rory",1,271,"277"
"Oosthuizen, Louis",1,274,"278"
"Knox, Russell",1,276,"279"
