"Matsuyama, Hideki",1,275,"1"
"Spieth, Jordan",1,266,"2"
"Johnson, Dustin",1,278,"3"
"Scott, Adam",1,278,"3"
"McIlroy, Rory",1,273,"4"
"Holmes, J.B.",1,273,"5"
"Day, Jason",1,263,"6"
"Haas, Bill",1,276,"7"
"Cabrera Bello, Rafa",1,272,"8"
"Stenson, Henrik",1,271,"9"
"Day, Jason",1,273,"10"
"McIlroy, Rory",1,273,"10"
"Cabrera Bello, Rafa",1,274,"11"
"McIlroy, Rory",1,274,"11"
"Day, Jason",1,271,"12"
"Schwartzel, Charl",1,277,"13"
"Spieth, Jordan",1,272,"14"
"Fowler, Rickie",1,273,"15"
"Spieth, Jordan",1,271,"16"
"Spieth, Jordan",1,272,"17"
"Day, Jason",1,266,"18"
"Watson, Bubba",1,272,"19"
"Kuchar, Matt",1,272,"20"
"Stenson, Henrik",1,272,"20"
"Spieth, Jordan",1,270,"21"
"Johnson, Dustin",1,279,"22"
"Spieth, Jordan",1,272,"23"
"Johnson, Dustin",1,272,"24"
"Day, Jason",1,259,"25"
"McIlroy, Rory",1,278,"26"
"Scott, Adam",1,270,"27"
"Mickelson, Phil",1,270,"28"
"McIlroy, Rory",1,271,"29"
"Fowler, Rickie",1,274,"30"
"Day, Jason",1,271,"31"
"Oosthuizen, Louis",1,271,"31"
"Hoffman, Charley",1,276,"32"
"Casey, Paul",1,271,"33"
"Johnson, Dustin",1,273,"34"
"Day, Jason",1,275,"35"
"Day, Jason",1,266,"36"
"Watson, Bubba",1,276,"37"
"Fowler, Rickie",1,274,"38"
"McIlroy, Rory",1,272,"39"
"Day, Jason",1,268,"40"
"McIlroy, Rory",1,273,"41"
"Matsuyama, Hideki",1,271,"42"
"Langer, Bernhard",1,276,"43"
"Spieth, Jordan",1,276,"43"
"Scott, Adam",1,273,"44"
"Rose, Justin",1,273,"45"
"Willett, Danny",1,272,"46"
"Spieth, Jordan",1,269,"47"
"Scott, Adam",1,272,"48"
"Scott, Adam",1,272,"49"
"Knox, Russell",1,273,"50"
"Day, Jason",1,263,"51"
"McIlroy, Rory",1,275,"52"
"Spieth, Jordan",1,275,"52"
"Scott, Adam",1,268,"53"
"Watson, Bubba",1,276,"54"
"Reed, Patrick",1,276,"55"
"McIlroy, Rory",1,276,"56"
"Day, Jason",1,274,"57"
"McIlroy, Rory",1,272,"58"
"Day, Jason",1,272,"59"
"Johnson, Dustin",1,269,"60"
"Rose, Justin",1,267,"61"
"Watson, Bubba",1,272,"62"
"McIlroy, Rory",1,273,"63"
"Watson, Bubba",1,265,"64"
"Day, Jason",1,270,"65"
"Day, Jason",1,275,"66"
"Kisner, Kevin",1,275,"67"
"Rose, Justin",1,275,"67"
"Scott, Adam",1,275,"67"
"Stenson, Henrik",1,265,"68"
"Johnson, Dustin",1,274,"69"
"Willett, Danny",1,271,"70"
"Rose, Justin",1,274,"71"
"Watson, Bubba",1,274,"71"
"Koepka, Brooks",1,271,"72"
"Scott, Adam",1,270,"73"
"Spieth, Jordan",1,270,"74"
"Kisner, Kevin",1,275,"75"
"Scott, Adam",1,268,"76"
"Spieth, Jordan",1,271,"77"
"Spieth, Jordan",1,271,"78"
"Lahiri, Anirban",1,276,"79"
"Streelman, Kevin",1,276,"79"
"Spieth, Jordan",1,270,"80"
"Snedeker, Brandt",1,269,"81"
"Scott, Adam",1,267,"82"
"Kaymer, Martin",1,274,"83"
"Hoffman, Charley",1,275,"84"
"Spieth, Jordan",1,275,"84"
"Fowler, Rickie",1,270,"85"
"Fowler, Rickie",1,273,"86"
"Jaidee, Thongchai",1,274,"87"
"Schwartzel, Charl",1,274,"87"
"Holmes, J.B.",1,274,"88"
"Fowler, Rickie",1,269,"89"
"Koepka, Brooks",1,274,"90"
"Johnson, Dustin",1,277,"91"
"Day, Jason",1,269,"92"
"Spieth, Jordan",1,271,"93"
"McIlroy, Rory",1,271,"94"
"Day, Jason",1,275,"95"
"Sullivan, Andy",1,275,"95"
"Day, Jason",1,274,"96"
"Donaldson, Jamie",1,274,"96"
"Day, Jason",1,274,"97"
"Moore, Ryan",1,272,"98"
"Leishman, Marc",1,275,"99"
"Watson, Bubba",1,274,"100"
"Rose, Justin",1,272,"101"
"Haas, Bill",1,275,"102"
"Spieth, Jordan",1,267,"103"
"Stenson, Henrik",1,272,"104"
"Oosthuizen, Louis",1,272,"105"
"Matsuyama, Hideki",1,278,"106"
"Mickelson, Phil",1,274,"107"
"Spieth, Jordan",1,274,"107"
"Day, Jason",1,273,"108"
"Watson, Bubba",1,273,"108"
"Haas, Bill",1,271,"109"
"Spieth, Jordan",1,269,"110"
"Spieth, Jordan",1,270,"111"
"Spieth, Jordan",1,275,"112"
"Day, Jason",1,274,"113"
"Day, Jason",1,269,"114"
"Johnson, Dustin",1,267,"115"
"Day, Jason",1,272,"116"
"Cabrera Bello, Rafa",1,275,"117"
"Mickelson, Phil",1,264,"118"
"Johnson, Dustin",1,269,"119"
"Spieth, Jordan",1,276,"120"
"Day, Jason",1,274,"121"
"Westwood, Lee",1,274,"122"
"McIlroy, Rory",1,264,"123"
"Stenson, Henrik",1,272,"124"
"McIlroy, Rory",1,274,"125"
"Piercy, Scott",1,275,"126"
"Rose, Justin",1,275,"126"
"Day, Jason",1,275,"127"
"Koepka, Brooks",1,275,"127"
"Spieth, Jordan",1,275,"127"
"Rose, Justin",1,270,"128"
"Day, Jason",1,271,"129"
"Day, Jason",1,277,"130"
"McIlroy, Rory",1,273,"131"
"Johnson, Dustin",1,270,"132"
"Day, Jason",1,265,"133"
"Watson, Bubba",1,271,"134"
"Holmes, J.B.",1,275,"135"
"Walker, Jimmy",1,275,"135"
"Rose, Justin",1,274,"136"
"Johnson, Dustin",1,269,"137"
"McIlroy, Rory",1,273,"138"
"Spieth, Jordan",1,272,"139"
"McIlroy, Rory",1,267,"140"
"Spieth, Jordan",1,270,"141"
"McIlroy, Rory",1,276,"142"
"McIlroy, Rory",1,274,"143"
"Fowler, Rickie",1,275,"144"
"Day, Jason",1,267,"145"
"Day, Jason",1,273,"146"
"Moore, Ryan",1,272,"147"
"Day, Jason",1,270,"148"
"Spieth, Jordan",1,272,"149"
"Day, Jason",1,272,"150"
"McIlroy, Rory",1,273,"151"
"Johnson, Zach",1,272,"152"
"Johnson, Dustin",1,271,"153"
"Spieth, Jordan",1,271,"153"
"Willett, Danny",1,274,"154"
"Johnson, Dustin",1,274,"155"
"McIlroy, Rory",1,274,"155"
"Spieth, Jordan",1,271,"156"
"Day, Jason",1,273,"157"
"Spieth, Jordan",1,273,"157"
"McIlroy, Rory",1,265,"158"
"Rose, Justin",1,272,"159"
"Johnson, Dustin",1,269,"160"
"Fowler, Rickie",1,270,"161"
"Day, Jason",1,272,"162"
"Kaufman, Smylie",1,272,"162"
"Watson, Bubba",1,268,"163"
"Day, Jason",1,270,"164"
