"","name","rank","friday","sunday","simulationID"
"1","An, Byeong Hun",15,143,284,"7001"
"73","Aphibarnrat, Kiradech",78,155,NA,"7001"
"145","Berger, Daniel",60,148,NA,"7001"
"217","Bowditch, Steven",73,151,NA,"7001"
"289","Bradley, Keegan",28,141,287,"7001"
"361","Cabrera Bello, Rafa",15,142,284,"7001"
"433","Cabrera, Angel",79,163,NA,"7001"
"505","Casey, Paul",22,144,286,"7001"
"577","Clarke, Darren",77,154,NA,"7001"
"649","Day, Jason",2,142,278,"7001"
"721","DeChambeau, Bryson",60,148,NA,"7001"
"793","Donaldson, Jamie",60,148,NA,"7001"
"865","Dubuisson, Victor",35,139,289,"7001"
"937","Dufner, Jason",66,149,NA,"7001"
"1009","Els, Ernie",39,136,290,"7001"
"1081","English, Harris",35,146,289,"7001"
"1153","Fitzpatrick, Matthew",69,150,NA,"7001"
"1225","Fowler, Rickie",9,138,282,"7001"
"1297","Garcia, Sergio",60,148,NA,"7001"
"1369","Gomez, Fabian",12,144,283,"7001"
"1441","Grace, Branden",44,145,292,"7001"
"1513","Grillo, Emiliano",22,138,286,"7001"
"1585","Haas, Bill",18,144,285,"7001"
"1657","Herman, Jim",22,142,286,"7001"
"1729","Hoffman, Charley",22,145,286,"7001"
"1801","Holmes, J.B.",22,145,286,"7001"
"1873","Horschel, Billy",51,147,NA,"7001"
"1945","Immelman, Trevor",28,141,287,"7001"
"2017","Jaidee, Thongchai",18,142,285,"7001"
"2089","Johnson, Dustin",1,135,275,"7001"
"2161","Johnson, Zach",28,146,287,"7001"
"2233","Kaufman, Smylie",51,147,NA,"7001"
"2305","Kaymer, Martin",2,139,278,"7001"
"2377","Kirk, Chris",51,147,NA,"7001"
"2449","Kisner, Kevin",46,145,294,"7001"
"2521","Kjeldsen, Soren",49,145,295,"7001"
"2593","Knox, Russell",51,147,NA,"7001"
"2665","Koepka, Brooks",46,145,294,"7001"
"2737","Kuchar, Matt",12,138,283,"7001"
"2809","Lahiri, Anirban",39,146,290,"7001"
"2881","Langer, Bernhard",28,142,287,"7001"
"2953","Lee, Danny",60,148,NA,"7001"
"3025","Leishman, Marc",5,145,279,"7001"
"3097","Lingmerth, David",18,145,285,"7001"
"3169","Love III, Davis",51,147,NA,"7001"
"3241","Lowry, Shane",51,147,NA,"7001"
"3313","Mahan, Hunter",49,146,295,"7001"
"3385","Matsuyama, Hideki",2,139,278,"7001"
"3457","McDowell, Graeme",35,145,289,"7001"
"3529","McIlroy, Rory",51,147,NA,"7001"
"3601","Merritt, Troy",60,148,NA,"7001"
"3673","Mickelson, Phil",46,144,294,"7001"
"3745","Moore, Ryan",45,144,293,"7001"
"3817","Na, Kevin",69,150,NA,"7001"
"3889","Oosthuizen, Louis",42,146,291,"7001"
"3961","Piercy, Scott",42,139,291,"7001"
"4033","Poulter, Ian",9,140,282,"7001"
"4105","Reed, Patrick",18,144,285,"7001"
"4177","Rose, Justin",39,143,290,"7001"
"4249","Schwartzel, Charl",28,138,287,"7001"
"4321","Scott, Adam",6,145,280,"7001"
"4393","Simpson, Webb",51,147,NA,"7001"
"4465","Singh, Vijay",66,149,NA,"7001"
"4537","Smith, Cameron",66,149,NA,"7001"
"4609","Snedeker, Brandt",69,150,NA,"7001"
"4681","Spieth, Jordan",7,138,281,"7001"
"4753","Stenson, Henrik",7,138,281,"7001"
"4825","Streb, Robert",12,143,283,"7001"
"4897","Streelman, Kevin",33,143,288,"7001"
"4969","Sullivan, Andy",35,139,289,"7001"
"5041","Taylor, Vaughn",15,142,284,"7001"
"5113","Thomas, Justin",22,145,286,"7001"
"5185","Walker, Jimmy",51,147,NA,"7001"
"5257","Watson, Bubba",9,137,282,"7001"
"5329","Weir, Mike",74,153,NA,"7001"
"5401","Westwood, Lee",69,150,NA,"7001"
"5473","Wiesberger, Bernd",74,153,NA,"7001"
"5545","Willett, Danny",74,153,NA,"7001"
"5617","Wood, Chris",33,141,288,"7001"
"11","An, Byeong Hun",34,141,288,"7002"
"731","Aphibarnrat, Kiradech",71,150,NA,"7002"
"1451","Berger, Daniel",14,145,283,"7002"
"2171","Bowditch, Steven",75,153,NA,"7002"
"2891","Bradley, Keegan",26,143,286,"7002"
"3611","Cabrera Bello, Rafa",5,141,280,"7002"
"4331","Cabrera, Angel",34,142,288,"7002"
"5051","Casey, Paul",55,147,NA,"7002"
"5771","Clarke, Darren",40,143,290,"7002"
"6491","Day, Jason",3,139,278,"7002"
"7211","DeChambeau, Bryson",60,148,NA,"7002"
"7931","Donaldson, Jamie",51,146,NA,"7002"
"8651","Dubuisson, Victor",26,141,286,"7002"
"9371","Dufner, Jason",5,141,280,"7002"
"10091","Els, Ernie",9,140,282,"7002"
"10811","English, Harris",49,145,297,"7002"
"11531","Fitzpatrick, Matthew",48,143,295,"7002"
"12251","Fowler, Rickie",26,143,286,"7002"
"12971","Garcia, Sergio",50,144,300,"7002"
"13691","Gomez, Fabian",60,148,NA,"7002"
"14411","Grace, Branden",4,142,279,"7002"
"15131","Grillo, Emiliano",14,141,283,"7002"
"15851","Haas, Bill",31,140,287,"7002"
"16571","Herman, Jim",44,145,292,"7002"
"17291","Hoffman, Charley",14,145,283,"7002"
"18011","Holmes, J.B.",34,143,288,"7002"
"18731","Horschel, Billy",22,145,285,"7002"
"19451","Immelman, Trevor",55,147,NA,"7002"
"20171","Jaidee, Thongchai",60,148,NA,"7002"
"20891","Johnson, Dustin",60,148,NA,"7002"
"21611","Johnson, Zach",14,144,283,"7002"
"22331","Kaufman, Smylie",47,145,293,"7002"
"23051","Kaymer, Martin",51,146,NA,"7002"
"23771","Kirk, Chris",22,144,285,"7002"
"24491","Kisner, Kevin",42,139,291,"7002"
