"","name","rank","friday","sunday","simulationID"
"1","An, Byeong Hun",62,149,NA,"2001"
"73","Aphibarnrat, Kiradech",3,134,277,"2001"
"145","Berger, Daniel",27,144,286,"2001"
"217","Bowditch, Steven",70,151,NA,"2001"
"289","Bradley, Keegan",66,150,NA,"2001"
"361","Cabrera Bello, Rafa",35,142,288,"2001"
"433","Cabrera, Angel",17,143,285,"2001"
"505","Casey, Paul",45,147,292,"2001"
"577","Clarke, Darren",60,148,NA,"2001"
"649","Day, Jason",12,141,283,"2001"
"721","DeChambeau, Bryson",44,144,291,"2001"
"793","Donaldson, Jamie",66,150,NA,"2001"
"865","Dubuisson, Victor",45,147,292,"2001"
"937","Dufner, Jason",27,143,286,"2001"
"1009","Els, Ernie",12,144,283,"2001"
"1081","English, Harris",75,152,NA,"2001"
"1153","Fitzpatrick, Matthew",52,147,295,"2001"
"1225","Fowler, Rickie",5,137,278,"2001"
"1297","Garcia, Sergio",33,144,287,"2001"
"1369","Gomez, Fabian",35,146,288,"2001"
"1441","Grace, Branden",57,145,297,"2001"
"1513","Grillo, Emiliano",38,143,289,"2001"
"1585","Haas, Bill",38,145,289,"2001"
"1657","Herman, Jim",62,149,NA,"2001"
"1729","Hoffman, Charley",8,147,282,"2001"
"1801","Holmes, J.B.",8,140,282,"2001"
"1873","Horschel, Billy",3,142,277,"2001"
"1945","Immelman, Trevor",79,153,NA,"2001"
"2017","Jaidee, Thongchai",17,146,285,"2001"
"2089","Johnson, Dustin",17,141,285,"2001"
"2161","Johnson, Zach",12,139,283,"2001"
"2233","Kaufman, Smylie",58,147,298,"2001"
"2305","Kaymer, Martin",42,147,290,"2001"
"2377","Kirk, Chris",66,150,NA,"2001"
"2449","Kisner, Kevin",62,149,NA,"2001"
"2521","Kjeldsen, Soren",8,145,282,"2001"
"2593","Knox, Russell",52,145,295,"2001"
"2665","Koepka, Brooks",35,142,288,"2001"
"2737","Kuchar, Matt",17,140,285,"2001"
"2809","Lahiri, Anirban",70,151,NA,"2001"
"2881","Langer, Bernhard",75,152,NA,"2001"
"2953","Lee, Danny",15,145,284,"2001"
"3025","Leishman, Marc",49,146,294,"2001"
"3097","Lingmerth, David",66,150,NA,"2001"
"3169","Love III, Davis",42,146,290,"2001"
"3241","Lowry, Shane",70,151,NA,"2001"
"3313","Mahan, Hunter",62,149,NA,"2001"
"3385","Matsuyama, Hideki",38,143,289,"2001"
"3457","McDowell, Graeme",47,147,293,"2001"
"3529","McIlroy, Rory",8,143,282,"2001"
"3601","Merritt, Troy",49,145,294,"2001"
"3673","Mickelson, Phil",38,145,289,"2001"
"3745","Moore, Ryan",17,143,285,"2001"
"3817","Na, Kevin",70,151,NA,"2001"
"3889","Oosthuizen, Louis",27,142,286,"2001"
"3961","Piercy, Scott",17,144,285,"2001"
"4033","Poulter, Ian",56,147,296,"2001"
"4105","Reed, Patrick",27,141,286,"2001"
"4177","Rose, Justin",15,145,284,"2001"
"4249","Schwartzel, Charl",6,141,280,"2001"
"4321","Scott, Adam",27,146,286,"2001"
"4393","Simpson, Webb",17,141,285,"2001"
"4465","Singh, Vijay",33,143,287,"2001"
"4537","Smith, Cameron",75,152,NA,"2001"
"4609","Snedeker, Brandt",1,136,276,"2001"
"4681","Spieth, Jordan",1,142,276,"2001"
"4753","Stenson, Henrik",6,140,280,"2001"
"4825","Streb, Robert",52,147,295,"2001"
"4897","Streelman, Kevin",17,143,285,"2001"
"4969","Sullivan, Andy",58,146,298,"2001"
"5041","Taylor, Vaughn",52,147,295,"2001"
"5113","Thomas, Justin",17,138,285,"2001"
"5185","Walker, Jimmy",75,152,NA,"2001"
"5257","Watson, Bubba",17,142,285,"2001"
"5329","Weir, Mike",49,146,294,"2001"
"5401","Westwood, Lee",70,151,NA,"2001"
"5473","Wiesberger, Bernd",60,148,NA,"2001"
"5545","Willett, Danny",27,145,286,"2001"
"5617","Wood, Chris",47,145,293,"2001"
"11","An, Byeong Hun",65,149,NA,"2002"
"731","Aphibarnrat, Kiradech",28,147,289,"2002"
"1451","Berger, Daniel",36,141,290,"2002"
"2171","Bowditch, Steven",72,151,NA,"2002"
"2891","Bradley, Keegan",10,139,283,"2002"
"3611","Cabrera Bello, Rafa",51,147,294,"2002"
"4331","Cabrera, Angel",47,146,292,"2002"
"5051","Casey, Paul",5,138,280,"2002"
"5771","Clarke, Darren",76,152,NA,"2002"
"6491","Day, Jason",2,139,277,"2002"
"7211","DeChambeau, Bryson",57,148,NA,"2002"
"7931","Donaldson, Jamie",72,151,NA,"2002"
"8651","Dubuisson, Victor",57,148,NA,"2002"
"9371","Dufner, Jason",36,145,290,"2002"
"10091","Els, Ernie",28,147,289,"2002"
"10811","English, Harris",6,139,281,"2002"
"11531","Fitzpatrick, Matthew",79,154,NA,"2002"
"12251","Fowler, Rickie",2,137,277,"2002"
"12971","Garcia, Sergio",36,147,290,"2002"
"13691","Gomez, Fabian",78,153,NA,"2002"
"14411","Grace, Branden",41,146,291,"2002"
"15131","Grillo, Emiliano",65,149,NA,"2002"
"15851","Haas, Bill",28,147,289,"2002"
"16571","Herman, Jim",55,144,297,"2002"
"17291","Hoffman, Charley",10,147,283,"2002"
"18011","Holmes, J.B.",36,147,290,"2002"
"18731","Horschel, Billy",57,148,NA,"2002"
"19451","Immelman, Trevor",41,144,291,"2002"
"20171","Jaidee, Thongchai",51,146,294,"2002"
"20891","Johnson, Dustin",16,147,284,"2002"
"21611","Johnson, Zach",4,140,279,"2002"
"22331","Kaufman, Smylie",28,147,289,"2002"
"23051","Kaymer, Martin",57,148,NA,"2002"
"23771","Kirk, Chris",28,143,289,"2002"
"24491","Kisner, Kevin",47,146,292,"2002"
"25211","Kjeldsen, Soren",57,148,NA,"2002"
"25931","Knox, Russell",41,142,291,"2002"
"26651","Koepka, Brooks",47,146,292,"2002"
"27371","Kuchar, Matt",10,144,283,"2002"
"28091","Lahiri, Anirban",50,144,293,"2002"
"28811","Langer, Bernhard",28,142,289,"2002"
"29531","Lee, Danny",41,146,291,"2002"
"30251","Leishman, Marc",21,144,287,"2002"
"30971","Lingmerth, David",41,143,291,"2002"
"31691","Love III, Davis",36,146,290,"2002"
"32411","Lowry, Shane",72,151,NA,"2002"
"33131","Mahan, Hunter",20,139,285,"2002"
"33851","Matsuyama, Hideki",65,149,NA,"2002"
"34571","McDowell, Graeme",65,149,NA,"2002"
"35291","McIlroy, Rory",72,151,NA,"2002"
"36011","Merritt, Troy",28,146,289,"2002"
"36731","Mickelson, Phil",10,141,283,"2002"
"37451","Moore, Ryan",51,145,294,"2002"
"38171","Na, Kevin",16,140,284,"2002"
"38891","Oosthuizen, Louis",16,144,284,"2002"
"39611","Piercy, Scott",24,142,288,"2002"
"40331","Poulter, Ian",65,149,NA,"2002"
"41051","Reed, Patrick",24,142,288,"2002"
"41771","Rose, Justin",21,142,287,"2002"
"42491","Schwartzel, Charl",57,148,NA,"2002"
"43211","Scott, Adam",1,142,274,"2002"
"43931","Simpson, Webb",24,145,288,"2002"
"44651","Singh, Vijay",6,144,281,"2002"
"45371","Smith, Cameron",41,147,291,"2002"
"46091","Snedeker, Brandt",28,146,289,"2002"
"46811","Spieth, Jordan",8,139,282,"2002"
"47531","Stenson, Henrik",8,146,282,"2002"
"48251","Streb, Robert",54,147,296,"2002"
"48971","Streelman, Kevin",57,148,NA,"2002"
"49691","Sullivan, Andy",16,141,284,"2002"
"50411","Taylor, Vaughn",76,152,NA,"2002"
"51131","Thomas, Justin",21,144,287,"2002"
"51851","Walker, Jimmy",24,140,288,"2002"
"52571","Watson, Bubba",10,140,283,"2002"
"53291","Weir, Mike",57,148,NA,"2002"
"54011","Westwood, Lee",70,150,NA,"2002"
"54731","Wiesberger, Bernd",10,140,283,"2002"
"55451","Willett, Danny",70,150,NA,"2002"
"56171","Wood, Chris",56,146,299,"2002"
"12","An, Byeong Hun",40,146,291,"2003"
"732","Aphibarnrat, Kiradech",64,149,NA,"2003"
"1452","Berger, Daniel",60,148,NA,"2003"
"2172","Bowditch, Steven",78,153,NA,"2003"
"2892","Bradley, Keegan",45,142,292,"2003"
"3612","Cabrera Bello, Rafa",16,145,284,"2003"
"4332","Cabrera, Angel",71,151,NA,"2003"
"5052","Casey, Paul",10,139,282,"2003"
"5772","Clarke, Darren",71,151,NA,"2003"
"6492","Day, Jason",47,145,293,"2003"
"7212","DeChambeau, Bryson",76,152,NA,"2003"
"7932","Donaldson, Jamie",64,149,NA,"2003"
"8652","Dubuisson, Victor",47,145,293,"2003"
"9372","Dufner, Jason",40,143,291,"2003"
"10092","Els, Ernie",37,145,290,"2003"
"10812","English, Harris",40,143,291,"2003"
"11532","Fitzpatrick, Matthew",71,151,NA,"2003"
"12252","Fowler, Rickie",51,145,294,"2003"
"12972","Garcia, Sergio",64,149,NA,"2003"
"13692","Gomez, Fabian",26,143,288,"2003"
"14412","Grace, Branden",33,145,289,"2003"
"15132","Grillo, Emiliano",55,145,300,"2003"
"15852","Haas, Bill",56,147,NA,"2003"
"16572","Herman, Jim",21,142,287,"2003"
"17292","Hoffman, Charley",26,144,288,"2003"
"18012","Holmes, J.B.",26,137,288,"2003"
"18732","Horschel, Billy",18,142,285,"2003"
"19452","Immelman, Trevor",51,145,294,"2003"
"20172","Jaidee, Thongchai",26,145,288,"2003"
"20892","Johnson, Dustin",2,142,276,"2003"
"21612","Johnson, Zach",21,145,287,"2003"
"22332","Kaufman, Smylie",40,146,291,"2003"
"23052","Kaymer, Martin",18,145,285,"2003"
"23772","Kirk, Chris",68,150,NA,"2003"
"24492","Kisner, Kevin",33,146,289,"2003"
"25212","Kjeldsen, Soren",26,146,288,"2003"
"25932","Knox, Russell",79,154,NA,"2003"
"26652","Koepka, Brooks",21,143,287,"2003"
"27372","Kuchar, Matt",45,145,292,"2003"
"28092","Lahiri, Anirban",12,140,283,"2003"
"28812","Langer, Bernhard",71,151,NA,"2003"
"29532","Lee, Danny",12,139,283,"2003"
"30252","Leishman, Marc",6,139,279,"2003"
"30972","Lingmerth, David",26,140,288,"2003"
"31692","Love III, Davis",54,145,299,"2003"
"32412","Lowry, Shane",40,145,291,"2003"
"33132","Mahan, Hunter",76,152,NA,"2003"
"33852","Matsuyama, Hideki",60,148,NA,"2003"
"34572","McDowell, Graeme",21,144,287,"2003"
"35292","McIlroy, Rory",26,144,288,"2003"
"36012","Merritt, Troy",21,141,287,"2003"
"36732","Mickelson, Phil",4,138,278,"2003"
"37452","Moore, Ryan",12,142,283,"2003"
"38172","Na, Kevin",8,142,280,"2003"
"38892","Oosthuizen, Louis",60,148,NA,"2003"
"39612","Piercy, Scott",18,144,285,"2003"
"40332","Poulter, Ian",47,144,293,"2003"
"41052","Reed, Patrick",33,144,289,"2003"
"41772","Rose, Justin",4,141,278,"2003"
"42492","Schwartzel, Charl",6,140,279,"2003"
"43212","Scott, Adam",2,135,276,"2003"
"43932","Simpson, Webb",68,150,NA,"2003"
"44652","Singh, Vijay",16,141,284,"2003"
"45372","Smith, Cameron",56,147,NA,"2003"
"46092","Snedeker, Brandt",1,139,275,"2003"
