"","name","rank","friday","sunday","simulationID"
"1","An, Byeong Hun",60,148,NA,"9001"
"73","Aphibarnrat, Kiradech",28,144,288,"9001"
"145","Berger, Daniel",33,143,289,"9001"
"217","Bowditch, Steven",78,156,NA,"9001"
"289","Bradley, Keegan",24,146,287,"9001"
"361","Cabrera Bello, Rafa",2,142,278,"9001"
"433","Cabrera, Angel",60,148,NA,"9001"
"505","Casey, Paul",40,144,290,"9001"
"577","Clarke, Darren",60,148,NA,"9001"
"649","Day, Jason",4,145,280,"9001"
"721","DeChambeau, Bryson",28,141,288,"9001"
"793","Donaldson, Jamie",54,147,NA,"9001"
"865","Dubuisson, Victor",71,150,NA,"9001"
"937","Dufner, Jason",11,139,283,"9001"
"1009","Els, Ernie",41,144,291,"9001"
"1081","English, Harris",71,150,NA,"9001"
"1153","Fitzpatrick, Matthew",33,144,289,"9001"
"1225","Fowler, Rickie",28,141,288,"9001"
"1297","Garcia, Sergio",33,143,289,"9001"
"1369","Gomez, Fabian",51,145,296,"9001"
"1441","Grace, Branden",78,156,NA,"9001"
"1513","Grillo, Emiliano",1,137,275,"9001"
"1585","Haas, Bill",68,149,NA,"9001"
"1657","Herman, Jim",33,143,289,"9001"
"1729","Hoffman, Charley",54,147,NA,"9001"
"1801","Holmes, J.B.",47,144,293,"9001"
"1873","Horschel, Billy",53,146,299,"9001"
"1945","Immelman, Trevor",54,147,NA,"9001"
"2017","Jaidee, Thongchai",33,144,289,"9001"
"2089","Johnson, Dustin",11,144,283,"9001"
"2161","Johnson, Zach",60,148,NA,"9001"
"2233","Kaufman, Smylie",16,144,285,"9001"
"2305","Kaymer, Martin",47,142,293,"9001"
"2377","Kirk, Chris",60,148,NA,"9001"
"2449","Kisner, Kevin",68,149,NA,"9001"
"2521","Kjeldsen, Soren",7,135,282,"9001"
"2593","Knox, Russell",24,141,287,"9001"
"2665","Koepka, Brooks",71,150,NA,"9001"
"2737","Kuchar, Matt",16,141,285,"9001"
"2809","Lahiri, Anirban",33,142,289,"9001"
"2881","Langer, Bernhard",54,147,NA,"9001"
"2953","Lee, Danny",68,149,NA,"9001"
"3025","Leishman, Marc",41,142,291,"9001"
"3097","Lingmerth, David",54,147,NA,"9001"
"3169","Love III, Davis",45,143,292,"9001"
"3241","Lowry, Shane",28,144,288,"9001"
"3313","Mahan, Hunter",51,145,296,"9001"
"3385","Matsuyama, Hideki",45,145,292,"9001"
"3457","McDowell, Graeme",7,143,282,"9001"
"3529","McIlroy, Rory",20,141,286,"9001"
"3601","Merritt, Troy",60,148,NA,"9001"
"3673","Mickelson, Phil",20,141,286,"9001"
"3745","Moore, Ryan",24,143,287,"9001"
"3817","Na, Kevin",41,144,291,"9001"
"3889","Oosthuizen, Louis",16,142,285,"9001"
"3961","Piercy, Scott",60,148,NA,"9001"
"4033","Poulter, Ian",76,153,NA,"9001"
"4105","Reed, Patrick",24,140,287,"9001"
"4177","Rose, Justin",2,143,278,"9001"
"4249","Schwartzel, Charl",20,142,286,"9001"
"4321","Scott, Adam",11,145,283,"9001"
"4393","Simpson, Webb",71,150,NA,"9001"
"4465","Singh, Vijay",41,142,291,"9001"
"4537","Smith, Cameron",28,146,288,"9001"
"4609","Snedeker, Brandt",75,151,NA,"9001"
