"","name","rank","friday","sunday","simulationID"
"1","An, Byeong Hun",43,143,290,"8001"
"73","Aphibarnrat, Kiradech",46,145,291,"8001"
"145","Berger, Daniel",58,148,293,"8001"
"217","Bowditch, Steven",46,144,291,"8001"
"289","Bradley, Keegan",43,146,290,"8001"
"361","Cabrera Bello, Rafa",11,143,282,"8001"
"433","Cabrera, Angel",38,146,289,"8001"
"505","Casey, Paul",2,139,278,"8001"
"577","Clarke, Darren",79,154,NA,"8001"
"649","Day, Jason",30,144,287,"8001"
"721","DeChambeau, Bryson",43,147,290,"8001"
"793","Donaldson, Jamie",30,145,287,"8001"
"865","Dubuisson, Victor",22,146,285,"8001"
"937","Dufner, Jason",46,146,291,"8001"
"1009","Els, Ernie",16,144,284,"8001"
"1081","English, Harris",38,143,289,"8001"
"1153","Fitzpatrick, Matthew",6,142,281,"8001"
"1225","Fowler, Rickie",65,146,295,"8001"
"1297","Garcia, Sergio",65,147,295,"8001"
"1369","Gomez, Fabian",3,140,279,"8001"
"1441","Grace, Branden",62,145,294,"8001"
"1513","Grillo, Emiliano",30,145,287,"8001"
"1585","Haas, Bill",16,145,284,"8001"
"1657","Herman, Jim",1,138,277,"8001"
"1729","Hoffman, Charley",69,144,298,"8001"
"1801","Holmes, J.B.",27,141,286,"8001"
"1873","Horschel, Billy",38,145,289,"8001"
"1945","Immelman, Trevor",72,149,NA,"8001"
"2017","Jaidee, Thongchai",75,150,NA,"8001"
"2089","Johnson, Dustin",6,138,281,"8001"
"2161","Johnson, Zach",38,144,289,"8001"
"2233","Kaufman, Smylie",6,142,281,"8001"
"2305","Kaymer, Martin",30,148,287,"8001"
"2377","Kirk, Chris",62,147,294,"8001"
"2449","Kisner, Kevin",22,143,285,"8001"
"2521","Kjeldsen, Soren",62,142,294,"8001"
"2593","Knox, Russell",16,138,284,"8001"
"2665","Koepka, Brooks",55,148,292,"8001"
"2737","Kuchar, Matt",6,142,281,"8001"
"2809","Lahiri, Anirban",11,142,282,"8001"
"2881","Langer, Bernhard",67,148,296,"8001"
"2953","Lee, Danny",46,142,291,"8001"
"3025","Leishman, Marc",22,138,285,"8001"
"3097","Lingmerth, David",30,146,287,"8001"
"3169","Love III, Davis",46,147,291,"8001"
"3241","Lowry, Shane",71,144,300,"8001"
"3313","Mahan, Hunter",55,145,292,"8001"
"3385","Matsuyama, Hideki",30,144,287,"8001"
"3457","McDowell, Graeme",27,138,286,"8001"
"3529","McIlroy, Rory",14,143,283,"8001"
"3601","Merritt, Troy",22,145,285,"8001"
"3673","Mickelson, Phil",37,144,288,"8001"
"3745","Moore, Ryan",16,141,284,"8001"
"3817","Na, Kevin",67,147,296,"8001"
"3889","Oosthuizen, Louis",14,142,283,"8001"
"3961","Piercy, Scott",46,143,291,"8001"
"4033","Poulter, Ian",76,153,NA,"8001"
"4105","Reed, Patrick",30,145,287,"8001"
"4177","Rose, Justin",6,142,281,"8001"
"4249","Schwartzel, Charl",22,141,285,"8001"
"4321","Scott, Adam",58,144,293,"8001"
"4393","Simpson, Webb",76,153,NA,"8001"
"4465","Singh, Vijay",16,144,284,"8001"
"4537","Smith, Cameron",11,142,282,"8001"
"4609","Snedeker, Brandt",4,146,280,"8001"
"4681","Spieth, Jordan",27,140,286,"8001"
"4753","Stenson, Henrik",38,145,289,"8001"
"4825","Streb, Robert",72,149,NA,"8001"
"4897","Streelman, Kevin",46,145,291,"8001"
"4969","Sullivan, Andy",58,147,293,"8001"
"5041","Taylor, Vaughn",46,145,291,"8001"
"5113","Thomas, Justin",72,149,NA,"8001"
"5185","Walker, Jimmy",55,146,292,"8001"
"5257","Watson, Bubba",4,142,280,"8001"
"5329","Weir, Mike",69,144,298,"8001"
"5401","Westwood, Lee",46,143,291,"8001"
"5473","Wiesberger, Bernd",58,145,293,"8001"
"5545","Willett, Danny",76,153,NA,"8001"
"5617","Wood, Chris",16,140,284,"8001"
"11","An, Byeong Hun",40,144,290,"8002"
"731","Aphibarnrat, Kiradech",70,149,NA,"8002"
"1451","Berger, Daniel",13,139,284,"8002"
"2171","Bowditch, Steven",78,158,NA,"8002"
"2891","Bradley, Keegan",4,138,279,"8002"
"3611","Cabrera Bello, Rafa",36,143,289,"8002"
"4331","Cabrera, Angel",77,154,NA,"8002"
"5051","Casey, Paul",6,142,282,"8002"
"5771","Clarke, Darren",46,143,293,"8002"
"6491","Day, Jason",34,144,288,"8002"
"7211","DeChambeau, Bryson",57,147,NA,"8002"
"7931","Donaldson, Jamie",9,141,283,"8002"
"8651","Dubuisson, Victor",73,150,NA,"8002"
"9371","Dufner, Jason",63,148,NA,"8002"
"10091","Els, Ernie",40,143,290,"8002"
"10811","English, Harris",63,148,NA,"8002"
"11531","Fitzpatrick, Matthew",57,147,NA,"8002"
"12251","Fowler, Rickie",9,142,283,"8002"
"12971","Garcia, Sergio",21,144,286,"8002"
"13691","Gomez, Fabian",21,142,286,"8002"
"14411","Grace, Branden",36,139,289,"8002"
"15131","Grillo, Emiliano",16,140,285,"8002"
"15851","Haas, Bill",27,144,287,"8002"
"16571","Herman, Jim",27,143,287,"8002"
"17291","Hoffman, Charley",52,146,NA,"8002"
"18011","Holmes, J.B.",52,146,NA,"8002"
"18731","Horschel, Billy",16,141,285,"8002"
"19451","Immelman, Trevor",27,145,287,"8002"
"20171","Jaidee, Thongchai",45,145,291,"8002"
"20891","Johnson, Dustin",40,143,290,"8002"
"21611","Johnson, Zach",57,147,NA,"8002"
"22331","Kaufman, Smylie",21,144,286,"8002"
"23051","Kaymer, Martin",6,140,282,"8002"
"23771","Kirk, Chris",6,139,282,"8002"
"24491","Kisner, Kevin",5,142,281,"8002"
"25211","Kjeldsen, Soren",52,146,NA,"8002"
"25931","Knox, Russell",76,152,NA,"8002"
"26651","Koepka, Brooks",34,142,288,"8002"
"27371","Kuchar, Matt",57,147,NA,"8002"
"28091","Lahiri, Anirban",27,144,287,"8002"
"28811","Langer, Bernhard",63,148,NA,"8002"
"29531","Lee, Danny",21,139,286,"8002"
"30251","Leishman, Marc",57,147,NA,"8002"
"30971","Lingmerth, David",63,148,NA,"8002"
"31691","Love III, Davis",27,145,287,"8002"
"32411","Lowry, Shane",70,149,NA,"8002"
"33131","Mahan, Hunter",36,145,289,"8002"
"33851","Matsuyama, Hideki",13,141,284,"8002"
"34571","McDowell, Graeme",57,147,NA,"8002"
"35291","McIlroy, Rory",1,141,275,"8002"
"36011","Merritt, Troy",36,142,289,"8002"
"36731","Mickelson, Phil",27,145,287,"8002"
"37451","Moore, Ryan",40,143,290,"8002"
"38171","Na, Kevin",21,145,286,"8002"
"38891","Oosthuizen, Louis",2,144,277,"8002"
"39611","Piercy, Scott",9,142,283,"8002"
"40331","Poulter, Ian",51,145,295,"8002"
"41051","Reed, Patrick",75,151,NA,"8002"
"41771","Rose, Justin",16,145,285,"8002"
"42491","Schwartzel, Charl",2,135,277,"8002"
"43211","Scott, Adam",13,141,284,"8002"
"43931","Simpson, Webb",46,145,293,"8002"
"44651","Singh, Vijay",52,146,NA,"8002"
"45371","Smith, Cameron",52,146,NA,"8002"
"46091","Snedeker, Brandt",27,145,287,"8002"
"46811","Spieth, Jordan",16,144,285,"8002"
"47531","Stenson, Henrik",16,141,285,"8002"
"48251","Streb, Robert",21,141,286,"8002"
"48971","Streelman, Kevin",63,148,NA,"8002"
"49691","Sullivan, Andy",48,144,294,"8002"
"50411","Taylor, Vaughn",9,141,283,"8002"
"51131","Thomas, Justin",70,149,NA,"8002"
"51851","Walker, Jimmy",48,143,294,"8002"
"52571","Watson, Bubba",48,144,294,"8002"
"53291","Weir, Mike",78,158,NA,"8002"
"54011","Westwood, Lee",73,150,NA,"8002"
"54731","Wiesberger, Bernd",63,148,NA,"8002"
"55451","Willett, Danny",40,145,290,"8002"
"56171","Wood, Chris",63,148,NA,"8002"
"12","An, Byeong Hun",29,142,287,"8003"
"732","Aphibarnrat, Kiradech",62,148,NA,"8003"
"1452","Berger, Daniel",17,145,284,"8003"
"2172","Bowditch, Steven",77,154,NA,"8003"
"2892","Bradley, Keegan",62,148,NA,"8003"
"3612","Cabrera Bello, Rafa",1,133,276,"8003"
"4332","Cabrera, Angel",17,141,284,"8003"
"5052","Casey, Paul",62,148,NA,"8003"
"5772","Clarke, Darren",70,149,NA,"8003"
"6492","Day, Jason",6,142,279,"8003"
"7212","DeChambeau, Bryson",34,141,288,"8003"
"7932","Donaldson, Jamie",58,147,NA,"8003"
"8652","Dubuisson, Victor",73,150,NA,"8003"
"9372","Dufner, Jason",58,147,NA,"8003"
"10092","Els, Ernie",12,140,283,"8003"
"10812","English, Harris",43,144,290,"8003"
"11532","Fitzpatrick, Matthew",56,142,295,"8003"
"12252","Fowler, Rickie",25,140,286,"8003"
"12972","Garcia, Sergio",77,154,NA,"8003"
"13692","Gomez, Fabian",62,148,NA,"8003"
"14412","Grace, Branden",38,142,289,"8003"
"15132","Grillo, Emiliano",4,138,278,"8003"
"15852","Haas, Bill",43,146,290,"8003"
"16572","Herman, Jim",29,140,287,"8003"
"17292","Hoffman, Charley",8,142,281,"8003"
"18012","Holmes, J.B.",51,145,292,"8003"
"18732","Horschel, Billy",34,141,288,"8003"
"19452","Immelman, Trevor",70,149,NA,"8003"
"20172","Jaidee, Thongchai",51,142,292,"8003"
"20892","Johnson, Dustin",38,143,289,"8003"
"21612","Johnson, Zach",21,141,285,"8003"
"22332","Kaufman, Smylie",29,146,287,"8003"
"23052","Kaymer, Martin",17,142,284,"8003"
"23772","Kirk, Chris",1,136,276,"8003"
"24492","Kisner, Kevin",29,144,287,"8003"
"25212","Kjeldsen, Soren",48,146,291,"8003"
"25932","Knox, Russell",9,142,282,"8003"
"26652","Koepka, Brooks",29,144,287,"8003"
"27372","Kuchar, Matt",17,139,284,"8003"
"28092","Lahiri, Anirban",38,143,289,"8003"
"28812","Langer, Bernhard",48,146,291,"8003"
"29532","Lee, Danny",51,144,292,"8003"
"30252","Leishman, Marc",58,147,NA,"8003"
"30972","Lingmerth, David",43,145,290,"8003"
"31692","Love III, Davis",38,146,289,"8003"
"32412","Lowry, Shane",6,137,279,"8003"
"33132","Mahan, Hunter",38,144,289,"8003"
"33852","Matsuyama, Hideki",62,148,NA,"8003"
"34572","McDowell, Graeme",48,145,291,"8003"
"35292","McIlroy, Rory",12,140,283,"8003"
"36012","Merritt, Troy",43,146,290,"8003"
"36732","Mickelson, Phil",70,149,NA,"8003"
"37452","Moore, Ryan",58,147,NA,"8003"
"38172","Na, Kevin",12,144,283,"8003"
"38892","Oosthuizen, Louis",62,148,NA,"8003"
"39612","Piercy, Scott",57,146,300,"8003"
"40332","Poulter, Ian",79,157,NA,"8003"
"41052","Reed, Patrick",43,146,290,"8003"
"41772","Rose, Justin",12,145,283,"8003"
"42492","Schwartzel, Charl",1,138,276,"8003"
"43212","Scott, Adam",9,140,282,"8003"
"43932","Simpson, Webb",21,139,285,"8003"
