"","name","rank","friday","sunday","simulationID"
"23051","Kaymer, Martin",33,146,288,"5002"
"23771","Kirk, Chris",1,134,275,"5002"
"24491","Kisner, Kevin",44,146,290,"5002"
"25211","Kjeldsen, Soren",26,140,287,"5002"
"25931","Knox, Russell",17,143,284,"5002"
"26651","Koepka, Brooks",7,137,278,"5002"
"27371","Kuchar, Matt",54,146,298,"5002"
"28091","Lahiri, Anirban",26,143,287,"5002"
"28811","Langer, Bernhard",73,151,NA,"5002"
"29531","Lee, Danny",33,146,288,"5002"
"30251","Leishman, Marc",47,145,291,"5002"
"30971","Lingmerth, David",7,135,278,"5002"
"31691","Love III, Davis",56,147,NA,"5002"
"32411","Lowry, Shane",63,148,NA,"5002"
"33131","Mahan, Hunter",68,150,NA,"5002"
"33851","Matsuyama, Hideki",4,139,277,"5002"
"34571","McDowell, Graeme",9,145,279,"5002"
"35291","McIlroy, Rory",33,142,288,"5002"
"36011","Merritt, Troy",68,150,NA,"5002"
"36731","Mickelson, Phil",26,142,287,"5002"
"37451","Moore, Ryan",41,146,289,"5002"
"38171","Na, Kevin",20,146,286,"5002"
"38891","Oosthuizen, Louis",4,132,277,"5002"
"39611","Piercy, Scott",66,149,NA,"5002"
"40331","Poulter, Ian",68,150,NA,"5002"
"41051","Reed, Patrick",33,146,288,"5002"
"41771","Rose, Justin",26,139,287,"5002"
"42491","Schwartzel, Charl",26,146,287,"5002"
"43211","Scott, Adam",3,139,276,"5002"
"43931","Simpson, Webb",26,144,287,"5002"
"44651","Singh, Vijay",1,134,275,"5002"
"45371","Smith, Cameron",41,142,289,"5002"
"46091","Snedeker, Brandt",4,137,277,"5002"
"46811","Spieth, Jordan",15,143,283,"5002"
"47531","Stenson, Henrik",12,142,281,"5002"
"48251","Streb, Robert",26,145,287,"5002"
"48971","Streelman, Kevin",33,141,288,"5002"
"49691","Sullivan, Andy",33,145,288,"5002"
"50411","Taylor, Vaughn",50,146,292,"5002"
"51131","Thomas, Justin",20,145,286,"5002"
"51851","Walker, Jimmy",77,152,NA,"5002"
"52571","Watson, Bubba",56,147,NA,"5002"
"53291","Weir, Mike",73,151,NA,"5002"
"54011","Westwood, Lee",66,149,NA,"5002"
"54731","Wiesberger, Bernd",47,145,291,"5002"
"55451","Willett, Danny",56,147,NA,"5002"
"56171","Wood, Chris",47,142,291,"5002"
"12","An, Byeong Hun",34,145,289,"5003"
"732","Aphibarnrat, Kiradech",22,142,286,"5003"
"1452","Berger, Daniel",10,143,281,"5003"
"2172","Bowditch, Steven",39,144,290,"5003"
"2892","Bradley, Keegan",72,151,NA,"5003"
"3612","Cabrera Bello, Rafa",34,137,289,"5003"
"4332","Cabrera, Angel",52,147,292,"5003"
"5052","Casey, Paul",63,148,NA,"5003"
"5772","Clarke, Darren",79,155,NA,"5003"
"6492","Day, Jason",52,147,292,"5003"
