"","name","rank","friday","sunday","simulationID"
"1","An, Byeong Hun",27,141,286,"1001"
"73","Aphibarnrat, Kiradech",35,140,287,"1001"
"145","Berger, Daniel",27,144,286,"1001"
"217","Bowditch, Steven",51,140,292,"1001"
"289","Bradley, Keegan",65,148,NA,"1001"
"361","Cabrera Bello, Rafa",27,139,286,"1001"
"433","Cabrera, Angel",58,147,NA,"1001"
"505","Casey, Paul",65,148,NA,"1001"
"577","Clarke, Darren",65,148,NA,"1001"
"649","Day, Jason",1,138,271,"1001"
"721","DeChambeau, Bryson",43,146,289,"1001"
"793","Donaldson, Jamie",9,139,281,"1001"
"865","Dubuisson, Victor",9,139,281,"1001"
"937","Dufner, Jason",27,141,286,"1001"
"1009","Els, Ernie",27,145,286,"1001"
"1081","English, Harris",38,144,288,"1001"
"1153","Fitzpatrick, Matthew",58,147,NA,"1001"
"1225","Fowler, Rickie",9,134,281,"1001"
"1297","Garcia, Sergio",38,146,288,"1001"
"1369","Gomez, Fabian",9,140,281,"1001"
"1441","Grace, Branden",51,143,292,"1001"
"1513","Grillo, Emiliano",27,142,286,"1001"
"1585","Haas, Bill",44,146,290,"1001"
"1657","Herman, Jim",65,148,NA,"1001"
"1729","Hoffman, Charley",74,149,NA,"1001"
"1801","Holmes, J.B.",5,141,280,"1001"
"1873","Horschel, Billy",65,148,NA,"1001"
"1945","Immelman, Trevor",65,148,NA,"1001"
"2017","Jaidee, Thongchai",24,141,285,"1001"
"2089","Johnson, Dustin",4,139,278,"1001"
"2161","Johnson, Zach",47,144,291,"1001"
"2233","Kaufman, Smylie",15,138,282,"1001"
"2305","Kaymer, Martin",35,143,287,"1001"
"2377","Kirk, Chris",58,147,NA,"1001"
"2449","Kisner, Kevin",27,146,286,"1001"
"2521","Kjeldsen, Soren",44,142,290,"1001"
"2593","Knox, Russell",9,143,281,"1001"
"2665","Koepka, Brooks",74,149,NA,"1001"
"2737","Kuchar, Matt",20,142,284,"1001"
"2809","Lahiri, Anirban",24,146,285,"1001"
"2881","Langer, Bernhard",38,142,288,"1001"
"2953","Lee, Danny",47,145,291,"1001"
"3025","Leishman, Marc",44,143,290,"1001"
"3097","Lingmerth, David",78,153,NA,"1001"
"3169","Love III, Davis",53,144,294,"1001"
"3241","Lowry, Shane",17,140,283,"1001"
"3313","Mahan, Hunter",65,148,NA,"1001"
"3385","Matsuyama, Hideki",58,147,NA,"1001"
"3457","McDowell, Graeme",55,143,295,"1001"
"3529","McIlroy, Rory",5,135,280,"1001"
"3601","Merritt, Troy",38,144,288,"1001"
