"","name","rank","friday","sunday","simulationID"
"1","An, Byeong Hun",44,141,291,"4001"
"73","Aphibarnrat, Kiradech",31,145,288,"4001"
"145","Berger, Daniel",6,140,278,"4001"
"217","Bowditch, Steven",51,142,293,"4001"
"289","Bradley, Keegan",51,146,293,"4001"
"361","Cabrera Bello, Rafa",17,140,283,"4001"
"433","Cabrera, Angel",54,147,NA,"4001"
"505","Casey, Paul",5,134,277,"4001"
"577","Clarke, Darren",67,149,NA,"4001"
"649","Day, Jason",16,143,282,"4001"
"721","DeChambeau, Bryson",38,144,290,"4001"
"793","Donaldson, Jamie",54,147,NA,"4001"
"865","Dubuisson, Victor",71,152,NA,"4001"
"937","Dufner, Jason",38,146,290,"4001"
"1009","Els, Ernie",33,146,289,"4001"
"1081","English, Harris",10,135,279,"4001"
"1153","Fitzpatrick, Matthew",33,144,289,"4001"
"1225","Fowler, Rickie",29,142,286,"4001"
"1297","Garcia, Sergio",77,154,NA,"4001"
"1369","Gomez, Fabian",67,149,NA,"4001"
"1441","Grace, Branden",23,146,284,"4001"
"1513","Grillo, Emiliano",38,144,290,"4001"
"1585","Haas, Bill",38,146,290,"4001"
"1657","Herman, Jim",11,140,280,"4001"
"1729","Hoffman, Charley",25,142,285,"4001"
"1801","Holmes, J.B.",60,148,NA,"4001"
"1873","Horschel, Billy",60,148,NA,"4001"
"1945","Immelman, Trevor",71,152,NA,"4001"
"2017","Jaidee, Thongchai",17,146,283,"4001"
"2089","Johnson, Dustin",25,143,285,"4001"
"2161","Johnson, Zach",25,145,285,"4001"
"2233","Kaufman, Smylie",44,144,291,"4001"
"2305","Kaymer, Martin",69,150,NA,"4001"
"2377","Kirk, Chris",23,146,284,"4001"
"2449","Kisner, Kevin",17,139,283,"4001"
"2521","Kjeldsen, Soren",60,148,NA,"4001"
"2593","Knox, Russell",2,136,275,"4001"
"2665","Koepka, Brooks",71,152,NA,"4001"
"2737","Kuchar, Matt",14,141,281,"4001"
"2809","Lahiri, Anirban",31,145,288,"4001"
"2881","Langer, Bernhard",71,152,NA,"4001"
"2953","Lee, Danny",60,148,NA,"4001"
"3025","Leishman, Marc",17,136,283,"4001"
"3097","Lingmerth, David",14,138,281,"4001"
"3169","Love III, Davis",54,147,NA,"4001"
"3241","Lowry, Shane",11,143,280,"4001"
"3313","Mahan, Hunter",53,146,296,"4001"
"3385","Matsuyama, Hideki",2,136,275,"4001"
"3457","McDowell, Graeme",44,146,291,"4001"
"3529","McIlroy, Rory",38,146,290,"4001"
"3601","Merritt, Troy",71,152,NA,"4001"
"3673","Mickelson, Phil",33,143,289,"4001"
"3745","Moore, Ryan",17,143,283,"4001"
"3817","Na, Kevin",44,144,291,"4001"
"3889","Oosthuizen, Louis",6,142,278,"4001"
"3961","Piercy, Scott",54,147,NA,"4001"
"4033","Poulter, Ian",25,142,285,"4001"
"4105","Reed, Patrick",2,135,275,"4001"
"4177","Rose, Justin",29,142,286,"4001"
"4249","Schwartzel, Charl",6,140,278,"4001"
"4321","Scott, Adam",33,146,289,"4001"
"4393","Simpson, Webb",60,148,NA,"4001"
"4465","Singh, Vijay",60,148,NA,"4001"
"4537","Smith, Cameron",44,144,291,"4001"
"4609","Snedeker, Brandt",76,153,NA,"4001"
"4681","Spieth, Jordan",1,132,272,"4001"
"4753","Stenson, Henrik",54,147,NA,"4001"
"4825","Streb, Robert",60,148,NA,"4001"
"4897","Streelman, Kevin",54,147,NA,"4001"
"4969","Sullivan, Andy",69,150,NA,"4001"
"5041","Taylor, Vaughn",78,155,NA,"4001"
"5113","Thomas, Justin",11,140,280,"4001"
"5185","Walker, Jimmy",38,140,290,"4001"
"5257","Watson, Bubba",17,144,283,"4001"
"5329","Weir, Mike",79,160,NA,"4001"
"5401","Westwood, Lee",33,140,289,"4001"
"5473","Wiesberger, Bernd",6,131,278,"4001"
"5545","Willett, Danny",50,146,292,"4001"
"5617","Wood, Chris",44,145,291,"4001"
"11","An, Byeong Hun",31,145,286,"4002"
"731","Aphibarnrat, Kiradech",56,147,NA,"4002"
"1451","Berger, Daniel",36,146,287,"4002"
"2171","Bowditch, Steven",79,165,NA,"4002"
"2891","Bradley, Keegan",43,141,289,"4002"
"3611","Cabrera Bello, Rafa",11,142,282,"4002"
"4331","Cabrera, Angel",53,146,295,"4002"
"5051","Casey, Paul",24,146,284,"4002"
"5771","Clarke, Darren",74,153,NA,"4002"
"6491","Day, Jason",31,144,286,"4002"
"7211","DeChambeau, Bryson",65,148,NA,"4002"
"7931","Donaldson, Jamie",56,147,NA,"4002"
"8651","Dubuisson, Victor",51,144,291,"4002"
"9371","Dufner, Jason",43,144,289,"4002"
"10091","Els, Ernie",39,145,288,"4002"
"10811","English, Harris",70,150,NA,"4002"
"11531","Fitzpatrick, Matthew",56,147,NA,"4002"
"12251","Fowler, Rickie",65,148,NA,"4002"
"12971","Garcia, Sergio",14,142,283,"4002"
"13691","Gomez, Fabian",56,147,NA,"4002"
"14411","Grace, Branden",3,136,276,"4002"
"15131","Grillo, Emiliano",24,142,284,"4002"
"15851","Haas, Bill",52,142,292,"4002"
"16571","Herman, Jim",56,147,NA,"4002"
"17291","Hoffman, Charley",65,148,NA,"4002"
"18011","Holmes, J.B.",28,141,285,"4002"
"18731","Horschel, Billy",72,151,NA,"4002"
"19451","Immelman, Trevor",74,153,NA,"4002"
"20171","Jaidee, Thongchai",76,155,NA,"4002"
"20891","Johnson, Dustin",68,149,NA,"4002"
"21611","Johnson, Zach",14,144,283,"4002"
"22331","Kaufman, Smylie",73,152,NA,"4002"
"23051","Kaymer, Martin",76,155,NA,"4002"
"23771","Kirk, Chris",8,140,280,"4002"
"24491","Kisner, Kevin",14,142,283,"4002"
"25211","Kjeldsen, Soren",3,141,276,"4002"
"25931","Knox, Russell",36,142,287,"4002"
"26651","Koepka, Brooks",1,140,274,"4002"
"27371","Kuchar, Matt",47,145,290,"4002"
"28091","Lahiri, Anirban",68,149,NA,"4002"
"28811","Langer, Bernhard",31,141,286,"4002"
"29531","Lee, Danny",14,139,283,"4002"
"30251","Leishman, Marc",36,143,287,"4002"
"30971","Lingmerth, David",24,141,284,"4002"
"31691","Love III, Davis",56,147,NA,"4002"
"32411","Lowry, Shane",14,142,283,"4002"
"33131","Mahan, Hunter",43,145,289,"4002"
"33851","Matsuyama, Hideki",47,145,290,"4002"
"34571","McDowell, Graeme",5,141,279,"4002"
"35291","McIlroy, Rory",39,144,288,"4002"
"36011","Merritt, Troy",70,150,NA,"4002"
"36731","Mickelson, Phil",2,137,275,"4002"
"37451","Moore, Ryan",14,140,283,"4002"
"38171","Na, Kevin",56,147,NA,"4002"
