"name","modranks","prob","mododds"
"Fowler, Rickie",1,0.28,"2.6:1"
"Garcia, Sergio",2,0.155,"5.5:1"
"Hoffman, Charley",3,0.101,"8.9:1"
"Pieters, Thomas",4,0.096,"9.4:1"
"Rose, Justin",5,0.072,"12.9:1"
"Rahm, Jon",6,0.058,"16.2:1"
"McIlroy, Rory",7,0.045,"21.2:1"
"Spieth, Jordan",8,0.04,"24:1"
"Mickelson, Phil",9,0.03,"32.3:1"
"McGirt, William",10,0.024,"40.7:1"
"Moore, Ryan",11,0.021,"46.6:1"
"Scott, Adam",11,0.021,"46.6:1"
"Matsuyama, Hideki",13,0.017,"57.8:1"
"Kuchar, Matt",14,0.006,"165.7:1"
"Kaymer, Martin",15,0.005,"199:1"
"Steele, Brendan",16,0.004,"249:1"
"Thomas, Justin",17,0.003,"332.3:1"
"Kjeldsen, Soren",17,0.003,"332.3:1"
"Schwartzel, Charl",17,0.003,"332.3:1"
"Haas, Bill",17,0.003,"332.3:1"
"Stuard, Brian",17,0.003,"332.3:1"
"Hadwin, Adam",22,0.002,"499:1"
"Henley, Russell",23,0.001,"999:1"
"Leishman, Marc",23,0.001,"999:1"
"Walker, Jimmy",23,0.001,"999:1"
"Casey, Paul",23,0.001,"999:1"
"Kisner, Kevin",23,0.001,"999:1"
"Day, Jason",23,0.001,"999:1"
"Dufner, Jason",23,0.001,"999:1"
"Snedeker, Brandt",23,0.001,"999:1"
