"name","modranks","prob","mododds"
"Fowler, Rickie",1,0.2639,"2.8:1"
"Garcia, Sergio",2,0.1612,"5.2:1"
"Hoffman, Charley",3,0.0983,"9.2:1"
"Pieters, Thomas",4,0.0901,"10.1:1"
"Rose, Justin",5,0.0656,"14.2:1"
"Rahm, Jon",6,0.063,"14.9:1"
"McIlroy, Rory",7,0.0592,"15.9:1"
"Spieth, Jordan",8,0.054,"17.5:1"
"McGirt, William",9,0.0241,"40.5:1"
"Moore, Ryan",10,0.0222,"44:1"
"Mickelson, Phil",11,0.0217,"45.1:1"
"Scott, Adam",12,0.0174,"56.5:1"
"Matsuyama, Hideki",13,0.0144,"68.4:1"
"Kuchar, Matt",14,0.007,"141.9:1"
"Kaymer, Martin",15,0.0049,"203.1:1"
"Kjeldsen, Soren",16,0.0038,"262.2:1"
"Henley, Russell",17,0.0034,"293.1:1"
"Leishman, Marc",18,0.0033,"302:1"
"Casey, Paul",19,0.003,"332.3:1"
"Schwartzel, Charl",20,0.0025,"399:1"
"Steele, Brendan",21,0.0019,"525.3:1"
"Koepka, Brooks",22,0.0017,"587.2:1"
"Dufner, Jason",23,0.0015,"665.7:1"
"Thomas, Justin",24,0.0014,"713.3:1"
"Haas, Bill",25,0.0013,"768.2:1"
"Oosthuizen, Louis",26,0.0011,"908.1:1"
"Westwood, Lee",27,0.001,"999:1"
"Stuard, Brian",28,9e-04,"1110.1:1"
"Kisner, Kevin",29,7e-04,"1427.6:1"
"Chappell, Kevin",30,6e-04,"1665.7:1"
"Fisher, Ross",30,6e-04,"1665.7:1"
"Day, Jason",32,5e-04,"1999:1"
"Fitzpatrick, Matthew",32,5e-04,"1999:1"
"Snedeker, Brandt",32,5e-04,"1999:1"
"Berger, Daniel",32,5e-04,"1999:1"
"Walker, Jimmy",36,4e-04,"2499:1"
"Perez, Pat",36,4e-04,"2499:1"
"Stricker, Steve",38,3e-04,"3332.3:1"
"Hadwin, Adam",38,3e-04,"3332.3:1"
"Sullivan, Andy",40,2e-04,"4999:1"
"Wiesberger, Bernd",40,2e-04,"4999:1"
"Holmes, J.B.",40,2e-04,"4999:1"
"Grillo, Emiliano",43,1e-04,"9999:1"
"Molinari, Francesco",43,1e-04,"9999:1"
"Summerhays, Daniel",43,1e-04,"9999:1"
