"name","modranks","prob","mododds"
"Garcia, Sergio",2,0.11,"8.1:1"
"Rahm, Jon",2,0.11,"8.1:1"
"Pieters, Thomas",4,0.1,"9:1"
"Fowler, Rickie",1,0.26,"2.8:1"
"Hoffman, Charley",5,0.09,"10.1:1"
"Kuchar, Matt",12,0.01,"99:1"
"McIlroy, Rory",5,0.09,"10.1:1"
"Moore, Ryan",7,0.05,"19:1"
"Spieth, Jordan",7,0.05,"19:1"
"Scott, Adam",12,0.01,"99:1"
"Rose, Justin",7,0.05,"19:1"
"Matsuyama, Hideki",11,0.02,"49:1"
"Mickelson, Phil",10,0.03,"32.3:1"
"Haas, Bill",12,0.01,"99:1"
"McGirt, William",12,0.01,"99:1"
