"name","score","rank","vegasodds","vegasranks","modranks","prob"
"An, Byeong Hun",151,56,160,38,42,0.0103
"Aphibarnrat, Kiradech",291,15,300,64,67,0.0052
"Berger, Daniel",289,10,200,46,29,0.0152
"Bowditch, Steven",161,79,500,71,77,3e-04
"Bradley, Keegan",301,51,200,46,46,0.0092
"Cabrera Bello, Rafa",292,17,90,26,18,0.0209
"Cabrera, Angel",294,24,150,36,47,0.0091
"Casey, Paul",287,4,65,19,11,0.0332
"Clarke, Darren",160,78,1000,77,77,3e-04
"Day, Jason",289,10,6.5,1,1,0.0543
"DeChambeau, Bryson",293,21,150,36,62,0.0071
"Donaldson, Jamie",293,21,200,46,32,0.0139
"Dubuisson, Victor",299,41,200,46,75,0.0027
"Dufner, Jason",153,66,110,28,37,0.0129
"Els, Ernie",153,66,225,58,60,0.0072
"English, Harris",299,41,130,32,52,0.0085
"Fitzpatrick, Matthew",288,7,250,59,64,0.0064
"Fowler, Rickie",153,66,15,6,9,0.0377
"Garcia, Sergio",296,34,50,15,25,0.0172
"Gomez, Fabian",157,76,500,71,66,0.006
"Grace, Branden",152,61,85,24,20,0.0202
"Grillo, Emiliano",292,17,200,46,35,0.0135
"Haas, Bill",294,24,110,28,30,0.0145
"Herman, Jim",153,66,300,64,58,0.0075
"Hoffman, Charley",295,29,100,27,14,0.0235
"Holmes, J.B.",287,4,130,32,28,0.016
"Horschel, Billy",292,17,160,38,23,0.0179
"Immelman, Trevor",151,56,1000,77,76,0.001
"Jaidee, Thongchai",307,55,300,64,67,0.0052
"Johnson, Dustin",287,4,15,6,3,0.0524
"Johnson, Zach",152,61,50,15,41,0.0107
"Kaufman, Smylie",295,29,250,59,52,0.0085
"Kaymer, Martin",300,48,160,38,39,0.0109
"Kirk, Chris",153,66,160,38,24,0.0175
"Kisner, Kevin",297,37,85,24,32,0.0139
"Kjeldsen, Soren",288,7,500,71,44,0.0097
"Knox, Russell",152,61,200,46,48,0.009
"Koepka, Brooks",293,21,65,19,19,0.0203
"Kuchar, Matt",294,24,65,19,12,0.03
"Lahiri, Anirban",299,41,250,59,63,0.0069
"Langer, Bernhard",294,24,500,71,71,0.0039
"Lee, Danny",292,17,160,38,54,0.0084
"Leishman, Marc",151,56,65,19,27,0.0162
"Lingmerth, David",152,61,200,46,57,0.0076
"Love III, Davis",299,41,500,71,73,0.0033
"Lowry, Shane",298,39,160,38,34,0.0138
"Mahan, Hunter",302,52,200,46,60,0.0072
"Matsuyama, Hideki",288,7,45,13,8,0.0385
"McDowell, Graeme",153,66,200,46,65,0.0062
"McIlroy, Rory",289,10,8,2,7,0.0395
"Merritt, Troy",299,41,300,64,70,0.004
"Mickelson, Phil",151,56,15,6,5,0.0454
"Moore, Ryan",155,74,110,28,15,0.0213
"Na, Kevin",303,53,130,32,38,0.0123
"Oosthuizen, Louis",291,15,28,11,21,0.0199
"Piercy, Scott",295,29,250,59,45,0.0095
"Poulter, Ian",300,48,130,32,40,0.0108
"Reed, Patrick",300,48,45,13,22,0.0198
"Rose, Justin",289,10,25,9,4,0.0466
"Schwartzel, Charl",152,61,35,12,16,0.0212
"Scott, Adam",299,41,12,4,6,0.0435
"Simpson, Webb",295,29,200,46,36,0.0131
"Singh, Vijay",153,66,500,71,59,0.0073
"Smith, Cameron",303,53,300,64,74,0.0031
"Snedeker, Brandt",289,10,50,15,17,0.0211
"Spieth, Jordan",286,2,8.5,3,2,0.053
"Stenson, Henrik",294,24,25,9,13,0.0239
"Streb, Robert",156,75,300,64,69,0.005
"Streelman, Kevin",296,34,200,46,50,0.0086
"Sullivan, Andy",157,76,160,38,55,0.0083
"Taylor, Vaughn",151,56,300,64,43,0.0099
"Thomas, Justin",298,39,110,28,48,0.009
"Walker, Jimmy",295,29,65,19,26,0.017
"Watson, Bubba",297,37,12,4,10,0.0345
"Weir, Mike",154,73,2000,81,78,NA
"Westwood, Lee",286,2,160,38,72,0.0035
"Wiesberger, Bernd",296,34,200,46,56,0.0077
"Willett, Danny",283,1,50,15,31,0.0144
"Wood, Chris",299,41,250,59,50,0.0086
