"name","score","rank","vegasodds","vegasranks","modranks","prob"
"An, Byeong Hun",151,56,160,38,41,0.0109
"Aphibarnrat, Kiradech",291,15,300,64,65,0.006
"Berger, Daniel",289,10,200,46,25,0.017
"Bowditch, Steven",161,79,500,71,78,1e-04
"Bradley, Keegan",301,51,200,46,49,0.0089
"Cabrera Bello, Rafa",292,17,90,26,15,0.0228
"Cabrera, Angel",294,24,150,36,43,0.0104
"Casey, Paul",287,4,65,19,11,0.0331
"Clarke, Darren",160,78,1000,77,77,3e-04
"Day, Jason",289,10,6.5,1,4,0.0495
"DeChambeau, Bryson",293,21,150,36,58,0.008
"Donaldson, Jamie",293,21,200,46,39,0.012
"Dubuisson, Victor",299,41,200,46,75,0.0024
"Dufner, Jason",153,66,110,28,32,0.0149
"Els, Ernie",153,66,225,58,62,0.0071
"English, Harris",299,41,130,32,56,0.0081
"Fitzpatrick, Matthew",288,7,250,59,66,0.0057
"Fowler, Rickie",153,66,15,6,10,0.0344
"Garcia, Sergio",296,34,50,15,22,0.0177
"Gomez, Fabian",157,76,500,71,64,0.0065
"Grace, Branden",152,61,85,24,18,0.02
"Grillo, Emiliano",292,17,200,46,33,0.0143
"Haas, Bill",294,24,110,28,34,0.0135
"Herman, Jim",153,66,300,64,46,0.0095
"Hoffman, Charley",295,29,100,27,13,0.0242
"Holmes, J.B.",287,4,130,32,23,0.0173
"Horschel, Billy",292,17,160,38,27,0.0169
"Immelman, Trevor",151,56,1000,77,76,0.0012
"Jaidee, Thongchai",307,55,300,64,69,0.0051
"Johnson, Dustin",287,4,15,6,1,0.0548
"Johnson, Zach",152,61,50,15,45,0.0096
"Kaufman, Smylie",295,29,250,59,50,0.0088
"Kaymer, Martin",300,48,160,38,40,0.0116
"Kirk, Chris",153,66,160,38,21,0.0186
"Kisner, Kevin",297,37,85,24,35,0.0134
"Kjeldsen, Soren",288,7,500,71,60,0.0079
"Knox, Russell",152,61,200,46,38,0.0121
"Koepka, Brooks",293,21,65,19,20,0.0192
"Kuchar, Matt",294,24,65,19,12,0.0326
"Lahiri, Anirban",299,41,250,59,63,0.0067
"Langer, Bernhard",294,24,500,71,72,0.0032
"Lee, Danny",292,17,160,38,56,0.0081
"Leishman, Marc",151,56,65,19,30,0.0156
"Lingmerth, David",152,61,200,46,44,0.0099
"Love III, Davis",299,41,500,71,71,0.0037
"Lowry, Shane",298,39,160,38,30,0.0156
"Mahan, Hunter",302,52,200,46,51,0.0087
"Matsuyama, Hideki",288,7,45,13,7,0.0407
"McDowell, Graeme",153,66,200,46,67,0.0054
"McIlroy, Rory",289,10,8,2,8,0.0401
"Merritt, Troy",299,41,300,64,70,0.0046
"Mickelson, Phil",151,56,15,6,2,0.0543
"Moore, Ryan",155,74,110,28,17,0.0218
"Na, Kevin",303,53,130,32,37,0.0127
"Oosthuizen, Louis",291,15,28,11,23,0.0173
"Piercy, Scott",295,29,250,59,48,0.0094
"Poulter, Ian",300,48,130,32,42,0.0105
"Reed, Patrick",300,48,45,13,28,0.0161
"Rose, Justin",289,10,25,9,6,0.0436
"Schwartzel, Charl",152,61,35,12,19,0.0196
"Scott, Adam",299,41,12,4,5,0.0437
"Simpson, Webb",295,29,200,46,36,0.0129
"Singh, Vijay",153,66,500,71,60,0.0079
"Smith, Cameron",303,53,300,64,74,0.003
"Snedeker, Brandt",289,10,50,15,16,0.0224
"Spieth, Jordan",286,2,8.5,3,3,0.0533
"Stenson, Henrik",294,24,25,9,14,0.0239
"Streb, Robert",156,75,300,64,68,0.0052
"Streelman, Kevin",296,34,200,46,53,0.0086
"Sullivan, Andy",157,76,160,38,55,0.0083
"Taylor, Vaughn",151,56,300,64,54,0.0085
"Thomas, Justin",298,39,110,28,46,0.0095
"Walker, Jimmy",295,29,65,19,29,0.0158
"Watson, Bubba",297,37,12,4,9,0.0355
"Weir, Mike",154,73,2000,81,79,NA
"Westwood, Lee",286,2,160,38,73,0.0031
"Wiesberger, Bernd",296,34,200,46,58,0.008
"Willett, Danny",283,1,50,15,25,0.017
"Wood, Chris",299,41,250,59,51,0.0087
