"name","score","rank","vegasodds","vegasranks","modranks","prob"
"An, Byeong Hun",151,56,160,38,42,0.0043
"Aphibarnrat, Kiradech",291,15,300,64,55,0.003
"Berger, Daniel",289,10,200,46,37,0.0053
"Bowditch, Steven",161,79,500,71,77,NA
"Bradley, Keegan",301,51,200,46,54,0.0031
"Cabrera Bello, Rafa",292,17,90,26,20,0.0122
"Cabrera, Angel",294,24,150,36,51,0.0032
"Casey, Paul",287,4,65,19,12,0.0223
"Clarke, Darren",160,78,1000,77,76,1e-04
"Day, Jason",289,10,6.5,1,1,0.18
"DeChambeau, Bryson",293,21,150,36,69,0.0014
"Donaldson, Jamie",293,21,200,46,35,0.0055
"Dubuisson, Victor",299,41,200,46,70,0.0013
"Dufner, Jason",153,66,110,28,32,0.0062
"Els, Ernie",153,66,225,58,64,0.0023
"English, Harris",299,41,130,32,48,0.0035
"Fitzpatrick, Matthew",288,7,250,59,63,0.0027
"Fowler, Rickie",153,66,15,6,7,0.0595
"Garcia, Sergio",296,34,50,15,19,0.0132
"Gomez, Fabian",157,76,500,71,65,0.0022
"Grace, Branden",152,61,85,24,13,0.0183
"Grillo, Emiliano",292,17,200,46,40,0.0045
"Haas, Bill",294,24,110,28,29,0.0072
"Herman, Jim",153,66,300,64,58,0.0029
"Hoffman, Charley",295,29,100,27,26,0.0087
"Holmes, J.B.",287,4,130,32,25,0.0098
"Horschel, Billy",292,17,160,38,34,0.0058
"Immelman, Trevor",151,56,1000,77,76,1e-04
"Jaidee, Thongchai",307,55,300,64,60,0.0028
"Johnson, Dustin",287,4,15,6,5,0.0627
"Johnson, Zach",152,61,50,15,33,0.0061
"Kaufman, Smylie",295,29,250,59,46,0.0038
"Kaymer, Martin",300,48,160,38,38,0.0046
"Kirk, Chris",153,66,160,38,31,0.0071
"Kisner, Kevin",297,37,85,24,28,0.0076
"Kjeldsen, Soren",288,7,500,71,60,0.0028
"Knox, Russell",152,61,200,46,43,0.0042
"Koepka, Brooks",293,21,65,19,21,0.0115
"Kuchar, Matt",294,24,65,19,15,0.0169
"Lahiri, Anirban",299,41,250,59,67,0.0021
"Langer, Bernhard",294,24,500,71,73,7e-04
"Lee, Danny",292,17,160,38,51,0.0032
"Leishman, Marc",151,56,65,19,27,0.0078
"Lingmerth, David",152,61,200,46,47,0.0037
"Love III, Davis",299,41,500,71,75,6e-04
"Lowry, Shane",298,39,160,38,36,0.0054
"Mahan, Hunter",302,52,200,46,58,0.0029
"Matsuyama, Hideki",288,7,45,13,11,0.0277
"McDowell, Graeme",153,66,200,46,65,0.0022
"McIlroy, Rory",289,10,8,2,3,0.0956
"Merritt, Troy",299,41,300,64,71,0.001
"Mickelson, Phil",151,56,15,6,10,0.0356
"Moore, Ryan",155,74,110,28,24,0.0105
"Na, Kevin",303,53,130,32,29,0.0072
"Oosthuizen, Louis",291,15,28,11,17,0.0148
"Piercy, Scott",295,29,250,59,50,0.0034
"Poulter, Ian",300,48,130,32,44,0.004
"Reed, Patrick",300,48,45,13,17,0.0148
"Rose, Justin",289,10,25,9,8,0.0531
"Schwartzel, Charl",152,61,35,12,16,0.0158
"Scott, Adam",299,41,12,4,6,0.0601
"Simpson, Webb",295,29,200,46,38,0.0046
"Singh, Vijay",153,66,500,71,55,0.003
"Smith, Cameron",303,53,300,64,73,7e-04
"Snedeker, Brandt",289,10,50,15,14,0.0174
"Spieth, Jordan",286,2,8.5,3,2,0.1368
"Stenson, Henrik",294,24,25,9,9,0.0364
"Streb, Robert",156,75,300,64,68,0.002
"Streelman, Kevin",296,34,200,46,51,0.0032
"Sullivan, Andy",157,76,160,38,55,0.003
"Taylor, Vaughn",151,56,300,64,60,0.0028
"Thomas, Justin",298,39,110,28,45,0.0039
"Walker, Jimmy",295,29,65,19,23,0.0107
"Watson, Bubba",297,37,12,4,4,0.0663
"Weir, Mike",154,73,2000,81,77,NA
"Westwood, Lee",286,2,160,38,72,9e-04
"Wiesberger, Bernd",296,34,200,46,40,0.0045
"Willett, Danny",283,1,50,15,22,0.011
"Wood, Chris",299,41,250,59,48,0.0035
