"name","score","rank","vegasodds","vegasranks","modranks","prob"
"An, Byeong Hun",151,56,160,38,40,0.0109
"Aphibarnrat, Kiradech",291,15,300,64,57,0.0078
"Berger, Daniel",289,10,200,46,25,0.0167
"Bowditch, Steven",161,79,500,71,78,1e-04
"Bradley, Keegan",301,51,200,46,51,0.0084
"Cabrera Bello, Rafa",292,17,90,26,14,0.0249
"Cabrera, Angel",294,24,150,36,42,0.0104
"Casey, Paul",287,4,65,19,10,0.0351
"Clarke, Darren",160,78,1000,77,77,0.001
"Day, Jason",289,10,6.5,1,2,0.0546
"DeChambeau, Bryson",293,21,150,36,46,0.0097
"Donaldson, Jamie",293,21,200,46,37,0.012
"Dubuisson, Victor",299,41,200,46,75,0.0021
"Dufner, Jason",153,66,110,28,32,0.0142
"Els, Ernie",153,66,225,58,64,0.0065
"English, Harris",299,41,130,32,62,0.007
"Fitzpatrick, Matthew",288,7,250,59,63,0.0066
"Fowler, Rickie",153,66,15,6,8,0.0388
"Garcia, Sergio",296,34,50,15,23,0.0172
"Gomez, Fabian",157,76,500,71,66,0.0062
"Grace, Branden",152,61,85,24,19,0.02
"Grillo, Emiliano",292,17,200,46,36,0.0129
"Haas, Bill",294,24,110,28,33,0.0139
"Herman, Jim",153,66,300,64,52,0.0083
"Hoffman, Charley",295,29,100,27,18,0.0206
"Holmes, J.B.",287,4,130,32,21,0.0181
"Horschel, Billy",292,17,160,38,29,0.0155
"Immelman, Trevor",151,56,1000,77,76,0.0019
"Jaidee, Thongchai",307,55,300,64,67,0.006
"Johnson, Dustin",287,4,15,6,1,0.0572
"Johnson, Zach",152,61,50,15,40,0.0109
"Kaufman, Smylie",295,29,250,59,48,0.009
"Kaymer, Martin",300,48,160,38,44,0.0098
"Kirk, Chris",153,66,160,38,26,0.0165
"Kisner, Kevin",297,37,85,24,34,0.0133
"Kjeldsen, Soren",288,7,500,71,57,0.0078
"Knox, Russell",152,61,200,46,39,0.011
"Koepka, Brooks",293,21,65,19,20,0.0195
"Kuchar, Matt",294,24,65,19,12,0.0313
"Lahiri, Anirban",299,41,250,59,64,0.0065
"Langer, Bernhard",294,24,500,71,74,0.0032
"Lee, Danny",292,17,160,38,54,0.0082
"Leishman, Marc",151,56,65,19,29,0.0155
"Lingmerth, David",152,61,200,46,44,0.0098
"Love III, Davis",299,41,500,71,72,0.0036
"Lowry, Shane",298,39,160,38,31,0.0143
"Mahan, Hunter",302,52,200,46,59,0.0077
"Matsuyama, Hideki",288,7,45,13,9,0.037
"McDowell, Graeme",153,66,200,46,68,0.0058
"McIlroy, Rory",289,10,8,2,6,0.041
"Merritt, Troy",299,41,300,64,70,0.0047
"Mickelson, Phil",151,56,15,6,4,0.0481
"Moore, Ryan",155,74,110,28,17,0.0218
"Na, Kevin",303,53,130,32,43,0.0102
"Oosthuizen, Louis",291,15,28,11,24,0.0168
"Piercy, Scott",295,29,250,59,49,0.0085
"Poulter, Ian",300,48,130,32,38,0.0119
"Reed, Patrick",300,48,45,13,22,0.0176
"Rose, Justin",289,10,25,9,7,0.0397
"Schwartzel, Charl",152,61,35,12,16,0.0231
"Scott, Adam",299,41,12,4,5,0.046
"Simpson, Webb",295,29,200,46,35,0.0131
"Singh, Vijay",153,66,500,71,60,0.0072
"Smith, Cameron",303,53,300,64,73,0.0034
"Snedeker, Brandt",289,10,50,15,15,0.0238
"Spieth, Jordan",286,2,8.5,3,3,0.0484
"Stenson, Henrik",294,24,25,9,13,0.027
"Streb, Robert",156,75,300,64,69,0.0049
"Streelman, Kevin",296,34,200,46,52,0.0083
"Sullivan, Andy",157,76,160,38,56,0.008
"Taylor, Vaughn",151,56,300,64,54,0.0082
"Thomas, Justin",298,39,110,28,61,0.0071
"Walker, Jimmy",295,29,65,19,28,0.0157
"Watson, Bubba",297,37,12,4,11,0.0318
"Weir, Mike",154,73,2000,81,79,NA
"Westwood, Lee",286,2,160,38,71,0.0041
"Wiesberger, Bernd",296,34,200,46,47,0.0094
"Willett, Danny",283,1,50,15,27,0.0159
"Wood, Chris",299,41,250,59,49,0.0085
