"name","modranks","prob","mododds"
"Garcia, Sergio",2,0.174,"4.7:1"
"Scott, Adam",12,0.012,"82.3:1"
"Hoffman, Charley",3,0.106,"8.4:1"
"Rose, Justin",5,0.074,"12.5:1"
"Fowler, Rickie",1,0.268,"2.7:1"
"Kisner, Kevin",19,0.002,"499:1"
"Spieth, Jordan",8,0.053,"17.9:1"
"McIlroy, Rory",7,0.058,"16.2:1"
"Pieters, Thomas",4,0.08,"11.5:1"
"Mickelson, Phil",10,0.014,"70.4:1"
"Thomas, Justin",26,0.001,"999:1"
"Moore, Ryan",11,0.013,"75.9:1"
"McGirt, William",9,0.016,"61.5:1"
"Kjeldsen, Soren",15,0.008,"124:1"
"Rahm, Jon",5,0.074,"12.5:1"
"Matsuyama, Hideki",13,0.01,"99:1"
"Kaymer, Martin",16,0.007,"141.9:1"
"Kuchar, Matt",14,0.009,"110.1:1"
"Leishman, Marc",19,0.002,"499:1"
"Berger, Daniel",19,0.002,"499:1"
"Steele, Brendan",19,0.002,"499:1"
"Oosthuizen, Louis",26,0.001,"999:1"
"Henley, Russell",17,0.004,"249:1"
"Schwartzel, Charl",18,0.003,"332.3:1"
"Walker, Jimmy",19,0.002,"499:1"
"Haas, Bill",19,0.002,"499:1"
"Casey, Paul",26,0.001,"999:1"
"Grillo, Emiliano",19,0.002,"499:1"
