"name","score","rank","vegasodds","vegasranks","modranks","prob"
"An, Byeong Hun",151,56,160,38,46,0.0098
"Aphibarnrat, Kiradech",291,15,300,64,68,0.0057
"Berger, Daniel",289,10,200,46,32,0.0141
"Bowditch, Steven",161,79,500,71,78,2e-04
"Bradley, Keegan",301,51,200,46,48,0.0093
"Cabrera Bello, Rafa",292,17,90,26,14,0.0242
"Cabrera, Angel",294,24,150,36,43,0.0108
"Casey, Paul",287,4,65,19,10,0.0355
"Clarke, Darren",160,78,1000,77,77,5e-04
"Day, Jason",289,10,6.5,1,1,0.0568
"DeChambeau, Bryson",293,21,150,36,56,0.0079
"Donaldson, Jamie",293,21,200,46,33,0.0125
"Dubuisson, Victor",299,41,200,46,75,0.0017
"Dufner, Jason",153,66,110,28,30,0.0147
"Els, Ernie",153,66,225,58,56,0.0079
"English, Harris",299,41,130,32,51,0.0087
"Fitzpatrick, Matthew",288,7,250,59,59,0.0075
"Fowler, Rickie",153,66,15,6,8,0.0371
"Garcia, Sergio",296,34,50,15,25,0.0172
"Gomez, Fabian",157,76,500,71,60,0.0074
"Grace, Branden",152,61,85,24,21,0.0184
"Grillo, Emiliano",292,17,200,46,42,0.0111
"Haas, Bill",294,24,110,28,34,0.0124
"Herman, Jim",153,66,300,64,62,0.007
"Hoffman, Charley",295,29,100,27,16,0.0217
"Holmes, J.B.",287,4,130,32,27,0.0158
"Horschel, Billy",292,17,160,38,24,0.0173
"Immelman, Trevor",151,56,1000,77,76,0.0015
"Jaidee, Thongchai",307,55,300,64,70,0.0042
"Johnson, Dustin",287,4,15,6,2,0.0543
"Johnson, Zach",152,61,50,15,38,0.0114
"Kaufman, Smylie",295,29,250,59,37,0.0119
"Kaymer, Martin",300,48,160,38,39,0.0113
"Kirk, Chris",153,66,160,38,26,0.0162
"Kisner, Kevin",297,37,85,24,29,0.0153
"Kjeldsen, Soren",288,7,500,71,63,0.0068
"Knox, Russell",152,61,200,46,44,0.0104
"Koepka, Brooks",293,21,65,19,19,0.0189
"Kuchar, Matt",294,24,65,19,12,0.0336
"Lahiri, Anirban",299,41,250,59,65,0.0067
"Langer, Bernhard",294,24,500,71,73,0.0035
"Lee, Danny",292,17,160,38,58,0.0076
"Leishman, Marc",151,56,65,19,31,0.0144
"Lingmerth, David",152,61,200,46,45,0.0102
"Love III, Davis",299,41,500,71,70,0.0042
"Lowry, Shane",298,39,160,38,36,0.0123
"Mahan, Hunter",302,52,200,46,49,0.0091
"Matsuyama, Hideki",288,7,45,13,9,0.0358
"McDowell, Graeme",153,66,200,46,67,0.0059
"McIlroy, Rory",289,10,8,2,6,0.0422
"Merritt, Troy",299,41,300,64,69,0.0054
"Mickelson, Phil",151,56,15,6,3,0.0519
"Moore, Ryan",155,74,110,28,18,0.0192
"Na, Kevin",303,53,130,32,34,0.0124
"Oosthuizen, Louis",291,15,28,11,20,0.0188
"Piercy, Scott",295,29,250,59,53,0.0085
"Poulter, Ian",300,48,130,32,47,0.0096
"Reed, Patrick",300,48,45,13,21,0.0184
"Rose, Justin",289,10,25,9,5,0.0446
"Schwartzel, Charl",152,61,35,12,17,0.0215
"Scott, Adam",299,41,12,4,7,0.0415
"Simpson, Webb",295,29,200,46,39,0.0113
"Singh, Vijay",153,66,500,71,61,0.0071
"Smith, Cameron",303,53,300,64,74,0.003
"Snedeker, Brandt",289,10,50,15,15,0.0225
"Spieth, Jordan",286,2,8.5,3,4,0.0506
"Stenson, Henrik",294,24,25,9,13,0.0251
"Streb, Robert",156,75,300,64,66,0.006
"Streelman, Kevin",296,34,200,46,55,0.0082
"Sullivan, Andy",157,76,160,38,63,0.0068
"Taylor, Vaughn",151,56,300,64,41,0.0112
"Thomas, Justin",298,39,110,28,51,0.0087
"Walker, Jimmy",295,29,65,19,23,0.0174
"Watson, Bubba",297,37,12,4,11,0.0353
"Weir, Mike",154,73,2000,81,79,NA
"Westwood, Lee",286,2,160,38,72,0.0037
"Wiesberger, Bernd",296,34,200,46,50,0.0089
"Willett, Danny",283,1,50,15,28,0.0156
"Wood, Chris",299,41,250,59,53,0.0085
