"name","score","rank","vegasodds","vegasranks","modranks","prob"
"An, Byeong Hun",151,56,160,38,43,0.0042
"Aphibarnrat, Kiradech",291,15,300,64,62,0.0026
"Berger, Daniel",289,10,200,46,40,0.0047
"Bowditch, Steven",161,79,500,71,77,NA
"Bradley, Keegan",301,51,200,46,49,0.0035
"Cabrera Bello, Rafa",292,17,90,26,20,0.0136
"Cabrera, Angel",294,24,150,36,49,0.0035
"Casey, Paul",287,4,65,19,12,0.0218
"Clarke, Darren",160,78,1000,77,76,1e-04
"Day, Jason",289,10,6.5,1,1,0.184
"DeChambeau, Bryson",293,21,150,36,69,0.0016
"Donaldson, Jamie",293,21,200,46,38,0.0049
"Dubuisson, Victor",299,41,200,46,70,0.0015
"Dufner, Jason",153,66,110,28,33,0.0063
"Els, Ernie",153,66,225,58,68,0.0018
"English, Harris",299,41,130,32,57,0.0029
"Fitzpatrick, Matthew",288,7,250,59,63,0.0025
"Fowler, Rickie",153,66,15,6,4,0.0659
"Garcia, Sergio",296,34,50,15,18,0.0144
"Gomez, Fabian",157,76,500,71,44,0.0041
"Grace, Branden",152,61,85,24,15,0.0171
"Grillo, Emiliano",292,17,200,46,36,0.0055
"Haas, Bill",294,24,110,28,30,0.008
"Herman, Jim",153,66,300,64,66,0.0024
"Hoffman, Charley",295,29,100,27,25,0.0105
"Holmes, J.B.",287,4,130,32,23,0.0111
"Horschel, Billy",292,17,160,38,29,0.0081
"Immelman, Trevor",151,56,1000,77,77,NA
"Jaidee, Thongchai",307,55,300,64,63,0.0025
"Johnson, Dustin",287,4,15,6,6,0.0602
"Johnson, Zach",152,61,50,15,31,0.007
"Kaufman, Smylie",295,29,250,59,39,0.0048
"Kaymer, Martin",300,48,160,38,41,0.0045
"Kirk, Chris",153,66,160,38,27,0.0088
"Kisner, Kevin",297,37,85,24,35,0.006
"Kjeldsen, Soren",288,7,500,71,44,0.0041
"Knox, Russell",152,61,200,46,48,0.0038
"Koepka, Brooks",293,21,65,19,21,0.0125
"Kuchar, Matt",294,24,65,19,14,0.0174
"Lahiri, Anirban",299,41,250,59,52,0.0034
"Langer, Bernhard",294,24,500,71,72,9e-04
"Lee, Danny",292,17,160,38,49,0.0035
"Leishman, Marc",151,56,65,19,28,0.0083
"Lingmerth, David",152,61,200,46,47,0.004
"Love III, Davis",299,41,500,71,74,4e-04
"Lowry, Shane",298,39,160,38,34,0.0061
"Mahan, Hunter",302,52,200,46,60,0.0028
"Matsuyama, Hideki",288,7,45,13,11,0.03
"McDowell, Graeme",153,66,200,46,66,0.0024
"McIlroy, Rory",289,10,8,2,3,0.0901
"Merritt, Troy",299,41,300,64,72,9e-04
"Mickelson, Phil",151,56,15,6,9,0.0376
"Moore, Ryan",155,74,110,28,23,0.0111
"Na, Kevin",303,53,130,32,32,0.0069
"Oosthuizen, Louis",291,15,28,11,19,0.0143
"Piercy, Scott",295,29,250,59,44,0.0041
"Poulter, Ian",300,48,130,32,42,0.0044
"Reed, Patrick",300,48,45,13,17,0.0146
"Rose, Justin",289,10,25,9,8,0.0451
"Schwartzel, Charl",152,61,35,12,16,0.0148
"Scott, Adam",299,41,12,4,7,0.0558
"Simpson, Webb",295,29,200,46,36,0.0055
"Singh, Vijay",153,66,500,71,55,0.003
"Smith, Cameron",303,53,300,64,74,4e-04
"Snedeker, Brandt",289,10,50,15,13,0.0194
"Spieth, Jordan",286,2,8.5,3,2,0.1387
"Stenson, Henrik",294,24,25,9,10,0.0335
"Streb, Robert",156,75,300,64,63,0.0025
"Streelman, Kevin",296,34,200,46,57,0.0029
"Sullivan, Andy",157,76,160,38,53,0.0033
"Taylor, Vaughn",151,56,300,64,60,0.0028
"Thomas, Justin",298,39,110,28,57,0.0029
"Walker, Jimmy",295,29,65,19,26,0.009
"Watson, Bubba",297,37,12,4,5,0.0633
"Weir, Mike",154,73,2000,81,77,NA
"Westwood, Lee",286,2,160,38,71,0.0014
"Wiesberger, Bernd",296,34,200,46,54,0.0032
"Willett, Danny",283,1,50,15,22,0.0116
"Wood, Chris",299,41,250,59,55,0.003
