"name","score","rank","vegasodds","vegasranks","modranks","prob"
"An, Byeong Hun",151,56,160,38,40,0.0048
"Aphibarnrat, Kiradech",291,15,300,64,64,0.0021
"Berger, Daniel",289,10,200,46,34,0.0068
"Bowditch, Steven",161,79,500,71,77,NA
"Bradley, Keegan",301,51,200,46,59,0.0024
"Cabrera Bello, Rafa",292,17,90,26,22,0.0118
"Cabrera, Angel",294,24,150,36,61,0.0022
"Casey, Paul",287,4,65,19,12,0.0222
"Clarke, Darren",160,78,1000,77,77,NA
"Day, Jason",289,10,6.5,1,1,0.1916
"DeChambeau, Bryson",293,21,150,36,67,0.0019
"Donaldson, Jamie",293,21,200,46,38,0.005
"Dubuisson, Victor",299,41,200,46,67,0.0019
"Dufner, Jason",153,66,110,28,35,0.006
"Els, Ernie",153,66,225,58,70,0.0015
"English, Harris",299,41,130,32,54,0.0028
"Fitzpatrick, Matthew",288,7,250,59,58,0.0025
"Fowler, Rickie",153,66,15,6,6,0.0596
"Garcia, Sergio",296,34,50,15,21,0.0119
"Gomez, Fabian",157,76,500,71,56,0.0027
"Grace, Branden",152,61,85,24,13,0.0187
"Grillo, Emiliano",292,17,200,46,43,0.004
"Haas, Bill",294,24,110,28,33,0.0072
"Herman, Jim",153,66,300,64,61,0.0022
"Hoffman, Charley",295,29,100,27,24,0.0112
"Holmes, J.B.",287,4,130,32,25,0.0088
"Horschel, Billy",292,17,160,38,30,0.0076
"Immelman, Trevor",151,56,1000,77,76,2e-04
"Jaidee, Thongchai",307,55,300,64,64,0.0021
"Johnson, Dustin",287,4,15,6,5,0.063
"Johnson, Zach",152,61,50,15,27,0.0083
"Kaufman, Smylie",295,29,250,59,45,0.0039
"Kaymer, Martin",300,48,160,38,37,0.0051
"Kirk, Chris",153,66,160,38,30,0.0076
"Kisner, Kevin",297,37,85,24,32,0.0073
"Kjeldsen, Soren",288,7,500,71,43,0.004
"Knox, Russell",152,61,200,46,40,0.0048
"Koepka, Brooks",293,21,65,19,19,0.0122
"Kuchar, Matt",294,24,65,19,16,0.0166
"Lahiri, Anirban",299,41,250,59,51,0.0029
"Langer, Bernhard",294,24,500,71,72,9e-04
"Lee, Danny",292,17,160,38,46,0.0035
"Leishman, Marc",151,56,65,19,28,0.008
"Lingmerth, David",152,61,200,46,48,0.0032
"Love III, Davis",299,41,500,71,74,5e-04
"Lowry, Shane",298,39,160,38,35,0.006
"Mahan, Hunter",302,52,200,46,69,0.0018
"Matsuyama, Hideki",288,7,45,13,11,0.0278
"McDowell, Graeme",153,66,200,46,59,0.0024
"McIlroy, Rory",289,10,8,2,3,0.0905
"Merritt, Troy",299,41,300,64,72,9e-04
"Mickelson, Phil",151,56,15,6,10,0.033
"Moore, Ryan",155,74,110,28,20,0.012
"Na, Kevin",303,53,130,32,29,0.0079
"Oosthuizen, Louis",291,15,28,11,18,0.0154
"Piercy, Scott",295,29,250,59,47,0.0034
"Poulter, Ian",300,48,130,32,38,0.005
"Reed, Patrick",300,48,45,13,14,0.0186
"Rose, Justin",289,10,25,9,8,0.0437
"Schwartzel, Charl",152,61,35,12,15,0.0168
"Scott, Adam",299,41,12,4,7,0.0568
"Simpson, Webb",295,29,200,46,42,0.0047
"Singh, Vijay",153,66,500,71,66,0.002
"Smith, Cameron",303,53,300,64,74,5e-04
"Snedeker, Brandt",289,10,50,15,16,0.0166
"Spieth, Jordan",286,2,8.5,3,2,0.1429
"Stenson, Henrik",294,24,25,9,9,0.0369
"Streb, Robert",156,75,300,64,57,0.0026
"Streelman, Kevin",296,34,200,46,61,0.0022
"Sullivan, Andy",157,76,160,38,54,0.0028
"Taylor, Vaughn",151,56,300,64,49,0.0031
"Thomas, Justin",298,39,110,28,51,0.0029
"Walker, Jimmy",295,29,65,19,26,0.0085
"Watson, Bubba",297,37,12,4,4,0.0646
"Weir, Mike",154,73,2000,81,77,NA
"Westwood, Lee",286,2,160,38,71,0.001
"Wiesberger, Bernd",296,34,200,46,50,0.003
"Willett, Danny",283,1,50,15,23,0.0115
"Wood, Chris",299,41,250,59,51,0.0029
