"name","score","rank","vegasodds","vegasranks","modranks","prob"
"An, Byeong Hun",151,56,160,38,38,0.0045
"Aphibarnrat, Kiradech",291,15,300,64,63,0.0024
"Berger, Daniel",289,10,200,46,34,0.0061
"Bowditch, Steven",161,79,500,71,76,1e-04
"Bradley, Keegan",301,51,200,46,49,0.0035
"Cabrera Bello, Rafa",292,17,90,26,22,0.0112
"Cabrera, Angel",294,24,150,36,56,0.003
"Casey, Paul",287,4,65,19,13,0.0201
"Clarke, Darren",160,78,1000,77,77,NA
"Day, Jason",289,10,6.5,1,1,0.1843
"DeChambeau, Bryson",293,21,150,36,65,0.0021
"Donaldson, Jamie",293,21,200,46,36,0.0048
"Dubuisson, Victor",299,41,200,46,71,0.0012
"Dufner, Jason",153,66,110,28,38,0.0045
"Els, Ernie",153,66,225,58,66,0.002
"English, Harris",299,41,130,32,42,0.0042
"Fitzpatrick, Matthew",288,7,250,59,64,0.0023
"Fowler, Rickie",153,66,15,6,6,0.0625
"Garcia, Sergio",296,34,50,15,18,0.0148
"Gomez, Fabian",157,76,500,71,59,0.0027
"Grace, Branden",152,61,85,24,17,0.0156
"Grillo, Emiliano",292,17,200,46,48,0.0036
"Haas, Bill",294,24,110,28,28,0.0082
"Herman, Jim",153,66,300,64,59,0.0027
"Hoffman, Charley",295,29,100,27,26,0.0086
"Holmes, J.B.",287,4,130,32,23,0.0108
"Horschel, Billy",292,17,160,38,32,0.0074
"Immelman, Trevor",151,56,1000,77,76,1e-04
"Jaidee, Thongchai",307,55,300,64,67,0.0017
"Johnson, Dustin",287,4,15,6,5,0.063
"Johnson, Zach",152,61,50,15,26,0.0086
"Kaufman, Smylie",295,29,250,59,51,0.0033
"Kaymer, Martin",300,48,160,38,45,0.0038
"Kirk, Chris",153,66,160,38,29,0.0081
"Kisner, Kevin",297,37,85,24,33,0.0064
"Kjeldsen, Soren",288,7,500,71,46,0.0037
"Knox, Russell",152,61,200,46,46,0.0037
"Koepka, Brooks",293,21,65,19,20,0.0114
"Kuchar, Matt",294,24,65,19,12,0.0213
"Lahiri, Anirban",299,41,250,59,58,0.0029
"Langer, Bernhard",294,24,500,71,75,2e-04
"Lee, Danny",292,17,160,38,53,0.0032
"Leishman, Marc",151,56,65,19,31,0.0076
"Lingmerth, David",152,61,200,46,40,0.0044
"Love III, Davis",299,41,500,71,73,9e-04
"Lowry, Shane",298,39,160,38,35,0.0053
"Mahan, Hunter",302,52,200,46,55,0.0031
"Matsuyama, Hideki",288,7,45,13,11,0.0323
"McDowell, Graeme",153,66,200,46,67,0.0017
"McIlroy, Rory",289,10,8,2,3,0.0937
"Merritt, Troy",299,41,300,64,72,0.001
"Mickelson, Phil",151,56,15,6,9,0.037
"Moore, Ryan",155,74,110,28,25,0.0095
"Na, Kevin",303,53,130,32,30,0.0077
"Oosthuizen, Louis",291,15,28,11,19,0.0147
"Piercy, Scott",295,29,250,59,40,0.0044
"Poulter, Ian",300,48,130,32,42,0.0042
"Reed, Patrick",300,48,45,13,14,0.0176
"Rose, Justin",289,10,25,9,8,0.0448
"Schwartzel, Charl",152,61,35,12,16,0.0159
"Scott, Adam",299,41,12,4,7,0.062
"Simpson, Webb",295,29,200,46,37,0.0046
"Singh, Vijay",153,66,500,71,59,0.0027
"Smith, Cameron",303,53,300,64,74,3e-04
"Snedeker, Brandt",289,10,50,15,15,0.017
"Spieth, Jordan",286,2,8.5,3,2,0.1348
"Stenson, Henrik",294,24,25,9,10,0.0349
"Streb, Robert",156,75,300,64,70,0.0014
"Streelman, Kevin",296,34,200,46,44,0.0039
"Sullivan, Andy",157,76,160,38,49,0.0035
"Taylor, Vaughn",151,56,300,64,56,0.003
"Thomas, Justin",298,39,110,28,51,0.0033
"Walker, Jimmy",295,29,65,19,24,0.0101
"Watson, Bubba",297,37,12,4,4,0.0693
"Weir, Mike",154,73,2000,81,77,NA
"Westwood, Lee",286,2,160,38,67,0.0017
"Wiesberger, Bernd",296,34,200,46,53,0.0032
"Willett, Danny",283,1,50,15,20,0.0114
"Wood, Chris",299,41,250,59,59,0.0027
