"name","score","rank","vegasodds","vegasranks","modranks","prob"
"An, Byeong Hun",151,56,160,38,39,0.0048
"Aphibarnrat, Kiradech",291,15,300,64,54,0.0028
"Berger, Daniel",289,10,200,46,36,0.0056
"Bowditch, Steven",161,79,500,71,76,1e-04
"Bradley, Keegan",301,51,200,46,49,0.0032
"Cabrera Bello, Rafa",292,17,90,26,24,0.0097
"Cabrera, Angel",294,24,150,36,56,0.0025
"Casey, Paul",287,4,65,19,12,0.0237
"Clarke, Darren",160,78,1000,77,77,NA
"Day, Jason",289,10,6.5,1,1,0.192
"DeChambeau, Bryson",293,21,150,36,61,0.0022
"Donaldson, Jamie",293,21,200,46,35,0.0059
"Dubuisson, Victor",299,41,200,46,71,0.0011
"Dufner, Jason",153,66,110,28,34,0.0062
"Els, Ernie",153,66,225,58,58,0.0024
"English, Harris",299,41,130,32,65,0.0018
"Fitzpatrick, Matthew",288,7,250,59,53,0.003
"Fowler, Rickie",153,66,15,6,7,0.0582
"Garcia, Sergio",296,34,50,15,22,0.0111
"Gomez, Fabian",157,76,500,71,61,0.0022
"Grace, Branden",152,61,85,24,17,0.0141
"Grillo, Emiliano",292,17,200,46,38,0.0053
"Haas, Bill",294,24,110,28,27,0.009
"Herman, Jim",153,66,300,64,61,0.0022
"Hoffman, Charley",295,29,100,27,25,0.0096
"Holmes, J.B.",287,4,130,32,26,0.0094
"Horschel, Billy",292,17,160,38,29,0.0081
"Immelman, Trevor",151,56,1000,77,77,NA
"Jaidee, Thongchai",307,55,300,64,70,0.0013
"Johnson, Dustin",287,4,15,6,4,0.0706
"Johnson, Zach",152,61,50,15,32,0.0073
"Kaufman, Smylie",295,29,250,59,46,0.0037
"Kaymer, Martin",300,48,160,38,45,0.004
"Kirk, Chris",153,66,160,38,30,0.0078
"Kisner, Kevin",297,37,85,24,31,0.0076
"Kjeldsen, Soren",288,7,500,71,47,0.0034
"Knox, Russell",152,61,200,46,41,0.0044
"Koepka, Brooks",293,21,65,19,20,0.0127
"Kuchar, Matt",294,24,65,19,13,0.0187
"Lahiri, Anirban",299,41,250,59,67,0.0017
"Langer, Bernhard",294,24,500,71,75,5e-04
"Lee, Danny",292,17,160,38,56,0.0025
"Leishman, Marc",151,56,65,19,28,0.0086
"Lingmerth, David",152,61,200,46,51,0.0031
"Love III, Davis",299,41,500,71,73,6e-04
"Lowry, Shane",298,39,160,38,37,0.0055
"Mahan, Hunter",302,52,200,46,67,0.0017
"Matsuyama, Hideki",288,7,45,13,11,0.0271
"McDowell, Graeme",153,66,200,46,64,0.0021
"McIlroy, Rory",289,10,8,2,3,0.0934
"Merritt, Troy",299,41,300,64,69,0.0015
"Mickelson, Phil",151,56,15,6,10,0.0375
"Moore, Ryan",155,74,110,28,21,0.0117
"Na, Kevin",303,53,130,32,32,0.0073
"Oosthuizen, Louis",291,15,28,11,16,0.0153
"Piercy, Scott",295,29,250,59,44,0.0041
"Poulter, Ian",300,48,130,32,42,0.0042
"Reed, Patrick",300,48,45,13,15,0.0156
"Rose, Justin",289,10,25,9,8,0.0436
"Schwartzel, Charl",152,61,35,12,18,0.0134
"Scott, Adam",299,41,12,4,6,0.0619
"Simpson, Webb",295,29,200,46,40,0.0046
"Singh, Vijay",153,66,500,71,58,0.0024
"Smith, Cameron",303,53,300,64,73,6e-04
"Snedeker, Brandt",289,10,50,15,14,0.0178
"Spieth, Jordan",286,2,8.5,3,2,0.1332
"Stenson, Henrik",294,24,25,9,9,0.0394
"Streb, Robert",156,75,300,64,54,0.0028
"Streelman, Kevin",296,34,200,46,58,0.0024
"Sullivan, Andy",157,76,160,38,42,0.0042
"Taylor, Vaughn",151,56,300,64,48,0.0033
"Thomas, Justin",298,39,110,28,51,0.0031
"Walker, Jimmy",295,29,65,19,23,0.01
"Watson, Bubba",297,37,12,4,5,0.0629
"Weir, Mike",154,73,2000,81,77,NA
"Westwood, Lee",286,2,160,38,71,0.0011
"Wiesberger, Bernd",296,34,200,46,49,0.0032
"Willett, Danny",283,1,50,15,19,0.013
"Wood, Chris",299,41,250,59,65,0.0018
