"name","modranks","prob","mododds"
"Lowry, Shane",8,0.03,"32.3:1"
"Holmes, J.B.",8,0.03,"32.3:1"
"Fowler, Rickie",3,0.06,"15.7:1"
"Dufner, Jason",15,0.02,"49:1"
"Spieth, Jordan",2,0.08,"11.5:1"
"Fleetwood, Tommy",4,0.04,"24:1"
"Berger, Daniel",21,0.01,"99:1"
"Rahm, Jon",8,0.03,"32.3:1"
"Matsuyama, Hideki",4,0.04,"24:1"
"Steele, Brendan",21,0.01,"99:1"
"Furyk, Jim",21,0.01,"99:1"
"Perez, Pat",21,0.01,"99:1"
"Henley, Russell",15,0.02,"49:1"
"McIlroy, Rory",1,0.12,"7.3:1"
"Hatton, Tyrrell",8,0.03,"32.3:1"
"Fisher, Ross",21,0.01,"99:1"
"Schwartzel, Charl",8,0.03,"32.3:1"
"Sullivan, Andy",15,0.02,"49:1"
"Cabrera-Bello, Rafael",21,0.01,"99:1"
"Johnson, Zach",15,0.02,"49:1"
"Thomas, Justin",4,0.04,"24:1"
"Garcia, Sergio",21,0.01,"99:1"
"Hadwin, Adam",15,0.02,"49:1"
"Stenson, Henrik",15,0.02,"49:1"
"Kjeldsen, Soren",21,0.01,"99:1"
"Piercy, Scott",21,0.01,"99:1"
"Reed, Patrick",21,0.01,"99:1"
"Hoffman, Charley",21,0.01,"99:1"
"Leishman, Marc",21,0.01,"99:1"
"Watson, Bubba",21,0.01,"99:1"
"Woodland, Gary",4,0.04,"24:1"
"Scott, Adam",8,0.03,"32.3:1"
"Pampling, Rod",21,0.01,"99:1"
"Simpson, Webb",21,0.01,"99:1"
"An, Byeong Hun",21,0.01,"99:1"
"McGirt, William",21,0.01,"99:1"
"Walker, Jimmy",21,0.01,"99:1"
"Day, Jason",8,0.03,"32.3:1"
"Kuchar, Matt",21,0.01,"99:1"
"Rose, Justin",21,0.01,"99:1"
"Grace, Branden",21,0.01,"99:1"
"Casey, Paul",21,0.01,"99:1"
"Oosthuizen, Louis",21,0.01,"99:1"
"Kaymer, Martin",21,0.01,"99:1"
"Haas, Bill",21,0.01,"99:1"
