"name","modranks","prob","mododds"
"Fleetwood, Tommy",8,0.0324,"29.9:1"
"Kuchar, Matt",29,0.0096,"103.2:1"
"Snedeker, Brandt",21,0.0125,"79:1"
"McIlroy, Rory",1,0.1532,"5.5:1"
"Matsuyama, Hideki",4,0.0515,"18.4:1"
"Mickelson, Phil",14,0.0196,"50:1"
"Rahm, Jon",6,0.0406,"23.6:1"
"Summerhays, Daniel",64,0.0018,"554.6:1"
"Fowler, Rickie",3,0.0605,"15.5:1"
"Rose, Justin",5,0.0452,"21.1:1"
"Spieth, Jordan",2,0.0662,"14.1:1"
"Molinari, Francesco",24,0.0118,"83.7:1"
"Reed, Patrick",34,0.0073,"136:1"
"Dufner, Jason",38,0.0065,"152.8:1"
"Garcia, Sergio",12,0.0229,"42.7:1"
"Berger, Daniel",27,0.0112,"88.3:1"
"An, Byeong Hun",42,0.0053,"187.7:1"
"Day, Jason",11,0.027,"36:1"
"Fisher, Ross",10,0.0296,"32.8:1"
"Casey, Paul",22,0.0124,"79.6:1"
"Kjeldsen, Soren",55,0.0031,"321.6:1"
"Stenson, Henrik",19,0.0131,"75.3:1"
"Scott, Adam",16,0.0154,"63.9:1"
"Thomas, Justin",9,0.0307,"31.6:1"
"Holmes, J.B.",23,0.012,"82.3:1"
"Furyk, Jim",59,0.0024,"415.7:1"
"Hoffman, Charley",28,0.0097,"102.1:1"
"Grillo, Emiliano",36,0.0067,"148.3:1"
"Fitzpatrick, Matthew",45,0.0048,"207.3:1"
"Wiesberger, Bernd",40,0.0063,"157.7:1"
"Moore, Ryan",32,0.0083,"119.5:1"
"Knox, Russell",69,0.0013,"768.2:1"
"Hatton, Tyrrell",7,0.0346,"27.9:1"
"Kisner, Kevin",18,0.0133,"74.2:1"
"Haas, Bill",20,0.0128,"77.1:1"
"Hadwin, Adam",30,0.0092,"107.7:1"
"Hahn, James",68,0.0014,"713.3:1"
"Perez, Pat",52,0.0035,"284.7:1"
"Leishman, Marc",13,0.02,"49:1"
"Johnson, Zach",48,0.004,"249:1"
"Wood, Chris",64,0.0018,"554.6:1"
"Na, Kevin",49,0.0039,"255.4:1"
"Noren, Alex",64,0.0018,"554.6:1"
"Schwartzel, Charl",46,0.0042,"237.1:1"
"Westwood, Lee",50,0.0038,"262.2:1"
"Woodland, Gary",26,0.0114,"86.7:1"
"Stricker, Steve",58,0.0025,"399:1"
"Piercy, Scott",46,0.0042,"237.1:1"
"Henley, Russell",15,0.0161,"61.1:1"
"Vegas, Jhonattan",63,0.002,"499:1"
"Oosthuizen, Louis",24,0.0118,"83.7:1"
"Hughes, Mackenzie",60,0.0021,"475.2:1"
"Simpson, Webb",55,0.0031,"321.6:1"
"Pieters, Thomas",42,0.0053,"187.7:1"
"Sullivan, Andy",37,0.0066,"150.5:1"
"Lowry, Shane",17,0.0135,"73.1:1"
"Cabrera, Angel",30,0.0092,"107.7:1"
"Willett, Danny",74,5e-04,"1999:1"
"Swafford, Hudson",41,0.0061,"162.9:1"
"Koepka, Brooks",50,0.0038,"262.2:1"
"Ikeda, Yuta",75,4e-04,"2499:1"
"O'Hair, Sean",39,0.0064,"155.2:1"
"McGirt, William",54,0.0033,"302:1"
"Steele, Brendan",44,0.0052,"191.3:1"
"Tanihara, Hideto",57,0.0028,"356.1:1"
"Watson, Bubba",35,0.0069,"143.9:1"
"Stuard, Brian",70,0.0012,"832.3:1"
"Kaymer, Martin",33,0.0074,"134.1:1"
"Pampling, Rod",60,0.0021,"475.2:1"
"Cabrera-Bello, Rafael",67,0.0016,"624:1"
"Walker, Jimmy",60,0.0021,"475.2:1"
"Chappell, Kevin",70,0.0012,"832.3:1"
"Castro, Roberto",72,0.001,"999:1"
"Wang, Jeunghun",75,4e-04,"2499:1"
"Grace, Branden",52,0.0035,"284.7:1"
"Hurley III, Billy",73,8e-04,"1249:1"
"Singh, Vijay",77,2e-04,"4999:1"
"Els, Ernie",78,1e-04,"9999:1"
