"name","score","rank","vegasodds","vegasranks","modranks","prob"
"An, Byeong Hun",151,56,160,38,43,0.0103
"Aphibarnrat, Kiradech",291,15,300,64,60,0.0076
"Berger, Daniel",289,10,200,46,25,0.0163
"Bowditch, Steven",161,79,500,71,78,1e-04
"Bradley, Keegan",301,51,200,46,44,0.0102
"Cabrera Bello, Rafa",292,17,90,26,15,0.0229
"Cabrera, Angel",294,24,150,36,40,0.011
"Casey, Paul",287,4,65,19,9,0.0336
"Clarke, Darren",160,78,1000,77,77,6e-04
"Day, Jason",289,10,6.5,1,3,0.0505
"DeChambeau, Bryson",293,21,150,36,54,0.0084
"Donaldson, Jamie",293,21,200,46,36,0.0133
"Dubuisson, Victor",299,41,200,46,75,0.0023
"Dufner, Jason",153,66,110,28,31,0.015
"Els, Ernie",153,66,225,58,59,0.0077
"English, Harris",299,41,130,32,58,0.008
"Fitzpatrick, Matthew",288,7,250,59,64,0.0065
"Fowler, Rickie",153,66,15,6,8,0.0367
"Garcia, Sergio",296,34,50,15,23,0.0176
"Gomez, Fabian",157,76,500,71,63,0.007
"Grace, Branden",152,61,85,24,19,0.0203
"Grillo, Emiliano",292,17,200,46,34,0.014
"Haas, Bill",294,24,110,28,28,0.0157
"Herman, Jim",153,66,300,64,68,0.0059
"Hoffman, Charley",295,29,100,27,14,0.0238
"Holmes, J.B.",287,4,130,32,24,0.0171
"Horschel, Billy",292,17,160,38,30,0.0151
"Immelman, Trevor",151,56,1000,77,76,0.0013
"Jaidee, Thongchai",307,55,300,64,66,0.0062
"Johnson, Dustin",287,4,15,6,1,0.0532
"Johnson, Zach",152,61,50,15,41,0.0108
"Kaufman, Smylie",295,29,250,59,62,0.0072
"Kaymer, Martin",300,48,160,38,39,0.0112
"Kirk, Chris",153,66,160,38,34,0.014
"Kisner, Kevin",297,37,85,24,27,0.0158
"Kjeldsen, Soren",288,7,500,71,55,0.0083
"Knox, Russell",152,61,200,46,50,0.0095
"Koepka, Brooks",293,21,65,19,19,0.0203
"Kuchar, Matt",294,24,65,19,12,0.0305
"Lahiri, Anirban",299,41,250,59,67,0.0061
"Langer, Bernhard",294,24,500,71,71,0.0036
"Lee, Danny",292,17,160,38,47,0.0098
"Leishman, Marc",151,56,65,19,26,0.016
"Lingmerth, David",152,61,200,46,48,0.0097
"Love III, Davis",299,41,500,71,72,0.003
"Lowry, Shane",298,39,160,38,33,0.0141
"Mahan, Hunter",302,52,200,46,61,0.0074
"Matsuyama, Hideki",288,7,45,13,10,0.0334
"McDowell, Graeme",153,66,200,46,65,0.0063
"McIlroy, Rory",289,10,8,2,6,0.044
"Merritt, Troy",299,41,300,64,70,0.0047
"Mickelson, Phil",151,56,15,6,4,0.0477
"Moore, Ryan",155,74,110,28,21,0.0199
"Na, Kevin",303,53,130,32,38,0.0119
"Oosthuizen, Louis",291,15,28,11,22,0.0188
"Piercy, Scott",295,29,250,59,52,0.0091
"Poulter, Ian",300,48,130,32,44,0.0102
"Reed, Patrick",300,48,45,13,18,0.0211
"Rose, Justin",289,10,25,9,7,0.0428
"Schwartzel, Charl",152,61,35,12,17,0.0216
"Scott, Adam",299,41,12,4,5,0.0451
"Simpson, Webb",295,29,200,46,37,0.0124
"Singh, Vijay",153,66,500,71,57,0.0081
"Smith, Cameron",303,53,300,64,72,0.003
"Snedeker, Brandt",289,10,50,15,16,0.0225
"Spieth, Jordan",286,2,8.5,3,2,0.0506
"Stenson, Henrik",294,24,25,9,13,0.0264
"Streb, Robert",156,75,300,64,69,0.0058
"Streelman, Kevin",296,34,200,46,41,0.0108
"Sullivan, Andy",157,76,160,38,51,0.0093
"Taylor, Vaughn",151,56,300,64,49,0.0096
"Thomas, Justin",298,39,110,28,46,0.0101
"Walker, Jimmy",295,29,65,19,29,0.0153
"Watson, Bubba",297,37,12,4,11,0.0308
"Weir, Mike",154,73,2000,81,79,NA
"Westwood, Lee",286,2,160,38,74,0.0026
"Wiesberger, Bernd",296,34,200,46,53,0.009
"Willett, Danny",283,1,50,15,32,0.0149
"Wood, Chris",299,41,250,59,55,0.0083
