"name","modranks","prob","mododds"
"Garcia, Sergio",2,0.1562,"5.4:1"
"An, Byeong Hun",38,2e-04,"4999:1"
"McGirt, William",10,0.0241,"40.5:1"
"Fowler, Rickie",1,0.261,"2.8:1"
"Rahm, Jon",6,0.0602,"15.6:1"
"Pieters, Thomas",4,0.0905,"10:1"
"Spieth, Jordan",8,0.0536,"17.7:1"
"Leishman, Marc",15,0.0037,"269.3:1"
"Haas, Bill",20,0.0024,"415.7:1"
"Rose, Justin",5,0.0706,"13.2:1"
"Koepka, Brooks",22,0.0018,"554.6:1"
"Hoffman, Charley",3,0.1039,"8.6:1"
"Casey, Paul",19,0.0026,"383.6:1"
"Matsuyama, Hideki",13,0.0158,"62.3:1"
"McIlroy, Rory",7,0.0599,"15.7:1"
"Day, Jason",26,8e-04,"1249:1"
"Henley, Russell",18,0.0034,"293.1:1"
"Moore, Ryan",11,0.0208,"47.1:1"
"Scott, Adam",12,0.0164,"60:1"
"Oosthuizen, Louis",23,0.0016,"624:1"
"Kjeldsen, Soren",16,0.0036,"276.8:1"
"Schwartzel, Charl",21,0.0021,"475.2:1"
"Mickelson, Phil",9,0.025,"39:1"
"Berger, Daniel",29,6e-04,"1665.7:1"
"Kuchar, Matt",14,0.0067,"148.3:1"
"Thomas, Justin",24,0.0014,"713.3:1"
"Kisner, Kevin",31,5e-04,"1999:1"
"Wiesberger, Bernd",29,6e-04,"1665.7:1"
"Steele, Brendan",25,0.0011,"908.1:1"
"Kaymer, Martin",16,0.0036,"276.8:1"
"Chappell, Kevin",38,2e-04,"4999:1"
"Snedeker, Brandt",35,3e-04,"3332.3:1"
"Fitzpatrick, Matthew",35,3e-04,"3332.3:1"
"Walker, Jimmy",28,7e-04,"1427.6:1"
"Sullivan, Andy",38,2e-04,"4999:1"
"Dufner, Jason",26,8e-04,"1249:1"
"Fisher, Ross",38,2e-04,"4999:1"
"Stuard, Brian",38,2e-04,"4999:1"
"Westwood, Lee",31,5e-04,"1999:1"
"Els, Ernie",38,2e-04,"4999:1"
"Perez, Pat",34,4e-04,"2499:1"
"Stricker, Steve",35,3e-04,"3332.3:1"
"Hadwin, Adam",31,5e-04,"1999:1"
"Holmes, J.B.",38,2e-04,"4999:1"
"Molinari, Francesco",38,2e-04,"4999:1"
"Grillo, Emiliano",46,1e-04,"9999:1"
