"name","score","rank","firstplace","modranks","prob","Vegasodds","vegasranks"
"Bae, Sangmoon",288,32,70,42,0.007,250,57
"Bjorn, Thomas",151,74,10,79,0.001,300,66
"Blixt, Jonas",287,27,27,66,0.0027,150,43
"Bradley, Keegan",286,22,86,31,0.0086,60,20
"Cabrera, Angel",286,22,76,39,0.0076,80,28
"Casey, Paul",279,6,161,17,0.0161,70,25
"Compton, Erik",293,50,27,66,0.0027,500,75
"Couples, Fred",153,80,94,29,0.0094,150,43
"Crane, Ben",157,83,14,76,0.0014,500,75
"Day, Jason",287,27,1060,3,0.106,12,4
"Donald, Luke",147,55,50,50,0.005,100,34
"Donaldson, Jamie",288,32,101,26,0.0101,125,38
"Dubuisson, Victor",149,72,68,43,0.0068,100,34
"Dufner, Jason",292,48,48,51,0.0048,125,38
"Els, Ernie",286,22,16,73,0.0016,150,43
"Every, Matt",147,55,9,80,9e-04,250,57
"Fowler, Rickie",282,12,268,11,0.0268,30,12
"Furyk, Jim",147,55,320,8,0.032,70,25
"Gallacher, Stephen",147,55,16,73,0.0016,300,66
"Garcia, Sergio",283,17,199,14,0.0199,40,15
"Grace, Branden",148,66,129,22,0.0129,200,54
"Haas, Bill",282,12,77,38,0.0077,80,28
"Hahn, James",147,55,34,59,0.0034,200,54
"Harman, Brian",148,66,40,56,0.004,500,75
"Harrington, Padraig",149,72,25,68,0.0025,150,43
"Henley, Russell",285,21,79,36,0.0079,125,38
"Hoffman, Charley",280,9,54,48,0.0054,250,57
"Hoffmann, Morgan",287,27,33,60,0.0033,250,57
"Holmes, J.B.",147,55,157,18,0.0157,35,14
"Horschel, Billy",148,66,86,31,0.0086,70,25
"Ilonen, Mikko",147,55,20,71,0.002,500,75
"Immelman, Trevor",153,80,11,78,0.0011,500,75
"Jaidee, Thongchai",297,54,9,80,9e-04,500,75
"Jimenez, Miguel Angel",151,74,41,55,0.0041,150,43
"Johnson, Dustin",279,6,442,7,0.0442,12,4
"Johnson, Zach",280,9,113,25,0.0113,60,20
"Kaymer, Martin",151,74,78,37,0.0078,65,24
"Kirk, Chris",288,32,57,47,0.0057,150,43
"Koepka, Brooks",288,32,135,21,0.0135,80,28
"Kuchar, Matt",290,45,279,10,0.0279,30,12
"Lahiri, Anirban",292,48,28,65,0.0028,300,66
"Langer, Bernhard",147,55,8,82,8e-04,300,66
"Lowry, Shane",147,55,92,30,0.0092,150,43
"Luiten, Joost",148,66,32,62,0.0032,250,57
"Mahan, Hunter",280,9,97,28,0.0097,100,34
"Martin, Ben",148,66,29,64,0.0029,300,66
"Matsuyama, Hideki",277,5,302,9,0.0302,60,20
"McDowell, Graeme",294,51,36,57,0.0036,150,43
"McIlroy, Rory",276,4,1309,1,0.1309,8,1
"Mickelson, Phil",274,2,191,15,0.0191,20,7
"Moore, Ryan",282,12,116,24,0.0116,60,20
"Na, Kevin",282,12,80,35,0.008,100,34
"Noh, Seung-Yul",289,37,23,69,0.0023,300,66
"Ogilvy, Geoff",291,47,45,53,0.0045,300,66
"Oosthuizen, Louis",284,19,81,33,0.0081,50,19
"Palmer, Ryan",288,32,150,19,0.015,80,28
"Poulter, Ian",279,6,148,20,0.0148,80,28
"Reed, Patrick",286,22,81,33,0.0081,25,11
"Rose, Justin",274,2,504,6,0.0504,40,15
"Schwartzel, Charl",289,37,101,26,0.0101,80,28
"Scott, Adam",289,37,263,12,0.0263,20,7
"Senden, John",289,37,64,44,0.0064,250,57
"Simpson, Webb",287,27,59,46,0.0059,150,43
"Singh, Vijay",295,53,42,54,0.0042,125,38
"Snedeker, Brandt",147,55,125,23,0.0125,40,15
"Spieth, Jordan",270,1,645,5,0.0645,8,1
"Stadler, Kevin",151,74,22,70,0.0022,500,75
"Stenson, Henrik",284,19,685,4,0.0685,20,7
"Streb, Robert",156,82,71,40,0.0071,300,66
"Streelman, Kevin",282,12,33,60,0.0033,150,43
"Stricker, Steve",287,27,35,58,0.0035,200,54
"Todd, Brendon",151,74,64,44,0.0064,250,57
"Tringale, Cameron",289,37,30,63,0.003,300,66
"Villegas, Camilo",148,66,15,75,0.0015,250,57
"Walker, Jimmy",289,37,176,16,0.0176,18,6
"Watson, Bubba",289,37,1286,2,0.1286,10,3
"Watson, Tom",152,79,7,83,7e-04,1000,82
"Westwood, Lee",290,45,224,13,0.0224,45,18
"Wiesberger, Bernd",286,22,52,49,0.0052,250,57
"Willett, Danny",289,37,48,51,0.0048,150,43
"Woodland, Gary",147,55,71,40,0.0071,125,38
"Woods, Tiger",283,17,18,72,0.0018,20,7
"Yang, Gunn",159,84,14,76,0.0014,1000,82
