"name","score","rank","vegasodds","vegasranks","modranks","prob"
"An, Byeong Hun",151,56,160,38,38,0.0046
"Aphibarnrat, Kiradech",291,15,300,64,56,0.0027
"Berger, Daniel",289,10,200,46,35,0.0058
"Bowditch, Steven",161,79,500,71,77,NA
"Bradley, Keegan",301,51,200,46,45,0.004
"Cabrera Bello, Rafa",292,17,90,26,21,0.0109
"Cabrera, Angel",294,24,150,36,61,0.0024
"Casey, Paul",287,4,65,19,12,0.0199
"Clarke, Darren",160,78,1000,77,77,NA
"Day, Jason",289,10,6.5,1,1,0.1862
"DeChambeau, Bryson",293,21,150,36,68,0.0017
"Donaldson, Jamie",293,21,200,46,41,0.0044
"Dubuisson, Victor",299,41,200,46,71,0.0014
"Dufner, Jason",153,66,110,28,32,0.0062
"Els, Ernie",153,66,225,58,65,0.0021
"English, Harris",299,41,130,32,63,0.0022
"Fitzpatrick, Matthew",288,7,250,59,63,0.0022
"Fowler, Rickie",153,66,15,6,5,0.0625
"Garcia, Sergio",296,34,50,15,17,0.0147
"Gomez, Fabian",157,76,500,71,55,0.0028
"Grace, Branden",152,61,85,24,18,0.0142
"Grillo, Emiliano",292,17,200,46,38,0.0046
"Haas, Bill",294,24,110,28,28,0.0085
"Herman, Jim",153,66,300,64,56,0.0027
"Hoffman, Charley",295,29,100,27,24,0.0099
"Holmes, J.B.",287,4,130,32,26,0.0095
"Horschel, Billy",292,17,160,38,30,0.0068
"Immelman, Trevor",151,56,1000,77,76,1e-04
"Jaidee, Thongchai",307,55,300,64,54,0.0032
"Johnson, Dustin",287,4,15,6,4,0.0683
"Johnson, Zach",152,61,50,15,31,0.0063
"Kaufman, Smylie",295,29,250,59,48,0.0036
"Kaymer, Martin",300,48,160,38,37,0.005
"Kirk, Chris",153,66,160,38,29,0.0078
"Kisner, Kevin",297,37,85,24,32,0.0062
"Kjeldsen, Soren",288,7,500,71,47,0.0038
"Knox, Russell",152,61,200,46,44,0.0042
"Koepka, Brooks",293,21,65,19,20,0.0116
"Kuchar, Matt",294,24,65,19,14,0.0167
"Lahiri, Anirban",299,41,250,59,56,0.0027
"Langer, Bernhard",294,24,500,71,73,9e-04
"Lee, Danny",292,17,160,38,61,0.0024
"Leishman, Marc",151,56,65,19,27,0.0086
"Lingmerth, David",152,61,200,46,41,0.0044
"Love III, Davis",299,41,500,71,75,5e-04
"Lowry, Shane",298,39,160,38,45,0.004
"Mahan, Hunter",302,52,200,46,60,0.0025
"Matsuyama, Hideki",288,7,45,13,11,0.027
"McDowell, Graeme",153,66,200,46,66,0.0019
"McIlroy, Rory",289,10,8,2,3,0.0961
"Merritt, Troy",299,41,300,64,66,0.0019
"Mickelson, Phil",151,56,15,6,10,0.0357
"Moore, Ryan",155,74,110,28,25,0.0098
"Na, Kevin",303,53,130,32,34,0.0059
"Oosthuizen, Louis",291,15,28,11,16,0.0153
"Piercy, Scott",295,29,250,59,52,0.0034
"Poulter, Ian",300,48,130,32,43,0.0043
"Reed, Patrick",300,48,45,13,15,0.0158
"Rose, Justin",289,10,25,9,8,0.0486
"Schwartzel, Charl",152,61,35,12,19,0.0138
"Scott, Adam",299,41,12,4,6,0.0613
"Simpson, Webb",295,29,200,46,36,0.0051
"Singh, Vijay",153,66,500,71,68,0.0017
"Smith, Cameron",303,53,300,64,73,9e-04
"Snedeker, Brandt",289,10,50,15,13,0.0172
"Spieth, Jordan",286,2,8.5,3,2,0.1357
"Stenson, Henrik",294,24,25,9,9,0.0398
"Streb, Robert",156,75,300,64,70,0.0015
"Streelman, Kevin",296,34,200,46,53,0.0033
"Sullivan, Andy",157,76,160,38,38,0.0046
"Taylor, Vaughn",151,56,300,64,56,0.0027
"Thomas, Justin",298,39,110,28,48,0.0036
"Walker, Jimmy",295,29,65,19,23,0.0101
"Watson, Bubba",297,37,12,4,7,0.061
"Weir, Mike",154,73,2000,81,77,NA
"Westwood, Lee",286,2,160,38,72,0.0012
"Wiesberger, Bernd",296,34,200,46,51,0.0035
"Willett, Danny",283,1,50,15,22,0.0105
"Wood, Chris",299,41,250,59,48,0.0036
