"name","modranks","prob","mododds"
"Rose, Justin",1,0.2897,"2.5:1"
"Garcia, Sergio",2,0.2256,"3.4:1"
"Fowler, Rickie",3,0.1952,"4.1:1"
"Spieth, Jordan",4,0.119,"7.4:1"
"Hoffman, Charley",5,0.0498,"19.1:1"
"Moore, Ryan",6,0.0495,"19.2:1"
"Scott, Adam",7,0.0289,"33.6:1"
"McIlroy, Rory",8,0.012,"82.3:1"
"Schwartzel, Charl",9,0.0086,"115.3:1"
"Rahm, Jon",10,0.0058,"171.4:1"
"Pieters, Thomas",11,0.0047,"211.8:1"
"Westwood, Lee",12,0.0027,"369.4:1"
"Casey, Paul",13,0.0017,"587.2:1"
"Kuchar, Matt",13,0.0017,"587.2:1"
"Kjeldsen, Soren",15,0.0012,"832.3:1"
"McGirt, William",16,0.001,"999:1"
"Dufner, Jason",17,8e-04,"1249:1"
"Snedeker, Brandt",18,6e-04,"1665.7:1"
"Chappell, Kevin",19,4e-04,"2499:1"
"Henley, Russell",20,3e-04,"3332.3:1"
"Mickelson, Phil",20,3e-04,"3332.3:1"
"Walker, Jimmy",20,3e-04,"3332.3:1"
"Day, Jason",23,1e-04,"9999:1"
"Koepka, Brooks",23,1e-04,"9999:1"
