name,modranks,prob,sg.approach,sg.around,sg.tee,sg.putt,sg.total,score,rank,owgr.April,owgr.Feb,actualrank,year,vegasranks
"Moore, Ryan",41,0.0065,0.5583485,0.1066515,-0.1384697,0.3116818,0.8382121,286,9,2.9886,NA,9,2017,41
"Walker, Jimmy",42,0.0064,0.5947879,0.04542424,-0.4170303,0.09984849,0.3230303,289,18,3.5343,NA,18,2017,26
"Hadwin, Adam",43,0.006,0.2914375,0.06015,0.1337375,0.510725,0.99605,294,35,2.571,NA,35,2017,29
"Perez, Pat",44,0.0057,0.005,0.383,0.172,0.482,1.042,289,18,2.1734,NA,18,2017,47
"Pieters, Thomas",44,0.0057,0.51325,-0.147,-0.1045,0.14625,0.408,283,4,3.0758,NA,4,2017,20
"Steele, Brendan",46,0.0056,0.4695068,-0.02483562,0.3978904,-0.1971781,0.6453836,291,26,2.3553,NA,26,2017,54
"Kaymer, Martin",47,0.0054,0.53875,-0.14025,0.29975,0.68975,1.388,288,16,2.5965,NA,16,2017,37
"Johnson, Zach",48,0.0049,-0.1126857,0.4046429,-0.1941429,0.4370429,0.5348571,151,50,2.5409,NA,50,2017,26
"O'Hair, Sean",49,0.0048,0.02655422,-0.1179277,0.2785301,0.02172289,0.2088795,153,67,1.6582,NA,67,2017,66
"Simpson, Webb",49,0.0048,0.8629091,0.3840606,0.01278788,-0.6034545,0.656303,152,58,2.0411,NA,58,2017,60
"Cabrera, Angel",51,0.0047,-0.3105,-0.3775938,0.1568125,-0.21525,-0.7465312,154,71,0.2236,NA,71,2017,52
"Pampling, Rod",51,0.0047,-0.1210333,0.2511333,0.08165,-0.4763667,-0.2646167,152,58,1.1386,NA,58,2017,71
"Willett, Danny",51,0.0047,-0.099,-0.362,-0.2196667,-0.5776667,-1.258333,151,50,4.0185,NA,50,2017,37
"Cabrera Bello, Rafa",54,0.0046,-0.1711667,0.02091667,0.07458333,0.4755833,0.3999167,152,58,3.362,NA,58,2017,NA
"Dufner, Jason",54,0.0046,0.4662083,0.08333333,0.19675,-0.1046111,0.6416806,293,32,2.079,NA,32,2017,45
