name,modranks,prob,sg.approach,sg.around,sg.tee,sg.putt,sg.total,score,rank,owgr.April,owgr.Feb,actualrank,year,vegasranks
"Garcia, Sergio",4,0.0335,0.718055556,0.18337037,0.911722222,-0.062314815,1.750833333,298,49,6.58,6.96,45,2006,NA
"Goosen, Retief",5,0.0319,0.612055556,-0.067194444,0.056138889,0.224083333,0.825083333,284,5,8.28,8.22,3,2006,NA
"Cabrera, Angel",6,0.0201,0.009090909,0.075454545,0.593363636,-0.106727273,0.571181818,285,8.5,3.6,4.2,8,2006,NA
"Els, Ernie",7,0.019,0.362407407,0.515666667,0.593407407,0.099740741,1.571222222,292,29,7.07,7.65,27,2006,NA
"Toms, David",8,0.0172,0.53503125,0.1569375,0.358625,0.569875,1.62046875,150,55.5,5.54,5.07,52,2006,NA
"Scott, Adam",9,0.0169,0.311434783,-0.068304348,0.582,0.059695652,0.884826087,292,29,4.7,4.66,27,2006,NA
"Clarke, Darren",10,0.0165,0.294,-0.02616,0.71152,0.93368,1.91304,291,24,4.16,3.82,22,2006,NA
"Couples, Fred",11,0.0162,0.364139535,0.115255814,0.601837209,-0.133627907,0.947604651,284,5,3.41,3.08,3,2006,NA
"Furyk, Jim",12,0.0158,1.081210526,0.544578947,0.130947368,0.449210526,2.205947368,291,24,5.6,5.94,22,2006,NA
"Westwood, Lee",13,0.013,0.300567568,-0.406459459,0.535945946,0.112459459,0.542513514,150,55.5,2.73,2.32,52,2006,NA
"Appleby, Stuart",14,0.0129,0.314041667,0.342416667,0.473416667,-0.092666667,1.037208333,290,20,3.27,3.52,19,2006,NA
"Montgomerie, Colin",15,0.0119,0.734,-0.192833333,0.620166667,-0.049833333,1.1115,149,49,4.25,4.44,45,2006,NA
"Donald, Luke",16,0.0116,1,0.242738095,0.077761905,0.274904762,1.595404762,296,43,4.86,4.07,41,2006,NA
"DiMarco, Chris",17,0.0106,0.770032787,0.202688525,-0.22857377,0.258803279,1.00295082,150,55.5,4.72,5.14,52,2006,NA
"Ogilvy, Geoff",18,0.01,0.123743243,0.090621622,0.210351351,0.363391892,0.788108108,289,17,3.93,2.19,16,2006,NA
"Howell, David",19,0.0095,-0.015846154,0.634307692,0.281153846,0.405730769,1.305346154,290,20,4.17,4.22,19,2006,NA
"Campbell, Chad",20,0.0088,0.405783133,0.111253012,0.042301205,0.228168675,0.787506024,284,5,3.89,3.86,3,2006,NA
"Love III, Davis",21,0.0083,0.709369231,-0.069323077,0.483784615,-0.095984615,1.027846154,291,24,3.93,3.55,22,2006,NA
"Clark, Tim",22,0.008,0.6525,0.0817,0.049,-0.200828571,0.582371429,283,2,3.28,3.37,2,2006,NA
"Pampling, Rod",23,0.0079,0.233513514,0.219594595,0.31027027,0.272432432,1.035810811,289,17,3.37,2.36,16,2006,NA
"Verplank, Scott",23,0.0079,0.576732394,0.221450704,0.150366197,0.159830986,1.108380282,289,17,3.6,3.76,16,2006,NA
"Immelman, Trevor",25,0.0076,0.435232558,-0.006418605,0.50144186,-0.416883721,0.513372093,151,61,1.73,1.85,57,2006,NA
"Jobe, Brandt",26,0.0075,0.379977011,-0.195655172,0.377505747,0.03816092,0.599988506,293,33.5,2.58,2.61,31,2006,NA
"Sabbatini, Rory",27,0.0071,0.289686567,0.297134328,0.260671642,0.424716418,1.272208955,294,37,3.89,2.37,35,2006,NA
"Cink, Stewart",28,0.0062,0.420430769,0.006984615,-0.225276923,0.357138462,0.559276923,286,10,2.65,3.03,10,2006,NA
"Ames, Stephen",29,0.0061,0.682666667,0.005166667,-0.040683333,0.69725,1.3444,287,12,3.47,1.91,11,2006,NA
"Lehman, Tom",30,0.0055,0.424698113,-0.046886792,0.18409434,-0.334754717,0.227150943,151,61,3.14,2.27,57,2006,NA
"Olazabal, Jose Maria",31,0.0054,0.417604651,0.360674419,-0.206186047,0.577255814,1.149348837,284,5,4.07,3.38,3,2006,NA
"Choi, K.J.",32,0.0053,0.067166667,0.218555556,0.291666667,-0.0445,0.532888889,152,65,2.76,2.67,62,2006,NA
"Bryant, Bart",33,0.0048,0.421380282,-0.069802817,0.386309859,0.19,0.927887324,149,49,2.94,3.34,45,2006,NA
"Harrington, Padraig",33,0.0048,0.413976744,0.407860465,-0.235325581,0.009465116,0.595976744,292,29,3.35,3.85,27,2006,NA
"Herron, Tim",35,0.0047,0.059243243,0.380027027,0.178216216,0.160783784,0.77827027,294,37,2,2.26,35,2006,NA
"O'Hair, Sean",36,0.0042,0.004644444,-0.364266667,0.410977778,0.067355556,0.118711111,152,65,2.38,2.59,62,2006,NA
"Allenby, Robert",37,0.004,0.839176471,-0.067044118,0.354235294,-0.354558824,0.771808824,291,24,2.9,2.68,22,2006,NA
"Stenson, Henrik",38,0.0039,0.720888889,0.066555556,0.026666667,0.055444444,0.869555556,151,61,4.33,3.92,57,2006,NA
"Daly, John",39,0.0038,-0.006653846,-0.240653846,0.384269231,-0.220115385,-0.083153846,153,68.5,2.39,2.62,65,2006,NA
"O'Hern, Nick",39,0.0038,0.532545455,0.453090909,0.143,-0.482090909,0.646545455,290,20,3.43,3.37,19,2006,NA
"Campbell, Michael",41,0.0037,-0.465,-0.4185,0.426,-0.111,-0.5685,149,49,3.8,4.23,45,2006,NA
"Mayfair, Billy",42,0.0036,0.281881188,0.116881188,0.357,0.009574257,0.765336634,288,14.5,1.84,1.67,14,2006,NA
"Glover, Lucas",43,0.0035,0.156966292,-0.070235955,0.510719101,0.071303371,0.668752809,151,61,2.31,2.04,57,2006,NA
"Johnson, Zach",43,0.0035,-0.034855263,-0.080421053,0.374684211,0.416828947,0.676236842,293,33.5,2.75,1.94,31,2006,NA
"Jimenez, Miguel Angel",45,0.0033,-0.283142857,-0.078571429,-0.193857143,0.132714286,-0.422857143,287,12,2.41,2.73,11,2006,NA
"Oberholser, Arron",45,0.0033,0.1659375,0.126625,0.138875,-0.000625,0.4308125,288,14.5,2.55,1.63,14,2006,NA
"Leonard, Justin",47,0.0031,0.533416667,0.3715,-0.175666667,-0.138333333,0.590916667,295,40,2.52,2.91,38,2006,NA
"Bjorn, Thomas",48,0.003,-0.374818182,0.365272727,-0.159,0.289454545,0.120909091,293,33.5,3.06,3.21,31,2006,NA
"Funk, Fred",48,0.003,0.3692,-0.016305882,0.041894118,0.049188235,0.443976471,157,76.5,2.26,2.37,72,2006,NA
"Calcavecchia, Mark",50,0.0029,0.442041096,-0.295575342,0.145643836,0.063493151,0.35560274,156,75,1.86,1.97,71,2006,NA
"Taylor, Vaughn",51,0.0028,0.495797753,0.078269663,0.13711236,-0.039685393,0.671494382,149,49,1.76,1.79,45,2006,NA
"Lonard, Peter",52,0.0027,0.28271875,0.20284375,0.10734375,-0.14878125,0.444125,150,55.5,2.01,2.23,52,2006,NA
"Weir, Mike",52,0.0027,-0.404928571,0.436952381,-0.067071429,-0.071357143,-0.106404762,287,12,2.56,2.38,11,2006,NA
"Stadler, Craig",54,0.0024,-0.32125,0.54825,0.621083333,-0.672083333,0.176,155,73.5,0.2686,0.2412,69,2006,NA
"Browne, Olin",55,0.0021,0.405073684,-0.1254,-0.154136842,0.356147368,0.481684211,297,45,1.67,1.77,44,2006,NA
"Hensby, Mark",55,0.0021,-0.739652174,-0.028478261,0.028304348,-0.258521739,-0.998347826,291,24,2.28,2.46,22,2006,NA
"Levet, Thomas",55,0.0021,0.3655,-0.196666667,-0.041666667,-0.539166667,-0.412,149,49,1.18,1.26,45,2006,NA
"Bohn, Jason",58,0.002,0.356285714,0.055274725,0.200747253,0.018197802,0.630505495,295,40,1.54,1.46,38,2006,NA
"Langer, Bernhard",58,0.002,0.337886364,0.254,-0.131772727,-0.012204545,0.447909091,153,68.5,2.12,1.96,65,2006,NA
"Maruyama, Shigeki",60,0.0019,0.55154878,0.211719512,-0.151926829,-0.016707317,0.594634146,154,71.5,1.98,2.3,67,2006,NA
"Beem, Rich",61,0.0018,-0.286924528,-0.140660377,0.379641509,-0.212792453,-0.260735849,296,43,0.84,0.6357,41,2006,NA
"Howell III, Charles",61,0.0018,-0.0675375,0.0794375,0.249625,0.2229875,0.4845125,164,80,1.89,2,74,2006,NA
"McGinley, Paul",63,0.0017,-0.458625,0.187625,-0.1805,1.078,0.6265,155,73.5,3.27,3.57,69,2006,NA
"Pettersson, Carl",64,0.0016,0.34316,0.32723,-0.09022,0.21371,0.79388,292,29,2.53,2.11,27,2006,NA
"Crane, Ben",65,0.0015,-0.328101449,0.09784058,0.082826087,0.983231884,0.835797101,149,49,2.71,2.73,45,2006,NA
"Mediate, Rocco",65,0.0015,0.354771429,0.033528571,0.182528571,-0.537742857,0.033085714,294,37,0.81,0.91,35,2006,NA
"Hamilton, Todd",67,0.0014,-0.16,-0.293642857,-0.008714286,-0.170642857,-0.633,150,55.5,0.95,1.11,52,2006,NA
"Purdy, Ted",68,0.0012,0.063154639,-0.106783505,0.261938144,-0.07857732,0.139731959,293,33.5,1.81,1.77,31,2006,NA
"Ogilvie, Joe",69,8E-04,-0.222101266,0.103417722,-0.014,-0.077291139,-0.209974684,151,61,1.47,1.59,57,2006,NA
"Curtis, Ben",70,6E-04,-0.229396552,-0.287551724,-0.187086207,0.201896552,-0.502137931,295,40,0.86,0.87,38,2006,NA
"Micheel, Shaun",71,3E-04,0.363058824,-0.095117647,-0.198882353,-0.005294118,0.063764706,152,65,0.5985,0.5791,62,2006,NA
"Mize, Larry",71,3E-04,-0.354093023,-0.114372093,-0.229093023,0.439883721,-0.257674419,296,43,0.2615,0.2254,41,2006,NA
"O'Meara, Mark",73,2E-04,-0.545,0.055333333,-0.628444444,0.503222222,-0.614888889,154,71.5,0.4013,0.5802,67,2006,NA
"Duval, David",74,1E-04,0.154857143,-0.208771429,-1.321942857,0.0954,-1.280457143,159,78,0.2697,0.2571,73,2006,NA
"Woods, Tiger",1,0.585,2.269096774,0.227516129,0.695354839,0.652548387,3.844516129,291,3,20.16,20.01,2,2007,NA
"Scott, Adam",2,0.0459,1.116207547,0.145320755,0.839415094,-0.087320755,2.013622642,300,28,7.5,7.31,27,2007,NA
"Mickelson, Phil",3,0.0439,0.762266667,-0.046222222,0.432377778,0.025377778,1.1738,299,25,7.27,5.99,24,2007,NA
"Furyk, Jim",4,0.0348,1.046363636,0.218848485,0.373454545,0.670030303,2.30869697,296,14.5,8.31,8.57,13,2007,NA
"Immelman, Trevor",5,0.0197,0.651910256,0.359551282,0.590564103,0.134076923,1.736102564,309,64.5,4.83,4.61,60,2007,NA
"Harrington, Padraig",6,0.0141,0.649190476,0.197190476,0.341761905,0.109190476,1.297333333,293,7.5,5.1,5.31,7,2007,NA
"Singh, Vijay",7,0.0129,0.595274725,0.46132967,0.445494505,0.142868132,1.644967033,296,14.5,6.29,5.67,13,2007,NA
"Ogilvy, Geoff",8,0.0127,-0.087019608,0.317019608,0.371509804,0.321078431,0.922588235,299,25,6.14,5.09,24,2007,NA
"Donald, Luke",9,0.0122,0.635425532,0.585191489,0.156446809,0.366276596,1.743340426,295,11,5.07,5.53,10,2007,NA
"Els, Ernie",10,0.012,0.575906977,0.472488372,0.331813953,0.201930233,1.582139535,154,59.5,6.78,6.63,53,2007,NA
"Cabrera, Angel",11,0.0118,0.336818182,-0.383181818,0.590090909,0.209181818,0.752909091,302,39.5,2.49,2.79,37,2007,NA
"Casey, Paul",12,0.0114,1.1018,-0.077,0.2068,-0.0462,1.1854,295,11,4.6,4.39,10,2007,NA
"Goosen, Retief",13,0.0113,0.262285714,-0.067952381,0.328047619,-0.027095238,0.495285714,291,3,5.46,6.05,2,2007,NA
"Rose, Justin",14,0.0099,0.600863014,0.088506849,0.047547945,0.06590411,0.802821918,292,5.5,2.71,2.56,5,2007,NA
"Poulter, Ian",15,0.0092,0.189255814,0.43927907,0.241139535,0.46227907,1.331953488,296,14.5,2.81,2.85,13,2007,NA
"Stenson, Henrik",16,0.0086,-0.06675,0.101375,0.615875,0.511375,1.161875,297,18,6.51,5.29,17,2007,NA
"Appleby, Stuart",17,0.0063,0.059328358,0.557283582,0.13719403,0.214626866,0.968432836,293,7.5,3.18,3.13,7,2007,NA
"Garcia, Sergio",18,0.0061,0.904352941,0.2695,0.102235294,-0.057588235,1.2185,154,59.5,4.85,4.63,53,2007,NA
"Howell III, Charles",19,0.0053,0.408746835,0.163189873,0.386810127,0.284367089,1.243113924,301,33,3.81,2.4,30,2007,NA
"Allenby, Robert",20,0.0051,0.790328358,-0.065298507,0.560373134,0.318477612,1.603880597,159,80.5,3.33,2.66,73,2007,NA
"Durant, Joe",21,0.005,0.616910112,-0.323213483,0.698224719,-0.49494382,0.496977528,155,67.5,2.51,2.86,61,2007,NA
"Cink, Stewart",22,0.0049,0.771309859,-0.136140845,-0.169323944,0.717211268,1.183056338,297,18,2.94,2.96,17,2007,NA
"Toms, David",23,0.0047,0.4884375,0.190875,0.05334375,0.07071875,0.803375,294,9,3.17,3.37,9,2007,NA
"Wetterich, Brett",24,0.0046,-0.07477381,-0.03425,0.977011905,-0.095214286,0.77277381,302,39.5,3.12,2.5,37,2007,NA
"Kelly, Jerry",25,0.0044,0.326350649,0.111194805,0.094974026,-0.042935065,0.489584416,292,5.5,1.36,1.4,5,2007,NA
"Love III, Davis",25,0.0044,0.380017241,-0.300603448,0.356362069,0.434103448,0.86987931,300,28,3.29,3.45,27,2007,NA
"Stricker, Steve",27,0.0042,0.539701493,0.430477612,-0.138537313,0.623626866,1.455268657,156,72.5,2.47,2.25,66,2007,NA
"Ames, Stephen",28,0.0037,0.469511628,-0.021139535,0.000325581,0.400651163,0.849348837,299,25,2.82,2.51,24,2007,NA
"DiMarco, Chris",29,0.0036,0.5480625,0.00365625,-0.294078125,0.034140625,0.29178125,153,50.5,2.83,3.17,46,2007,NA
"Choi, K.J.",30,0.0034,0.138829545,0.304579545,0.263227273,0.351102273,1.057738636,300,28,2.98,2.97,27,2007,NA
"Glover, Lucas",31,0.0032,0.522790698,-0.248244186,0.700162791,0.05544186,1.030151163,298,21.5,2.31,2.4,20,2007,NA
"Pampling, Rod",31,0.0032,-0.353180556,0.282152778,0.064680556,0.475652778,0.469305556,302,39.5,2.46,2.66,37,2007,NA
"Rollins, John",31,0.0032,0.01555,0.150225,0.198425,0.0885625,0.4527625,298,21.5,2.38,2.06,20,2007,NA
"Funk, Fred",34,0.0028,0.432642857,0.196714286,0.096571429,0.1505,0.876428571,155,67.5,1.66,1.54,61,2007,NA
"Edfors, Johan",35,0.0027,-0.1765,-0.251,0.719,-0.444,-0.1525,157,76,2.31,2.44,69,2007,NA
"Verplank, Scott",35,0.0027,0.295483871,0.123548387,0.201612903,-0.18483871,0.435806452,301,33,1.91,2.08,30,2007,NA
"Westwood, Lee",35,0.0027,-0.304947368,-0.354052632,0.255947368,-0.523789474,-0.926842105,301,33,2.07,2.25,30,2007,NA
"Baddeley, Aaron",38,0.0026,-0.521098592,0.263647887,0.156859155,0.638732394,0.538140845,307,54.5,2.94,2.48,51,2007,NA
"Oberholser, Arron",38,0.0026,0.377527273,0.222563636,0.225018182,0.110672727,0.935781818,310,67.5,2.49,2.35,61,2007,NA
"Pernice Jr., Tom",38,0.0026,0.101698795,0.230036145,-0.067204819,0.366590361,0.631120482,297,18,1.84,1.88,17,2007,NA
"Couples, Fred",41,0.0025,-0.293294118,-0.085411765,0.217235294,-0.486352941,-0.647823529,301,33,1.33,1.7,30,2007,NA
"Campbell, Chad",42,0.0024,0.450873016,0.098698413,-0.481793651,-0.341634921,-0.273857143,154,59.5,2.77,2.64,53,2007,NA
"Herron, Tim",42,0.0024,0.215363636,0.078909091,0.170484848,-0.538030303,-0.073272727,302,39.5,1.54,1.73,37,2007,NA
"O'Hern, Nick",42,0.0024,0.452761905,0.165190476,-0.240190476,0.010095238,0.387857143,156,72.5,3.6,3.51,66,2007,NA
"Bjorn, Thomas",45,0.0022,-0.015666667,0.276,-0.427333333,0.854,0.687,154,59.5,2.18,2.27,53,2007,NA
"Johnson, Zach",45,0.0022,0.391708333,-0.045722222,0.338555556,0.15,0.834541667,289,1,2.18,2.1,1,2007,NA
"Weir, Mike",45,0.0022,0.345370968,0.138903226,0.1605,-0.201532258,0.443241935,298,21.5,2.37,2.3,20,2007,NA
"Howell, David",48,0.002,-0.2072,0.0994,-0.423,0.8066,0.2758,304,44.5,3.15,3.56,43,2007,NA
"Sabbatini, Rory",48,0.002,-0.027338462,0.194523077,0.209830769,-0.097107692,0.279907692,291,3,2.34,2.4,2,2007,NA
"Taylor, Vaughn",48,0.002,0.607146667,0.146266667,0.0056,0.43488,1.193893333,295,11,2.19,1.85,10,2007,NA
"Calcavecchia, Mark",51,0.0019,0.437544304,0.109658228,0.105658228,-0.44835443,0.204506329,298,21.5,2.09,1.26,20,2007,NA
"Clark, Tim",51,0.0019,0.647355556,-0.085711111,-0.360577778,0.256377778,0.457444444,296,14.5,2.49,2.78,13,2007,NA
"Bryant, Bart",53,0.0017,0.452063291,-0.002164557,0.311101266,0.08564557,0.84664557,154,59.5,2.52,2.53,53,2007,NA
"Mayfair, Billy",53,0.0017,0.132808824,0.098029412,0.068397059,0.140176471,0.439411765,311,70,1.27,1.48,65,2007,NA
"Henry, J.J.",55,0.0015,0.34825974,-0.140181818,0.287519481,0.134285714,0.629883117,302,39.5,1.85,1.93,37,2007,NA
"Matteson, Troy",55,0.0015,-0.024730337,-0.177707865,0.186516854,-0.076797753,-0.092719101,158,78.5,1.59,1.79,71,2007,NA
"Quigley, Brett",55,0.0015,0.370257732,0.104886598,0.004835052,0.572597938,1.05257732,306,50.5,1.83,1.95,46,2007,NA
"Langer, Bernhard",58,0.0014,0.10575,0.018192308,-0.152538462,0.383865385,0.355269231,155,67.5,1.11,1.02,61,2007,NA
"Micheel, Shaun",58,0.0014,0.542947368,0.033815789,0.0495,0.049105263,0.675368421,159,80.5,2.08,2,73,2007,NA
"Montgomerie, Colin",58,0.0014,0.252333333,-0.208666667,-0.140666667,-0.412333333,-0.509333333,153,50.5,3.02,3.29,46,2007,NA
"Beem, Rich",61,0.0013,0.009934426,-0.257491803,0.365885246,0.070885246,0.189213115,308,59.5,0.89,0.7853,53,2007,NA
"Goydos, Paul",61,0.0013,0.282970149,0.278164179,-0.113,0.090985075,0.539119403,158,78.5,2.43,2.5,71,2007,NA
"Olazabal, Jose Maria",63,0.0012,-0.068162162,0.428108108,-0.432243243,0.383297297,0.311,304,44.5,2.72,3.03,43,2007,NA
"Sluman, Jeff",63,0.0012,0.311632353,0.012044118,-0.225132353,0.180794118,0.279338235,305,47,1.07,1.21,45,2007,NA
"Villegas, Camilo",63,0.0012,0.058774648,-0.058183099,0.639408451,-0.305507042,0.334492958,165,84,1.5,1.22,76,2007,NA
"Karlsson, Robert",66,0.0011,0.198846154,-0.078076923,-0.008153846,-0.824076923,-0.711461538,301,33,2.72,2.86,30,2007,NA
"Wilson, Dean",67,9E-04,-0.00822093,0.038988372,-0.483511628,0.529709302,0.076965116,301,33,1.78,1.91,30,2007,NA
"Curtis, Ben",68,8E-04,-0.070123288,-0.004561644,-0.090917808,-0.02709589,-0.19269863,156,72.5,2.03,1.74,66,2007,NA
"Crane, Ben",69,7E-04,-0.205,0.284925926,-0.146888889,0.699203704,0.632240741,157,76,1.96,2.42,69,2007,NA
"Mize, Larry",69,7E-04,-0.83372973,0.091135135,-0.333216216,0.203945946,-0.871864865,161,82,0.272,0.2284,75,2007,NA
"Pettersson, Carl",69,7E-04,-0.083222222,0.228125,0.083763889,0.04575,0.274416667,307,54.5,2.38,2.49,51,2007,NA
"Singh, Jeev Milkha",72,6E-04,-0.910833333,0.0475,-0.031666667,-0.251666667,-1.146666667,302,39.5,2.37,2.54,37,2007,NA
"O'Meara, Mark",73,4E-04,-0.666230769,0.362307692,-0.549538462,0.339615385,-0.513846154,153,50.5,0.2749,0.3092,46,2007,NA
"Campbell, Michael",74,2E-04,-0.125142857,-0.632142857,-0.684142857,0.261142857,-1.180285714,153,50.5,2.39,2.83,46,2007,NA
"Yang, Y.E.",75,1E-04,-0.698,-0.567,-0.818,-0.374,-2.457,301,33,2.36,2.79,30,2007,NA
"Hamilton, Todd",76,0,-0.861686275,-0.245313725,-0.365529412,-0.015862745,-1.488392157,154,59.5,0.13,0.1755,53,2007,NA
"Woods, Tiger",1,0.554,1.633302326,0.151348837,0.637302326,0.88927907,3.311232558,283,2,21.188,20.067,2,2008,NA
"Mickelson, Phil",2,0.0762,0.751672727,0.683527273,0.218254545,0.163581818,1.817036364,286,6,9.624,9.009,5,2008,NA
"Rose, Justin",3,0.0328,0.475225,0.27195,0.4656,0.06675,1.279525,295,37,5.587,5.862,34,2008,NA
"Scott, Adam",4,0.0244,0.929041667,0.095708333,0.468708333,-0.017916667,1.475541667,292,28.5,5.591,6.063,24,2008,NA
"Ogilvy, Geoff",5,0.0204,0.165047619,0.220365079,0.456698413,0.131222222,0.973333333,296,44.5,5.827,4.072,37,2008,NA
"Westwood, Lee",6,0.0186,0.082555556,-0.154,0.905666667,-0.600555556,0.233666667,288,12,3.666,3.617,10,2008,NA
"Stricker, Steve",7,0.0165,0.853985714,0.291385714,0.216057143,0.271414286,1.632842857,150,63.5,6.165,6.532,55,2008,NA
"Choi, K.J.",8,0.0123,0.108619048,0.527793651,0.107746032,0.61331746,1.35747619,298,54.5,5.704,5.628,47,2008,NA
"Poulter, Ian",8,0.0123,-0.32121875,0.475125,0.51475,0.0933125,0.76196875,292,28.5,2.909,3.218,24,2008,NA
"Furyk, Jim",10,0.0117,0.477695652,0.220072464,0.236536232,-0.031695652,0.902608696,293,34,5.595,5.895,32,2008,NA
"Cabrera, Angel",11,0.0106,-0.197939394,-0.084606061,0.084757576,-0.168969697,-0.366757576,292,28.5,3.918,4.084,24,2008,NA
"Els, Ernie",12,0.0105,0.922190476,0.068285714,0.402904762,-0.393333333,1.000047619,148,44.5,6.468,6.233,37,2008,NA
"Singh, Vijay",13,0.0104,0.430960526,0.257105263,0.630802632,-0.268605263,1.050263158,289,15,5.571,5.137,13,2008,NA
"Harrington, Padraig",14,0.0099,0.216,0.34147619,-0.073619048,0.413,0.896857143,286,6,5.084,4.938,5,2008,NA
"Cink, Stewart",15,0.0098,0.653485294,0.021705882,-0.130411765,0.471676471,1.016455882,284,3.5,4.222,3.267,3,2008,NA
"Couples, Fred",16,0.0078,0.173,0.025,0.555,0.19,0.943,148,44.5,0.758,0.3844,37,2008,NA
"Sabbatini, Rory",17,0.0076,0.289274194,0.404016129,0.204225806,0.482080645,1.379596774,149,54.5,5.396,5.66,47,2008,NA
"Appleby, Stuart",18,0.0071,0.127542373,0.40459322,0.132864407,0.135711864,0.800711864,289,15,2.868,2.75,13,2008,NA
"Johnson, Zach",19,0.0059,0.462764706,-0.151529412,0.212529412,0.317117647,0.840882353,291,22,3.629,3.784,19,2008,NA
"Donald, Luke",20,0.0057,0.203195122,0.271536585,-0.241512195,0.822707317,1.055926829,148,44.5,4.198,3.56,37,2008,NA
"O'Hair, Sean",21,0.0053,0.344715909,-0.059443182,0.560420455,0.180511364,1.026204545,289,15,2.843,1.76,13,2008,NA
"Verplank, Scott",22,0.0052,0.56684127,0.163285714,0.210238095,-0.125904762,0.814460317,153,78.5,2.991,2.921,70,2008,NA
"Ames, Stephen",23,0.0051,0.491060606,-0.173393939,0.091454545,0.231257576,0.640378788,292,28.5,2.807,2.906,24,2008,NA
"Garcia, Sergio",24,0.005,0.630981818,0.2256,0.199272727,0.024636364,1.080490909,148,44.5,4.219,4.647,37,2008,NA
"Kelly, Jerry",24,0.005,0.221531646,0.201620253,0.207139241,-0.089924051,0.540367089,149,54.5,2.044,2.027,47,2008,NA
"Weir, Mike",26,0.0045,0.270365079,0.572555556,0.156873016,-0.166634921,0.83315873,290,18,2.439,2.681,16,2008,NA
"Leonard, Justin",27,0.0044,0.300978022,0.185,0.066153846,0.349197802,0.90132967,291,22,2.597,2.156,19,2008,NA
"Mahan, Hunter",28,0.0042,0.341454545,-0.292688312,0.401311688,0.406519481,0.856597403,149,54.5,2.617,2.604,47,2008,NA
"Immelman, Trevor",29,0.0039,0.325375,0.110625,0.1545,-0.612625,-0.022125,280,1,2.837,3.386,1,2008,NA
"Clark, Tim",30,0.0038,0.449409836,0.221163934,-0.10552459,0.52542623,1.09047541,152,74,2.499,2.634,65,2008,NA
"Goosen, Retief",30,0.0038,0.266285714,0.347142857,-0.157095238,-0.179714286,0.276619048,290,18,2.85,2.784,16,2008,NA
"Stenson, Henrik",32,0.0037,0.103444444,-0.528444444,0.031888889,0.028888889,-0.364222222,290,18,4.836,4.595,16,2008,NA
"Snedeker, Brandt",33,0.0036,0.420337209,0.191837209,-0.205348837,0.459197674,0.866023256,284,3.5,2.278,2.279,3,2008,NA
"Holmes, J.B.",34,0.0035,-0.249695652,-0.160478261,0.827246377,-0.191130435,0.225942029,292,28.5,2.086,1.91,24,2008,NA
"Baddeley, Aaron",35,0.0034,-0.136076923,0.282815385,0.069661538,0.799846154,1.016246154,148,44.5,3.603,3.712,37,2008,NA
"Fasth, Niclas",35,0.0034,0.038125,-0.00225,0.246,-0.187375,0.0945,296,44.5,3.131,3.228,37,2008,NA
"Oberholser, Arron",35,0.0034,0.381045455,0.276477273,0.031340909,0.254840909,0.943704545,292,28.5,2.447,2.659,24,2008,NA
"Calcavecchia, Mark",38,0.0033,0.4494125,-0.0737,0.1737,-0.213275,0.3361375,153,78.5,2.401,2.26,70,2008,NA
"Allenby, Robert",39,0.0032,0.703395062,-0.422950617,0.605654321,-0.457765432,0.428333333,299,59.5,2.361,2.079,53,2008,NA
"Austin, Woody",40,0.0031,0.536546512,-0.09827907,0.271337209,-0.148674419,0.560930233,152,74,2.821,2.559,65,2008,NA
"Flesch, Steve",40,0.0031,0.217290323,0.199548387,-0.19688172,-0.098247312,0.121709677,286,6,1.378,1.408,5,2008,NA
"Lonard, Peter",40,0.0031,-0.133986486,-0.077972973,0.394189189,-0.096945946,0.085283784,152,74,2.207,1.855,65,2008,NA
"Taylor, Vaughn",40,0.0031,0.191592105,0.076315789,-0.014644737,0.053302632,0.306565789,151,69,1.246,1.397,61,2008,NA
"Weekley, Boo",44,0.0029,0.243095238,-0.323607143,0.834690476,-0.337738095,0.416440476,291,22,2.158,2.364,19,2008,NA
"Wetterich, Brett",45,0.0028,0.32795082,-0.350655738,0.411622951,-0.817163934,-0.428245902,148,44.5,1.973,2.356,37,2008,NA
"Romero, Andres",46,0.0027,-0.635434783,0.090043478,0.197043478,0.656391304,0.308043478,287,9,3.185,2.577,8,2008,NA
"Casey, Paul",47,0.0025,0.302,-0.334833333,0.06975,-0.215083333,-0.178166667,288,12,2.59,3.026,10,2008,NA
"Rollins, John",48,0.0024,-0.313233766,-0.190714286,0.396922078,0.000246753,-0.106779221,150,63.5,1.588,1.639,55,2008,NA
"Senden, John",48,0.0024,0.622707317,-0.085987805,0.329365854,-0.313,0.553085366,151,69,2.15,2.05,61,2008,NA
"Toms, David",50,0.0022,0.277333333,-0.032977778,-0.194377778,0.226977778,0.276955556,299,59.5,2.156,2.251,53,2008,NA
"Trahan, D.J.",51,0.0021,0.159533333,0.0134,0.499733333,-0.3822,0.290466667,153,78.5,1.315,1.283,70,2008,NA
"Byrd, Jonathan",52,0.002,0.098819444,0.233722222,-0.091902778,0.230722222,0.471361111,149,54.5,1.988,1.937,47,2008,NA
"Slocum, Heath",53,0.0019,0.493694737,-0.089863158,0.152757895,-0.075663158,0.480926316,293,34,1.51,1.658,32,2008,NA
"Watson, Bubba",53,0.0019,0.153101449,-0.163782609,0.506275362,-0.238188406,0.257405797,291,22,1.359,1.322,19,2008,NA
"Villegas, Camilo",55,0.0018,0.493394366,0.054126761,0.298647887,0.076338028,0.922507042,150,63.5,1.879,1.971,55,2008,NA
