name,year,hole,yardage,round,par,score,rtp_score,sg_total,no_masters,rtp_score_grouped,time,no_masters_category,Level,Mu,Mu (no blups),P
"An, Byeong Hun",2016,12,155,1,3,3,0,0.212,2,.,12,1,1,0.29344,0.28857,0.29344
"An, Byeong Hun",2016,12,155,1,3,3,0,0.212,2,.,12,1,0,0.90846,0.90648,0.90846
"An, Byeong Hun",2016,12,155,1,3,3,0,0.212,2,.,12,1,-1,0.99771,0.99765,0.99771
"An, Byeong Hun",2016,13,510,1,5,4,-1,0.212,2,.,12,1,3,0.00054,0.00053,0.00054
"An, Byeong Hun",2016,13,510,1,5,4,-1,0.212,2,.,12,1,2,0.00434,0.00424,0.00434
"An, Byeong Hun",2016,13,510,1,5,4,-1,0.212,2,.,12,1,1,0.04892,0.04783,0.04892
"An, Byeong Hun",2016,13,510,1,5,4,-1,0.212,2,.,12,1,0,0.5514,0.54555,0.5514
"An, Byeong Hun",2016,13,510,1,5,4,-1,0.212,2,.,12,1,-1,0.98179,0.98136,0.98179
"An, Byeong Hun",2016,14,440,1,4,5,1,0.212,2,.,12,1,3,0.00326,0.00318,0.00326
"An, Byeong Hun",2016,14,440,1,4,5,1,0.212,2,.,12,1,2,0.0258,0.02521,0.0258
"An, Byeong Hun",2016,14,440,1,4,5,1,0.212,2,.,12,1,1,0.23789,0.23363,0.23789
"An, Byeong Hun",2016,14,440,1,4,5,1,0.212,2,.,12,1,0,0.88178,0.8793,0.88178
"An, Byeong Hun",2016,14,440,1,4,5,1,0.212,2,.,12,1,-1,0.99695,0.99688,0.99695
"An, Byeong Hun",2016,15,530,1,5,6,1,0.212,2,.,12,1,3,0.00058,0.00056,0.00058
"An, Byeong Hun",2016,15,530,1,5,6,1,0.212,2,.,12,1,2,0.00464,0.00453,0.00464
"An, Byeong Hun",2016,15,530,1,5,6,1,0.212,2,.,12,1,1,0.05209,0.05093,0.05209
"An, Byeong Hun",2016,15,530,1,5,6,1,0.212,2,.,12,1,0,0.56767,0.56186,0.56767
"An, Byeong Hun",2016,15,530,1,5,6,1,0.212,2,.,12,1,-1,0.98293,0.98253,0.98293
"An, Byeong Hun",2016,16,170,1,3,2,-1,0.212,2,.,12,1,3,0.00208,0.00203,0.00208
"An, Byeong Hun",2016,16,170,1,3,2,-1,0.212,2,.,12,1,2,0.01659,0.01621,0.01659
"An, Byeong Hun",2016,16,170,1,3,2,-1,0.212,2,.,12,1,1,0.16585,0.1626,0.16585
"An, Byeong Hun",2016,16,170,1,3,2,-1,0.212,2,.,12,1,0,0.82611,0.82269,0.82611
"An, Byeong Hun",2016,16,170,1,3,2,-1,0.212,2,.,12,1,-1,0.99522,0.99511,0.99522
"An, Byeong Hun",2016,17,440,1,4,5,1,0.212,2,.,12,1,3,0.00497,0.00486,0.00497
"An, Byeong Hun",2016,17,440,1,4,5,1,0.212,2,.,12,1,2,0.0389,0.03803,0.0389
"An, Byeong Hun",2016,17,440,1,4,5,1,0.212,2,.,12,1,1,0.32301,0.31786,0.32301
"An, Byeong Hun",2016,17,440,1,4,5,1,0.212,2,.,12,1,0,0.91936,0.91759,0.91936
"An, Byeong Hun",2016,17,440,1,4,5,1,0.212,2,.,12,1,-1,0.998,0.99796,0.998
"An, Byeong Hun",2016,18,465,1,4,4,0,0.212,2,.,12,1,3,0.00794,0.00776,0.00794
"An, Byeong Hun",2016,18,465,1,4,4,0,0.212,2,.,12,1,2,0.0609,0.05956,0.0609
"An, Byeong Hun",2016,18,465,1,4,4,0,0.212,2,.,12,1,1,0.43323,0.42744,0.43323
"An, Byeong Hun",2016,18,465,1,4,4,0,0.212,2,.,12,1,0,0.94809,0.94692,0.94809
"An, Byeong Hun",2016,18,465,1,4,4,0,0.212,2,.,12,1,-1,0.99875,0.99872,0.99875
"An, Byeong Hun",2016,1,445,2,4,4,0,0.212,2,.,12,1,3,0.00457,0.00446,0.00457
"An, Byeong Hun",2016,1,445,2,4,4,0,0.212,2,.,12,1,2,0.03585,0.03504,0.03585
"An, Byeong Hun",2016,1,445,2,4,4,0,0.212,2,.,12,1,1,0.30474,0.29975,0.30474
"An, Byeong Hun",2016,1,445,2,4,4,0,0.212,2,.,12,1,0,0.91284,0.91094,0.91284
"An, Byeong Hun",2016,1,445,2,4,4,0,0.212,2,.,12,1,-1,0.99783,0.99778,0.99783
"An, Byeong Hun",2016,2,575,2,5,5,0,0.212,2,.,12,1,3,0.00054,0.00053,0.00054
"An, Byeong Hun",2016,2,575,2,5,5,0,0.212,2,.,12,1,2,0.00434,0.00424,0.00434
"An, Byeong Hun",2016,2,575,2,5,5,0,0.212,2,.,12,1,1,0.0489,0.04782,0.0489
"An, Byeong Hun",2016,2,575,2,5,5,0,0.212,2,.,12,1,0,0.5513,0.54545,0.5513
"An, Byeong Hun",2016,2,575,2,5,5,0,0.212,2,.,12,1,-1,0.98178,0.98135,0.98178
"An, Byeong Hun",2016,3,350,2,4,4,0,0.212,2,.,12,1,3,0.00341,0.00333,0.00341
"An, Byeong Hun",2016,3,350,2,4,4,0,0.212,2,.,12,1,2,0.02697,0.02635,0.02697
"An, Byeong Hun",2016,3,350,2,4,4,0,0.212,2,.,12,1,1,0.24623,0.24187,0.24623
"An, Byeong Hun",2016,3,350,2,4,4,0,0.212,2,.,12,1,0,0.88644,0.88404,0.88644
"An, Byeong Hun",2016,3,350,2,4,4,0,0.212,2,.,12,1,-1,0.99709,0.99702,0.99709
"An, Byeong Hun",2016,4,240,2,3,4,1,0.212,2,.,12,1,3,0.00713,0.00696,0.00713
"An, Byeong Hun",2016,4,240,2,3,4,1,0.212,2,.,12,1,2,0.05496,0.05375,0.05496
"An, Byeong Hun",2016,4,240,2,3,4,1,0.212,2,.,12,1,1,0.40671,0.40103,0.40671
"An, Byeong Hun",2016,4,240,2,3,4,1,0.212,2,.,12,1,0,0.94247,0.94117,0.94247
"An, Byeong Hun",2016,4,240,2,3,4,1,0.212,2,.,12,1,-1,0.99861,0.99858,0.99861
"An, Byeong Hun",2016,5,455,2,4,3,-1,0.212,2,.,12,1,3,0.00285,0.00279,0.00285
"An, Byeong Hun",2016,5,455,2,4,3,-1,0.212,2,.,12,1,2,0.02266,0.02215,0.02266
"An, Byeong Hun",2016,5,455,2,4,3,-1,0.212,2,.,12,1,1,0.21466,0.21071,0.21466
"An, Byeong Hun",2016,5,455,2,4,3,-1,0.212,2,.,12,1,0,0.86722,0.86448,0.86722
"An, Byeong Hun",2016,5,455,2,4,3,-1,0.212,2,.,12,1,-1,0.99652,0.99644,0.99652
