name,modranks,prob,run
"Dufner, Jason",46,0.0035,3
"Els, Ernie",79,2.00E-04,3
"Fisher, Ross",12,0.021,3
"Fitzpatrick, Matthew",45,0.0036,3
"Fleetwood, Tommy",10,0.0239,3
"Fowler, Rickie",4,0.0483,3
"Furyk, Jim",57,0.0017,3
"Garcia, Sergio",13,0.0156,3
"Grace, Branden",54,0.0021,3
"Grillo, Emiliano",50,0.0027,3
"Haas, Bill",26,0.0084,3
"Hadwin, Adam",30,0.0074,3
"Hahn, James",63,0.0015,3
"Hatton, Tyrrell",7,0.0276,3
"Henley, Russell",16,0.0115,3
"Hoffman, Charley",32,0.0062,3
"Holmes, J.B.",27,0.0079,3
"Hughes, Mackenzie",65,0.0014,3
"Hurley III, Billy",74,5.00E-04,3
"Ikeda, Yuta",74,5.00E-04,3
"Johnson, Dustin",1,0.2323,3
"Johnson, Zach",49,0.0031,3
"Kaymer, Martin",34,0.006,3
"Kim, Si Woo",80,0.00E+00,3
"Kisner, Kevin",25,0.0092,3
"Kjeldsen, Soren",59,0.0016,3
"Knox, Russell",69,0.001,3
"Koepka, Brooks",43,0.0037,3
"Kuchar, Matt",28,0.0075,3
"Leishman, Marc",15,0.0148,3
"Lowry, Shane",20,0.01,3
"Matsuyama, Hideki",5,0.0428,3
"McGirt, William",57,0.0017,3
"McIlroy, Rory",2,0.1242,3
"Mickelson, Phil",14,0.0154,3
"Molinari, Francesco",20,0.01,3
"Moore, Ryan",33,0.0061,3
"Na, Kevin",51,0.0026,3
"Noren, Alex",68,0.0011,3
"O'Hair, Sean",43,0.0037,3
"Oosthuizen, Louis",18,0.0107,3
"Pampling, Rod",59,0.0016,3
"Perez, Pat",55,0.002,3
"Piercy, Scott",42,0.0038,3
"Pieters, Thomas",40,0.0044,3
"Rahm, Jon",8,0.026,3
"Reed, Patrick",36,0.0055,3
"Rose, Justin",6,0.04,3
"Schwartzel, Charl",48,0.0034,3
"Scott, Adam",23,0.0095,3
"Simpson, Webb",59,0.0016,3
"Singh, Vijay",72,6.00E-04,3
"Snedeker, Brandt",24,0.0094,3
"Spieth, Jordan",3,0.0548,3
"Steele, Brendan",35,0.0058,3
"Stenson, Henrik",19,0.0102,3
"Stricker, Steve",59,0.0016,3
"Stuard, Brian",71,7.00E-04,3
"Sullivan, Andy",46,0.0035,3
"Summerhays, Daniel",65,0.0014,3
"Swafford, Hudson",39,0.0045,3
"Tanihara, Hideto",63,0.0015,3
"Thomas, Justin",9,0.0244,3
"Vegas, Jhonattan",52,0.0025,3
"Walker, Jimmy",53,0.0023,3
"Wang, Jeunghun",77,4.00E-04,3
"Watson, Bubba",37,0.0049,3
"Westwood, Lee",55,0.002,3
"Wiesberger, Bernd",40,0.0044,3
"Willett, Danny",78,3.00E-04,3
"Wood, Chris",65,0.0014,3
"Woodland, Gary",17,0.0111,3
"An, Byeong Hun",50,0.0027,4
"Berger, Daniel",32,0.0065,4
"Cabrera, Angel",30,0.0075,4
"Cabrera-Bello, Rafael",72,9.00E-04,4
"Casey, Paul",18,0.0101,4
"Castro, Roberto",67,0.0011,4
"Chappell, Kevin",73,7.00E-04,4
"Day, Jason",12,0.0219,4
"Dufner, Jason",39,0.0044,4
"Els, Ernie",80,0.00E+00,4
"Fisher, Ross",11,0.0228,4
"Fitzpatrick, Matthew",44,0.0036,4
"Fleetwood, Tommy",9,0.0246,4
"Fowler, Rickie",4,0.0487,4
"Furyk, Jim",56,0.0021,4
"Garcia, Sergio",14,0.0163,4
"Grace, Branden",56,0.0021,4
"Grillo, Emiliano",45,0.0035,4
"Haas, Bill",23,0.0094,4
"Hadwin, Adam",29,0.0078,4
"Hahn, James",59,0.002,4
"Hatton, Tyrrell",8,0.0279,4
"Henley, Russell",16,0.0125,4
"Hoffman, Charley",31,0.0067,4
"Holmes, J.B.",19,0.0099,4
"Hughes, Mackenzie",63,0.0016,4
"Hurley III, Billy",67,0.0011,4
"Ikeda, Yuta",75,5.00E-04,4
"Johnson, Dustin",1,0.234,4
"Johnson, Zach",52,0.0024,4
"Kaymer, Martin",34,0.0058,4
"Kim, Si Woo",78,1.00E-04,4
"Kisner, Kevin",24,0.0092,4
"Kjeldsen, Soren",55,0.0022,4
"Knox, Russell",74,6.00E-04,4
"Koepka, Brooks",41,0.0039,4
"Kuchar, Matt",25,0.0091,4
"Leishman, Marc",15,0.0131,4
"Lowry, Shane",27,0.0088,4
"Matsuyama, Hideki",5,0.0422,4
"McGirt, William",48,0.0029,4
"McIlroy, Rory",2,0.1176,4
"Mickelson, Phil",13,0.0171,4
"Molinari, Francesco",20,0.0098,4
"Moore, Ryan",36,0.005,4
"Na, Kevin",53,0.0023,4
"Noren, Alex",67,0.0011,4
"O'Hair, Sean",45,0.0035,4
"Oosthuizen, Louis",26,0.009,4
"Pampling, Rod",60,0.0018,4
"Perez, Pat",51,0.0026,4
"Piercy, Scott",48,0.0029,4
"Pieters, Thomas",38,0.0045,4
"Rahm, Jon",7,0.0282,4
"Reed, Patrick",35,0.0052,4
"Rose, Justin",6,0.0397,4
"Schwartzel, Charl",42,0.0037,4
"Scott, Adam",17,0.0119,4
"Simpson, Webb",63,0.0016,4
"Singh, Vijay",78,1.00E-04,4
"Snedeker, Brandt",21,0.0095,4
"Spieth, Jordan",3,0.0519,4
"Steele, Brendan",37,0.0047,4
"Stenson, Henrik",21,0.0095,4
"Stricker, Steve",53,0.0023,4
"Stuard, Brian",63,0.0016,4
"Sullivan, Andy",42,0.0037,4
"Summerhays, Daniel",67,0.0011,4
"Swafford, Hudson",39,0.0044,4
"Tanihara, Hideto",67,0.0011,4
"Thomas, Justin",9,0.0246,4
"Vegas, Jhonattan",60,0.0018,4
"Walker, Jimmy",60,0.0018,4
"Wang, Jeunghun",76,3.00E-04,4
"Watson, Bubba",33,0.0059,4
"Westwood, Lee",56,0.0021,4
"Wiesberger, Bernd",47,0.0032,4
"Willett, Danny",77,2.00E-04,4
"Wood, Chris",66,0.0013,4
"Woodland, Gary",28,0.0082,4
"An, Byeong Hun",41,0.0041,5
"Berger, Daniel",31,0.0068,5
"Cabrera, Angel",29,0.007,5
"Cabrera-Bello, Rafael",57,0.0021,5
"Casey, Paul",21,0.0096,5
"Castro, Roberto",67,0.0011,5
"Chappell, Kevin",70,6.00E-04,5
"Day, Jason",11,0.0206,5
"Dufner, Jason",39,0.0047,5
"Els, Ernie",79,1.00E-04,5
"Fisher, Ross",12,0.0205,5
"Fitzpatrick, Matthew",50,0.0031,5
"Fleetwood, Tommy",9,0.0236,5
"Fowler, Rickie",4,0.0475,5
"Furyk, Jim",67,0.0011,5
"Garcia, Sergio",14,0.0149,5
"Grace, Branden",52,0.0026,5
"Grillo, Emiliano",42,0.004,5
"Haas, Bill",28,0.0078,5
"Hadwin, Adam",30,0.0069,5
"Hahn, James",64,0.0014,5
"Hatton, Tyrrell",8,0.0291,5
"Henley, Russell",15,0.0139,5
"Hoffman, Charley",34,0.0053,5
"Holmes, J.B.",23,0.0092,5
"Hughes, Mackenzie",70,6.00E-04,5
"Hurley III, Billy",77,2.00E-04,5
"Ikeda, Yuta",72,5.00E-04,5
"Johnson, Dustin",1,0.2343,5
"Johnson, Zach",47,0.0033,5
"Kaymer, Martin",34,0.0053,5
"Kim, Si Woo",80,0.00E+00,5
"Kisner, Kevin",19,0.0106,5
"Kjeldsen, Soren",50,0.0031,5
"Knox, Russell",72,5.00E-04,5
"Koepka, Brooks",38,0.0048,5
"Kuchar, Matt",27,0.0079,5
"Leishman, Marc",16,0.0133,5
"Lowry, Shane",17,0.0125,5
"Matsuyama, Hideki",6,0.0375,5
"McGirt, William",56,0.0024,5
"McIlroy, Rory",2,0.1255,5
"Mickelson, Phil",13,0.0159,5
"Molinari, Francesco",25,0.0084,5
"Moore, Ryan",34,0.0053,5
"Na, Kevin",52,0.0026,5
"Noren, Alex",64,0.0014,5
"O'Hair, Sean",47,0.0033,5
"Oosthuizen, Louis",24,0.0088,5
"Pampling, Rod",63,0.0015,5
"Perez, Pat",54,0.0025,5
"Piercy, Scott",46,0.0036,5
"Pieters, Thomas",33,0.0054,5
"Rahm, Jon",7,0.0307,5
"Reed, Patrick",37,0.0049,5
"Rose, Justin",5,0.0407,5
"Schwartzel, Charl",47,0.0033,5
"Scott, Adam",20,0.0098,5
"Simpson, Webb",54,0.0025,5
"Singh, Vijay",75,4.00E-04,5
"Snedeker, Brandt",21,0.0096,5
"Spieth, Jordan",3,0.0552,5
"Steele, Brendan",32,0.0057,5
"Stenson, Henrik",18,0.0111,5
"Stricker, Steve",59,0.0018,5
"Stuard, Brian",72,5.00E-04,5
"Sullivan, Andy",43,0.0039,5
"Summerhays, Daniel",69,8.00E-04,5
"Swafford, Hudson",43,0.0039,5
"Tanihara, Hideto",66,0.0013,5
"Thomas, Justin",10,0.0212,5
"Vegas, Jhonattan",58,0.0019,5
"Walker, Jimmy",59,0.0018,5
"Wang, Jeunghun",76,3.00E-04,5
"Watson, Bubba",40,0.0045,5
"Westwood, Lee",61,0.0017,5
"Wiesberger, Bernd",45,0.0037,5
"Willett, Danny",77,2.00E-04,5
"Wood, Chris",62,0.0016,5
"Woodland, Gary",25,0.0084,5
"An, Byeong Hun",45,0.0037,6
"Berger, Daniel",25,0.008,6
"Cabrera, Angel",29,0.0071,6
"Cabrera-Bello, Rafael",69,0.001,6
"Casey, Paul",19,0.0095,6
"Castro, Roberto",72,7.00E-04,6
"Chappell, Kevin",72,7.00E-04,6
"Day, Jason",11,0.0219,6
"Dufner, Jason",44,0.0038,6
"Els, Ernie",78,1.00E-04,6
"Fisher, Ross",12,0.0195,6
"Fitzpatrick, Matthew",45,0.0037,6
"Fleetwood, Tommy",9,0.023,6
"Fowler, Rickie",4,0.0462,6
"Furyk, Jim",61,0.0016,6
"Garcia, Sergio",14,0.0153,6
"Grace, Branden",65,0.0014,6
"Grillo, Emiliano",41,0.0041,6
"Haas, Bill",29,0.0071,6
"Hadwin, Adam",33,0.0067,6
"Hahn, James",60,0.0017,6
"Hatton, Tyrrell",7,0.0325,6
"Henley, Russell",16,0.0116,6
"Hoffman, Charley",31,0.007,6
"Holmes, J.B.",24,0.0083,6
"Hughes, Mackenzie",62,0.0015,6
"Hurley III, Billy",70,9.00E-04,6
"Ikeda, Yuta",72,7.00E-04,6
"Johnson, Dustin",1,0.2403,6
"Johnson, Zach",48,0.0031,6
"Kaymer, Martin",32,0.0068,6
"Kim, Si Woo",79,0.00E+00,6
"Kisner, Kevin",22,0.009,6
"Kjeldsen, Soren",56,0.002,6
"Knox, Russell",65,0.0014,6
"Koepka, Brooks",43,0.004,6
"Kuchar, Matt",25,0.008,6
"Leishman, Marc",15,0.0121,6
"Lowry, Shane",18,0.0102,6
