name,year,hole,yardage,round,par,score,rtp_score,sg_total,no_masters,Level,Mu,Mu.no.bulps,P
"An, Byeong Hun",2016,14,440,1,4,5,1,0.212,2,3,0.00269,0.00258,0.00269
"An, Byeong Hun",2016,14,440,1,4,5,1,0.212,2,2,0.02112,0.02028,0.02112
"An, Byeong Hun",2016,14,440,1,4,5,1,0.212,2,1,0.19806,0.19155,0.19806
"An, Byeong Hun",2016,14,440,1,4,5,1,0.212,2,0,0.84476,0.83924,0.84476
"An, Byeong Hun",2016,14,440,1,4,5,1,0.212,2,-1,0.99565,0.99547,0.99565
"An, Byeong Hun",2016,15,530,1,5,6,1,0.212,2,3,0.0005,0.00048,0.0005
"An, Byeong Hun",2016,15,530,1,5,6,1,0.212,2,2,0.00398,0.00382,0.00398
"An, Byeong Hun",2016,15,530,1,5,6,1,0.212,2,1,0.04374,0.04204,0.04374
"An, Byeong Hun",2016,15,530,1,5,6,1,0.212,2,0,0.50195,0.49158,0.50195
"An, Byeong Hun",2016,15,530,1,5,6,1,0.212,2,-1,0.97695,0.976,0.97695
"An, Byeong Hun",2016,16,170,1,3,2,-1,0.212,2,3,0.00228,0.00219,0.00228
"An, Byeong Hun",2016,16,170,1,3,2,-1,0.212,2,2,0.01801,0.01729,0.01801
"An, Byeong Hun",2016,16,170,1,3,2,-1,0.212,2,1,0.17348,0.16761,0.17348
"An, Byeong Hun",2016,16,170,1,3,2,-1,0.212,2,0,0.8222,0.81605,0.8222
"An, Byeong Hun",2016,16,170,1,3,2,-1,0.212,2,-1,0.99489,0.99467,0.99489
"An, Byeong Hun",2016,17,440,1,4,5,1,0.212,2,3,0.00334,0.00321,0.00334
"An, Byeong Hun",2016,17,440,1,4,5,1,0.212,2,2,0.02614,0.0251,0.02614
"An, Byeong Hun",2016,17,440,1,4,5,1,0.212,2,1,0.23501,0.22764,0.23501
"An, Byeong Hun",2016,17,440,1,4,5,1,0.212,2,0,0.87128,0.86655,0.87128
"An, Byeong Hun",2016,17,440,1,4,5,1,0.212,2,-1,0.9965,0.99635,0.9965
"An, Byeong Hun",2016,18,465,1,4,4,0,0.212,2,3,0.00646,0.0062,0.00646
